Meter S/N:, ERR-100
Sensor, THERMO,SINGLE, ENG-01
Date, 12/2/2013 2:10:22 PM
Timestamp, Measurement, PulsePeriod(uSec) 
0.000051, -0.0003905745, 200
0.000102, -0.0005694497, 240
0.000154, -1.764662E-05, 300
0.000205, -0.0001685764, 350
0.000256, 7.715126E-05, 400
0.000307, -0.000679184, 460
0.000358, -0.0001107581, 500
0.000410, -0.0005702929, 550
0.000461, 6.323874E-06, 600
0.000512, -0.0001320786, 650
0.000563, -0.0005789657, 700
0.000614, -0.0005494542, 760
0.000666, -2.22239E-05, 810
0.000717, -0.0004482723, 860
0.000768, -0.0002718061, 910
0.000819, -0.0005260861, 960
0.000870, 0.0002719266, 1010
0.000922, -0.0003552813, 1060
0.000973, -0.0003114357, 1110
0.001024, 0.0001438832, 1170
0.001075, -9.35331E-05, 1220
0.001126, -0.0007295341, 1270
0.001178, -0.0004868178, 1320
0.001229, -0.0002274788, 1370
0.001280, -0.0005999248, 1440
0.001331, -0.0002716857, 1470
0.001382, -0.0001323195, 1520
0.001434, 0.0001507491, 1580
0.001485, -0.0008222842, 1630
0.001536, -0.0002073628, 1690
0.001587, -0.0003051721, 1730
0.001638, 0.0002745766, 1780
0.001690, -0.0002915607, 1830
0.001741, -0.0001052172, 1880
0.001792, -1.258752E-05, 1950
0.001843, -0.0003201085, 1990
0.001894, -0.0001161786, 2040
0.001946, 0.0004126177, 2090
0.001997, 2.499436E-05, 2140
0.002048, -0.0004057518, 2200
0.002099, -0.0002533765, 2240
0.002150, -0.0005629452, 2290
0.002202, -0.0004801928, 2340
0.002253, -0.0003302266, 2400
0.002304, 0.0005336747, 2460
0.002355, 3.800347E-05, 2500
0.002406, 7.829558E-07, 2550
0.002458, -0.000373229, 2600
0.002509, 0.0002315742, 2650
0.002560, -0.0008197547, 2710
0.002611, -0.0005063315, 2750
0.002662, -0.0003248062, 2800
0.002714, -0.0001212377, 2850
0.002765, -0.0004128586, 2900
0.002816, 0.0007798842, 2960
0.002867, -1.499661E-05, 3010
0.002918, -0.0007480841, 3060
0.002970, 0.0001376195, 3110
0.003021, -0.0004080404, 3170
0.003072, 0.0001024467, 3210
0.003123, -0.0008271024, 3270
0.003174, -7.185125E-05, 3320
0.003226, -0.0003751563, 3370
0.003277, -0.0005157269, 3420
0.003328, -0.0001708651, 3470
0.003379, -0.0002524129, 3520
0.003430, -0.0002620493, 3570
0.003482, -0.0004775428, 3620
0.003533, -0.000500911, 3690
0.003584, -0.0003005948, 3720
0.003635, -0.000107024, 3780
0.003686, 0.000448995, 3830
0.003738, -0.0006130544, 3880
0.003789, 0.0002260333, 3940
0.003840, -0.0002296469, 3980
0.003891, 0.000108349, 4030
0.003942, -0.0003610631, 4080
0.003994, -0.0001700219, 4130
0.004045, -0.000160265, 4200
0.004096, -0.00014304, 4240
0.004147, -0.0001249718, 4290
0.004198, -0.0008888957, 4340
0.004250, -0.0003675676, 4390
0.004301, 0.0005317474, 4450
0.004352, 6.004668E-05, 4490
0.004403, -0.0001169013, 4550
0.004454, -0.0001355718, 4590
0.004506, -0.0002226606, 4650
0.004557, -0.0005817362, 4700
0.004608, -0.000597877, 4750
0.004659, -0.0002403674, 4800
0.004710, 0.0001862832, 4850
0.004762, 0.0005060905, 4900
0.004813, 6.805692E-06, 4950
0.004864, -5.185576E-05, 5010
0.004915, -0.0006430476, 5060
0.004966, -0.0003348039, 5110
0.005018, 2.800572E-05, 5940
0.005069, -2.680118E-05, 5960
0.005120, -0.0002136265, 5980
0.005171, -0.0003513063, 6010
