Meter S/N:, "serial number"
Sensor, THERMO,SINGLE, Horst
Date, 3/18/2014 3:47:35 PM
Timestamp, Measurement, Sequence, Flags, Flags (interpreted)
0.0000000, 0.0390856526792049, 0, 0, 0, "4718203d 0000 00000000"
0.0000500, 0.0380744263529778, 51, 0, 0, "eef31b3d 0000 33000000"
0.0001000, 0.0382550060749054, 102, 0, 0, "48b11c3d 0000 66000000"
0.0001500, 0.0408071391284466, 153, 0, 0, "6325273d 0000 99000000"
0.0002000, 0.0357269421219826, 204, 0, 0, "6a56123d 0000 cc000000"
0.0002500, 0.039826013147831, 256, 0, 0, "9a20233d 0000 00010000"
0.0003000, 0.0426791124045849, 307, 0, 0, "4bd02e3d 0000 33010000"
0.0003500, 0.0438347980380058, 358, 0, 0, "1e8c333d 0000 66010000"
0.0004000, 0.0382429622113705, 409, 0, 0, "a7a41c3d 0000 99010000"
0.0004500, 0.0411983914673328, 460, 0, 0, "a5bf283d 0000 cc010000"
0.0005000, 0.0394528210163116, 512, 0, 0, "4899213d 0000 00020000"
0.0005500, 0.0424864999949932, 563, 0, 0, "53062e3d 0000 33020000"
0.0006000, 22.8368358612061, 614, 1, TriggerDetected, "d7b1b641 0100 66020000"
0.0006500, 25.6702632904053, 665, 0, 0, "b35ccd41 0000 99020000"
0.0007000, 25.6739768981934, 716, 0, 0, "4e64cd41 0000 cc020000"
0.0007500, 25.6781368255615, 768, 0, 0, "d36ccd41 0000 00030000"
0.0008000, 0.503123581409454, 819, 0, 0, "b5cc003f 0000 33030000"
0.0008500, 0.0431004576385021, 870, 0, 0, "1b8a303d 0000 66030000"
0.0009000, 0.0414692535996437, 921, 0, 0, "aadb293d 0000 99030000"
0.0009500, 0.04226378723979, 972, 0, 0, "cb1c2d3d 0000 cc030000"
0.0010000, 0.0422878637909889, 1024, 0, 0, "0a362d3d 0000 00040000"
0.0010500, 0.0406325869262218, 1075, 0, 0, "5b6e263d 0000 33040000"
0.0011000, 0.041866522282362, 1126, 0, 0, "3b7c2b3d 0000 66040000"
0.0011500, 0.0411743149161339, 1177, 0, 0, "66a6283d 0000 99040000"
0.0012000, 0.0425406731665134, 1228, 0, 0, "213f2e3d 0000 cc040000"
0.0012500, 0.04226378723979, 1280, 0, 0, "cb1c2d3d 0000 00050000"
0.0013000, 0.040758989751339, 1331, 0, 0, "e6f2263d 0000 33050000"
0.0013500, 0.035299576818943, 1382, 0, 0, "4a96103d 0000 66050000"
0.0014000, 0.0373461060225964, 1433, 0, 0, "3bf8183d 0000 99050000"
0.0014500, 0.0399223193526268, 1484, 0, 0, "9685233d 0000 cc050000"
0.0015000, 0.0381225794553757, 1536, 0, 0, "6c261c3d 0000 00060000"
0.0015500, 9.26231288909912, 1587, 0, 0, "6f321441 0000 33060000"
0.0016000, 25.6609687805176, 1638, 1, TriggerDetected, "aa49cd41 0100 66060000"
0.0016500, 25.6747226715088, 1689, 0, 0, "d565cd41 0000 99060000"
0.0017000, 25.6794242858887, 1740, 0, 0, "766fcd41 0000 cc060000"
0.0017500, 14.1054534912109, 1792, 0, 0, "f0af6141 0000 00070000"
0.0018000, 0.0514370426535606, 1843, 0, 0, "a6af523d 0000 33070000"
0.0018500, 0.0446895249187946, 1894, 0, 0, "5d0c373d 0000 66070000"
0.0019000, 0.0428596884012222, 1945, 0, 0, "a48d2f3d 0000 99070000"
0.0019500, 0.0426851287484169, 1996, 0, 0, "9ad62e3d 0000 cc070000"
0.0020000, 0.036039937287569, 2048, 0, 0, "9d9e133d 0000 00080000"
0.0020500, 0.0365937054157257, 2099, 0, 0, "48e3153d 0000 33080000"
0.0021000, 0.0440575070679188, 2150, 0, 0, "a575343d 0000 66080000"
0.0021500, 0.0423841699957848, 2201, 0, 0, "069b2d3d 0000 99080000"
0.0022000, 0.0408432595431805, 2252, 0, 0, "434b273d 0000 cc080000"
0.0022500, 0.0372437760233879, 2304, 0, 0, "ee8c183d 0000 00090000"
0.0023000, 0.0417040027678013, 2355, 0, 0, "d1d12a3d 0000 33090000"
0.0023500, 0.0372136831283569, 2406, 0, 0, "606d183d 0000 66090000"
0.0024000, 0.0446052551269531, 2457, 0, 0, "00b4363d 0000 99090000"
0.0024500, 0.043515782803297, 2508, 0, 0, "9b3d323d 0000 cc090000"
0.0025000, 0.0391879752278328, 2560, 0, 0, "9283203d 0000 000a0000"
0.0025500, 21.2441673278809, 2611, 1, TriggerDetected, "0ef4a941 0100 330a0000"
0.0026000, 25.6715793609619, 2662, 0, 0, "655fcd41 0000 660a0000"
0.0026500, 25.6750049591064, 2713, 0, 0, "6966cd41 0000 990a0000"
