Meter S/N:, ERR-100
Sensor, THERMO,SINGLE, 1
Date, 11/9/2013 7:35:33 PM
Timestamp, Measurement, PulsePeriod(uSec) 
00.000147, -4.750378, 1890
00.000294, -4.75153, 1950
00.000441, -4.750378, 1990
00.000588, -4.750378, 2040
00.000735, -4.750378, 2090
00.000882, -4.750378, 2140
00.001029, -4.750378, 2200
00.001176, -4.750378, 2240
00.001323, -4.749227, 2290
00.001470, -4.749227, 2340
00.001617, -4.749227, 2390
00.001764, -4.749227, 2450
00.001911, -4.749227, 2490
00.002058, -4.749227, 2560
00.002205, -4.749227, 2600
00.002352, -4.749227, 2650
00.002499, -4.749227, 2700
00.002646, -4.749227, 2750
00.002793, -4.749227, 2800
00.002940, -4.749227, 2850
00.003087, -4.749227, 2910
00.003234, -4.749227, 2960
00.003381, -4.748075, 3010
00.003528, -4.749227, 3060
00.003675, -4.748075, 3110
00.003822, -4.749227, 3170
00.003969, -4.748075, 3220
00.004116, -4.748075, 3270
00.004263, -4.746923, 3320
00.004410, -4.748075, 3370
00.004557, -4.746923, 3450
00.004704, -4.748075, 3480
00.004851, -4.746923, 3520
00.004998, -4.746923, 3570
00.005145, -4.746923, 3620
00.005292, -4.748075, 3690
00.005439, -4.746923, 3740
00.005586, -4.746923, 3780
00.005733, -4.746923, 3910
00.005880, -4.746923, 3950
00.006027, -4.746923, 3970
00.006174, -4.748075, 4000
00.006321, -4.746923, 4040
00.006468, -4.746923, 4080
00.006615, -4.746923, 4140
00.006762, -4.746923, 4200
00.006909, -4.746923, 4240
00.007056, -4.746923, 4290
00.007203, -4.746923, 4340
00.007350, -4.746923, 4390
00.007497, -4.746923, 4450
00.007644, -4.746923, 4490
00.007791, -4.745771, 4550
00.007938, -4.745771, 4600
00.008085, -4.745771, 4650
00.008232, -4.746923, 4710
00.008379, -4.746923, 4760
00.008526, -4.745771, 4810
00.008673, -4.745771, 4860
00.008820, -4.745771, 4900
00.008967, -4.745771, 4960
00.009114, -4.745771, 5000
00.009261, -4.745771, 5060
00.009408, -4.745771, 5110
00.009555, -4.745771, 5160
00.009702, -4.746923, 5210
00.009849, -4.746923, 5270
00.009996, -4.746923, 5310
00.010143, -4.746923, 5370
00.010290, -4.745771, 5440
00.010437, -4.746923, 5470
00.010584, -4.746923, 5520
00.010731, -4.745771, 5570
00.010878, -4.745771, 5630
00.011025, -4.745771, 5690
00.011172, -4.74462, 5720
00.011319, -4.745771, 5780
00.011466, -4.745771, 5840
00.011613, -4.745771, 5880
00.011760, -4.745771, 5950
00.011907, -4.746923, 5980
00.012054, -4.746923, 6040
00.012201, -4.745771, 6080
00.012348, -4.745771, 6140
00.012495, -4.745771, 6200
00.012642, -4.745771, 6240
00.012789, -4.746923, 6290
00.012936, -4.745771, 6340
00.013083, -4.745771, 6390
00.013230, -4.746923, 6450
00.013377, -4.746923, 6490
00.013524, -4.746923, 6550
00.013671, -4.748075, 6600
00.013818, -4.746923, 6650
00.013965, -4.746923, 6700
00.014112, -4.746923, 6750
00.014259, -4.746923, 6800
00.014406, -4.745771, 6850
00.014553, -4.746923, 6900
00.014700, -4.745771, 6950
00.014847, -4.746923, 7010
00.014994, -4.745771, 7060
00.015141, -4.745771, 7110
00.015288, -4.745771, 7160
00.015435, -4.746923, 7210
00.015582, -4.745771, 7260
00.015729, -4.745771, 7320
00.015876, -4.745771, 7360
00.016023, -4.745771, 7420
00.016170, -4.746923, 7470
00.016317, -4.748075, 7510
00.016464, -4.746923, 7570
00.016611, -4.746923, 7610
00.016758, -4.746923, 7690
00.016905, -4.746923, 7740
00.017052, -4.745771, 7770
00.017199, -4.746923, 7820
00.017346, -4.746923, 7870
00.017493, -4.746923, 7950
00.017640, -4.746923, 7980
00.017787, -4.745771, 8040
00.017934, -4.745771, 8080
00.018081, -4.745771, 8140
00.018228, -4.74462, 8190
00.018375, -4.745771, 8240
00.018522, -4.745771, 8280
00.018669, -4.745771, 8340
00.018816, -4.745771, 8390
00.018963, -4.745771, 8450
00.019110, -4.745771, 8490
00.019257, -4.745771, 8540
00.019404, -4.745771, 8590
00.019551, -4.745771, 8650
00.019698, -4.745771, 8700
00.019845, -4.746923, 8740
00.019992, -4.745771, 8800
00.020139, -4.745771, 8850
00.020286, -4.746923, 8900
00.020433, -4.746923, 8950
00.020580, -4.745771, 9000
00.020727, -4.746923, 9050
00.020874, -4.745771, 9110
00.021021, -4.74462, 9160
00.021168, -4.745771, 9210
00.021315, -4.745771, 9260
00.021462, -4.745771, 9310
00.021609, -4.745771, 9360
00.021756, -4.745771, 9410
00.021903, -4.745771, 9460
00.022050, -2.413768, 9520
00.022197, 5.997568, 9570
00.022344, 6.002174, 9620
00.022491, 6.002174, 9670
00.022638, 6.003326, 9720
00.022785, 6.003326, 9770
00.022932, 6.003326, 9820
00.023079, 6.003326, 9870
00.023226, 6.004478, 9950
00.023373, 6.003326, 9980
00.023520, 6.003326, 10020
00.023667, 6.004478, 10070
00.023814, 6.004478, 10140
00.023961, 6.003326, 10190
00.024108, 6.003326, 10240
00.024255, 6.004478, 10290
00.024402, 6.003326, 10340
00.024549, 6.003326, 10380
00.024696, 6.003326, 10450
00.024843, 6.003326, 10480
00.024990, 6.003326, 10540
00.025137, 6.003326, 10590
00.025284, 6.002174, 10640
00.025431, 6.003326, 10700
00.025578, 6.003326, 10740
00.025725, 6.003326, 10790
00.025872, 6.002174, 10850
00.026019, 6.002174, 10900
00.026166, 6.001023, 10960
00.026313, 6.003326, 10990
00.026460, 6.002174, 11060
00.026607, 6.002174, 11100
00.026754, 6.001023, 11150
00.026901, 6.002174, 11200
00.027048, 6.001023, 11250
00.027195, 6.001023, 11300
00.027342, 6.001023, 11350
00.027489, 6.002174, 11410
00.027636, 6.002174, 11450
00.027783, 4.343861, 11510
00.027930, -4.745771, 11560
00.028077, -4.748075, 11610
00.028224, -4.750378, 11660
00.028371, -4.750378, 11710
00.028518, -4.75153, 11760
00.028665, -4.75153, 11810
00.028812, -4.75153, 11870
00.028959, -4.750378, 11940
00.029106, -4.75153, 11970
00.029253, -4.750378, 12020
00.029400, -4.75153, 12070
00.029547, -4.75153, 12140
00.029694, -4.750378, 12190
00.029841, -4.750378, 12240
00.029988, -4.75153, 12270
00.030135, -4.750378, 12340
00.030282, -4.750378, 12380
00.030429, -4.750378, 12450
00.030576, -4.749227, 12480
00.030723, -4.749227, 12550
00.030870, -4.750378, 12590
00.031017, -4.749227, 12640
00.031164, -4.749227, 12700
00.031311, -4.749227, 12740
00.031458, -4.749227, 12790
00.031605, -4.748075, 12840
00.031752, -4.749227, 12890
00.031899, -4.748075, 12950
00.032046, -4.748075, 12990
00.032193, -4.748075, 13840
00.032340, -4.748075, 13870
00.032487, -4.746923, 13890
00.032634, -4.748075, 14020
00.032781, -4.748075, 14040
00.032928, -4.748075, 14070
00.033075, -4.748075, 14090
00.033222, -4.748075, 14120
00.033369, -4.748075, 14160
00.033516, -4.748075, 14200
00.033663, -4.748075, 14240
00.033810, -4.748075, 14260
00.033957, -4.748075, 14290
00.034104, -4.746923, 14320
00.034251, -4.745771, 14360
00.034398, -4.746923, 14390
00.034545, -4.746923, 14410
00.034692, -4.745771, 14450
00.034839, -4.745771, 14480
00.034986, -4.745771, 14500
00.035133, -4.745771, 14540
00.035280, -4.746923, 14570
00.035427, -4.745771, 14600
00.035574, -4.745771, 14640
00.035721, -4.745771, 14660
00.035868, -4.745771, 14700
00.036015, -4.745771, 14740
00.036162, -4.745771, 14770
00.036309, -4.745771, 14800
00.036456, -4.74462, 14840
00.036603, -4.745771, 14860
00.036750, -4.745771, 14890
00.036897, -4.745771, 14920
00.037044, -4.745771, 14970
00.037191, -4.745771, 15000
00.037338, -4.745771, 15020
00.037485, -4.746923, 15060
00.037632, -4.745771, 15090
00.037779, -4.745771, 15120
00.037926, -4.745771, 15140
00.038073, -4.745771, 15170
00.038220, -4.745771, 15210
00.038367, -4.745771, 15250
00.038514, -4.745771, 15270
00.038661, -4.745771, 15300
00.038808, -4.745771, 15350
00.038955, -4.745771, 15400
00.039102, -4.74462, 15450
00.039249, -4.745771, 15500
00.039396, -4.74462, 15550
00.039543, -4.745771, 15610
00.039690, -4.745771, 15660
00.039837, -4.746923, 15710
00.039984, -4.745771, 15760
00.040131, -4.746923, 15820
00.040278, -4.745771, 15860
00.040425, -4.745771, 15920
00.040572, -4.745771, 15970
00.040719, -4.746923, 16010
00.040866, -4.745771, 16070
00.041013, -4.746923, 16110
00.041160, -4.746923, 16190
00.041307, -4.745771, 16230
00.041454, -4.746923, 16270
00.041601, -4.746923, 16320
00.041748, -4.745771, 16370
00.041895, -4.745771, 16450
00.042042, -4.74462, 16480
00.042189, -4.746923, 16540
00.042336, -4.745771, 16580
00.042483, -4.746923, 16640
00.042630, -4.745771, 16690
00.042777, -4.746923, 16740
00.042924, -4.745771, 16790
00.043071, -4.745771, 16840
00.043218, -4.745771, 16890
00.043365, -4.746923, 16950
00.043512, -4.745771, 16990
00.043659, -4.746923, 17050
00.043806, -4.746923, 17090
00.043953, -4.745771, 17140
00.044100, -4.745771, 17200
00.044247, -4.746923, 17240
00.044394, -4.745771, 17300
00.044541, -4.745771, 17350
00.044688, -4.74462, 17400
00.044835, -4.74462, 17460
00.044982, -4.74462, 17500
00.045129, -4.745771, 17560
00.045276, -4.745771, 17600
00.045423, -4.745771, 17660
00.045570, -4.745771, 17710
00.045717, -4.745771, 17760
00.045864, -4.745771, 17810
00.046011, -4.74462, 17860
00.046158, -4.74462, 17910
00.046305, -4.745771, 17960
00.046452, -4.74462, 18010
00.046599, -4.74462, 18070
00.046746, -4.74462, 18110
00.046893, -4.74462, 18170
00.047040, -4.74462, 18220
00.047187, -4.745771, 18270
00.047334, -4.74462, 18320
00.047481, -4.745771, 18380
00.047628, -4.745771, 18450
00.047775, -4.745771, 18470
00.047922, -4.745771, 18520
00.048069, -4.745771, 18570
00.048216, -4.745771, 18640
00.048363, -4.746923, 18690
00.048510, -4.746923, 18740
00.048657, -4.745771, 18790
00.048804, -4.745771, 18840
00.048951, -4.746923, 18880
00.049098, -4.746923, 18950
00.049245, -4.745771, 18980
00.049392, -4.745771, 19040
00.049539, -4.745771, 19090
00.049686, -4.745771, 19140
00.049833, -4.746923, 19200
00.049980, -4.746923, 19240
00.050127, -4.745771, 19290
00.050274, -4.745771, 19350
00.050421, -4.746923, 19400
00.050568, -4.74462, 19460
00.050715, -4.74462, 19490
00.050862, 4.948454, 19540
00.051009, 6.002174, 19600
00.051156, 6.003326, 19650
00.051303, 6.004478, 19700
00.051450, 6.003326, 19750
00.051597, 6.004478, 19800
00.051744, 6.003326, 19850
00.051891, 6.004478, 19910
00.052038, 6.004478, 19950
00.052185, 6.004478, 20010
00.052332, 6.003326, 20060
00.052479, 6.004478, 20110
00.052626, 6.003326, 20160
00.052773, 6.003326, 20220
00.052920, 6.003326, 20270
00.053067, 6.003326, 20320
00.053214, 6.003326, 20370
00.053361, 6.004478, 20420
00.053508, 6.002174, 20470
00.053655, 6.002174, 20520
00.053802, 6.002174, 20570
00.053949, 6.002174, 20640
00.054096, 6.002174, 20690
00.054243, 6.003326, 20740
00.054390, 6.002174, 20770
00.054537, 6.003326, 20820
00.054684, 6.002174, 20880
00.054831, 6.002174, 20950
00.054978, 6.001023, 20980
00.055125, 6.003326, 21050
00.055272, 6.002174, 21080
00.055419, 6.002174, 21140
00.055566, 6.001023, 21200
00.055713, 6.002174, 21240
00.055860, 6.001023, 21290
00.056007, 6.001023, 21340
00.056154, 6.001023, 21390
00.056301, 6.001023, 21450
00.056448, 6.001023, 21490
00.056595, -3.022968, 21550
00.056742, -4.749227, 21600
00.056889, -4.750378, 21650
00.057036, -4.75153, 21700
00.057183, -4.749227, 21750
00.057330, -4.75153, 21800
00.057477, -4.750378, 21850
