Meter S/N:, ERR-100
Sensor, THERMO,SINGLE, Serial
Date, 11/13/2013 1:34:20 PM
Timestamp, Measurement, PulsePeriod(uSec) 
00.000147, -0.1567759, 50
00.000294, -0.1596798, 100
00.000441, -0.1585234, 160
00.000588, -0.1593842, 200
00.000735, -0.1596669, 260
00.000882, -0.1579837, 310
00.001029, -0.1570971, 360
00.001176, -0.161954, 410
00.001323, -0.1625451, 460
00.001470, -0.1625194, 510
00.001617, -0.163997, 560
00.001764, -0.1643182, 610
00.001911, -0.162211, 660
00.002058, -0.1563133, 710
00.002205, -0.1587418, 770
00.002352, -0.1581636, 820
00.002499, -0.1637272, 870
00.002646, -0.1600909, 920
00.002793, -0.1594485, 970
00.002940, -0.1526386, 1020
00.003087, -0.153024, 1070
00.003234, -0.1618641, 1120
00.003381, -0.1561592, 1170
00.003528, -0.1569815, 1230
00.003675, -0.1560307, 1280
00.003822, -0.1524972, 1330
00.003969, -0.1569686, 1400
00.004116, -0.1533196, 1430
00.004263, -0.1523816, 1490
00.004410, -0.1538592, 1530
00.004557, -0.1574697, 1590
00.004704, -0.1566089, 1650
00.004851, -0.1620825, 1690
00.004998, -0.1651277, 1740
00.005145, -0.1618898, 1790
00.005292, -0.1605021, 1840
00.005439, -0.1647165, 1910
00.005586, -0.1658087, 1940
00.005733, -0.1595641, 2000
00.005880, -0.1579195, 2040
00.006027, -0.1618898, 2100
00.006174, -0.1655003, 2160
00.006321, -0.1657701, 2200
00.006468, -0.1670036, 2250
00.006615, -0.1649864, 2300
00.006762, -0.1647165, 2350
00.006909, -0.1663483, 2410
00.007056, -0.1626864, 2450
00.007203, -0.1654746, 2510
00.007350, -0.1636501, 2560
00.007497, -0.1555424, 2610
00.007644, -0.1562491, 2660
00.007791, -0.1586133, 2710
00.007938, -0.1590116, 2760
00.008085, -0.1586004, 2810
00.008232, -0.1586775, 2860
00.008379, -0.1582664, 2920
00.008526, -0.1588574, 2970
00.008673, -0.1585619, 3020
00.008820, -0.1638685, 3070
00.008967, -0.160335, 3120
00.009114, 22.22958, 3170
00.009261, 24.20683, 3220
00.009408, 24.21344, 3280
00.009555, 24.21477, 3330
00.009702, 24.21494, 3390
00.009849, 24.21442, 3430
00.009996, 24.20971, 3490
00.010143, 24.21484, 3530
00.010290, 24.2125, 3590
00.010437, 24.21803, 3650
00.010584, 24.2177, 3690
00.010731, 24.21364, 3740
00.010878, 24.2152, 3790
00.011025, 24.21975, 3840
00.011172, 24.21698, 3910
00.011319, 24.22256, 3940
00.011466, 24.21546, 4000
00.011613, 24.22065, 4040
00.011760, 24.21672, 4100
00.011907, 24.21735, 4160
00.012054, 24.21265, 4200
00.012201, 24.21828, 4250
00.012348, 24.21631, 4300
00.012495, 24.21296, 4350
00.012642, 24.21519, 4420
00.012789, 24.21838, 4450
00.012936, 24.21144, 4510
00.013083, 24.21128, 4550
00.013230, 24.20971, 4610
00.013377, 24.20794, 4660
00.013524, 24.21322, 4710
00.013671, 24.21542, 4760
00.013818, 24.20964, 4810
00.013965, 24.20896, 4860
00.014112, 24.21116, 4910
00.014259, 24.21516, 4960
00.014406, 24.21213, 5020
00.014553, 24.21653, 5060
00.014700, 24.21272, 5120
00.014847, 3.332845, 5170
00.014994, -0.1722331, 5220
00.015141, -0.1667852, 5270
00.015288, -0.1751884, 5320
00.015435, -0.1766275, 5370
00.015582, -0.1772571, 5420
00.015729, -0.1722588, 5480
00.015876, -0.1677874, 5520
00.016023, -0.1709996, 5580
00.016170, -0.1714108, 5640
00.016317, -0.1711667, 5690
00.016464, -0.1693935, 5730
00.016611, -0.1716806, 5790
00.016758, -0.1695863, 5840
00.016905, -0.1733895, 5900
00.017052, -0.1718605, 5940
00.017199, -0.1651277, 5990
00.017346, -0.1707684, 6040
00.017493, -0.1664897, 6100
00.017640, -0.1740448, 6150
00.017787, -0.1632518, 6200
00.017934, -0.1682243, 6240
00.018081, -0.1645367, 6300
00.018228, -0.1661171, 6350
00.018375, -0.1659886, 6410
00.018522, -0.1702544, 6450
00.018669, -0.1624166, 6500
00.018816, -0.1671578, 6550
00.018963, -0.1632775, 6600
00.019110, -0.1615172, 6660
00.019257, -0.1618769, 6700
00.019404, -0.1634573, 6760
00.019551, -0.1662969, 6810
00.019698, -0.1686611, 6860
00.019845, -0.162725, 6910
00.019992, -0.1643182, 6960
00.020139, -0.1633674, 7010
00.020286, -0.1646523, 7060
00.020433, -0.1671578, 7120
00.020580, -0.1638942, 7160
00.020727, -0.1634702, 7220
00.020874, -0.1578809, 7270
00.021021, -0.1609389, 7320
00.021168, -0.1585491, 7370
00.021315, -0.1600138, 7420
00.021462, -0.1584463, 7470
00.021609, -0.1654104, 7520
00.021756, -0.1598725, 7580
00.021903, -0.159911, 7640
00.022050, -0.1611317, 7680
00.022197, -0.1620568, 7730
00.022344, -0.1598468, 7790
00.022491, -0.1671964, 7830
00.022638, -0.1646137, 7900
00.022785, -0.1598596, 7930
00.022932, -0.1660785, 7990
00.023079, -0.1658344, 8040
00.023226, -0.1654232, 8090
00.023373, -0.1633931, 8150
00.023520, -0.1605278, 8190
00.023667, -0.1623523, 8240
00.023814, -0.1623652, 8300
00.023961, -0.1634316, 8340
00.024108, -0.1635858, 8410
00.024255, -0.1655646, 8440
00.024402, -0.1663612, 8500
00.024549, -0.1629562, 8550
00.024696, -0.1592943, 8600
00.024843, -0.1607077, 8660
00.024990, -0.159911, 8700
00.025137, -0.1591915, 8750
00.025284, -0.1630205, 8800
00.025431, -0.1617741, 8860
00.025578, -0.1611702, 8910
00.025725, -0.1588446, 8960
00.025872, -0.1551569, 9010
00.026019, -0.1608362, 9060
00.026166, -0.1644724, 9110
00.026313, -0.1659372, 9160
