Meter S/N:, ERR-100
Sensor, THERMO,SINGLE, Serial
Date, 11/13/2013 1:43:19 PM
Timestamp, Measurement, PulsePeriod(uSec) 
00.000147, 24.24341, 70
00.000294, 24.24115, 110
00.000441, 24.24272, 170
00.000588, 24.24344, 220
00.000735, 24.23942, 270
00.000882, 24.24051, 320
00.001029, 24.23679, 370
00.001176, 24.23459, 420
00.001323, 24.23459, 470
00.001470, 24.23092, 520
00.001617, 24.23569, 590
00.001764, 24.23602, 620
00.001911, 24.2344, 680
00.002058, 24.23383, 730
00.002205, 24.23178, 780
00.002352, 24.22984, 840
00.002499, 24.23515, 880
00.002646, 3.018497, 930
00.002793, -0.1487967, 980
00.002940, -0.1515721, 1030
00.003087, -0.1583435, 1100
00.003234, -0.1604507, 1130
00.003381, -0.1545531, 1180
00.003528, -0.1569815, 1240
00.003675, -0.1533581, 1290
00.003822, -0.158806, 1360
00.003969, -0.1529855, 1390
00.004116, -0.1549257, 1450
00.004263, -0.1494135, 1500
00.004410, -0.1511738, 1540
00.004557, -0.1482057, 1610
00.004704, -0.1477945, 1660
00.004851, -0.1541804, 1700
00.004998, -0.1496062, 1760
00.005145, -0.1509939, 1800
00.005292, -0.1532553, 1860
00.005439, -0.1517006, 1910
00.005586, -0.1510582, 1960
00.005733, -0.1454175, 2010
00.005880, -0.1453404, 2060
00.006027, -0.1433102, 2110
00.006174, -0.1460728, 2170
00.006321, -0.143079, 2210
00.006468, -0.1451605, 2270
00.006615, -0.1500045, 2320
00.006762, -0.1447622, 2370
00.006909, -0.1402908, 2420
00.007056, -0.1490794, 2470
00.007203, -0.1434002, 2520
00.007350, -0.1468566, 2570
00.007497, -0.1447493, 2620
00.007644, -0.1430019, 2670
00.007791, -0.1451091, 2720
00.007938, -0.1487967, 2770
00.008085, -0.1486939, 2840
00.008232, -0.1498889, 2880
00.008379, -0.148347, 2930
00.008526, -0.1490537, 2980
00.008673, -0.1480001, 3030
00.008820, -0.1487196, 3090
00.008967, -0.1472035, 3130
00.009114, -0.1542061, 3180
00.009261, -0.1478716, 3240
00.009408, -0.14597, 3280
00.009555, -0.1418069, 3360
00.009702, -0.1454946, 3390
00.009849, -0.1500302, 3440
00.009996, -0.1473448, 3490
00.010143, -0.1513922, 3540
00.010290, -0.152009, 3610
00.010437, -0.1492207, 3650
00.010584, -0.1481928, 3700
00.010731, -0.151328, 3750
00.010878, -0.1416014, 3800
00.011025, -0.1422695, 4630
00.011172, -0.1489638, 4670
00.011319, -0.1405092, 4700
00.011466, -0.1417941, 4730
00.011613, -0.1508911, 4770
00.011760, -0.1482699, 4800
00.011907, -0.1476018, 4840
00.012054, -0.1420254, 4880
00.012201, -0.1480258, 4910
00.012348, -0.1438499, 4940
00.012495, -0.1457258, 4980
00.012642, -0.1446465, 5010
00.012789, -0.1457002, 5040
00.012936, -0.1405477, 5090
00.013083, -0.1415885, 5120
00.013230, -0.1470107, 5160
00.013377, -0.1513794, 5190
00.013524, -0.146818, 5220
00.013671, -0.1472549, 5260
00.013818, -0.1393528, 5290
00.013965, -0.1481671, 5340
00.014112, -0.146394, 5370
00.014259, -0.1514308, 5400
00.014406, -0.1425008, 5430
00.014553, -0.1412287, 5470
00.014700, -0.1438242, 5500
00.014847, -0.145456, 5530
00.014994, -0.1403936, 5570
00.015141, -0.1460856, 5610
00.015288, -0.1394556, 5640
00.015435, -0.1406505, 5680
00.015582, -0.1427706, 5710
00.015729, -0.1440555, 5740
00.015876, -0.1427064, 5780
00.016023, -0.1424237, 5810
00.016170, -0.1380936, 5930
00.016317, -0.1325943, 5970
00.016464, -0.1435287, 6000
00.016611, -0.1436829, 6030
00.016758, -0.1383506, 6070
00.016905, -0.1397383, 6110
00.017052, -0.1382992, 6140
00.017199, -0.1410874, 6180
00.017346, -0.137888, 6210
00.017493, -0.134316, 6240
00.017640, -0.1368987, 6280
00.017787, -0.1435672, 6310
00.017934, -0.1384148, 6360
00.018081, -0.1419483, 6390
00.018228, -0.1417298, 6420
00.018375, -0.1383249, 6460
00.018522, -0.1380807, 6490
00.018669, -0.1417298, 6520
00.018816, -0.1410874, 6570
00.018963, -0.1411773, 6620
00.019110, -0.1420511, 6670
00.019257, -0.1377724, 6720
00.019404, -0.1391986, 6770
00.019551, -0.1429505, 6830
00.019698, -0.1470878, 6870
00.019845, -0.1414729, 6920
00.019992, -0.1401494, 6980
00.020139, -0.1362434, 7020
00.020286, -0.1400081, 7090
00.020433, -0.1360378, 7130
00.020580, -0.1370271, 7180
00.020727, -0.1417941, 7230
00.020874, -0.1463683, 7280
00.021021, -0.139764, 7340
00.021168, -0.1415885, 7380
00.021315, -0.1403293, 7430
00.021462, -0.1437985, 7480
00.021609, -0.1413572, 7540
00.021756, -0.1375668, 7600
00.021903, -0.1336736, 7640
00.022050, -0.1322217, 7690
00.022197, -0.1373741, 7740
00.022344, -0.1351769, 7790
00.022491, -0.1377981, 7860
00.022638, -0.1309496, 7890
00.022785, -0.1336607, 7950
00.022932, -0.1346115, 8000
00.023079, -0.1375925, 8050
00.023226, -0.1368344, 8110
00.023373, -0.1376182, 8160
00.023520, -0.1396997, 8200
00.023667, -0.138736, 8260
00.023814, -0.1409075, 8300
00.023961, -0.1438242, 8360
00.024108, -0.1393656, 8410
00.024255, -0.1364746, 8470
00.024402, -0.1430533, 8510
