Meter S/N:, "serial number"
Sensor, THERMO,SINGLE, Horst
Date, 2/12/2014 4:00:57 PM
Timestamp, Measurement, Sequence, Flags, Flags (interpreted)
0.538600, 104.873092651367, 551680, 0, 0, "06bfd142 0000 006b0800"
0.538650, 100.876808166504, 551731, 0, 0, "edc0c942 0000 336b0800"
0.538700, 95.9114074707031, 551782, 0, 0, "a4d2bf42 0000 666b0800"
0.538750, 90.1191253662109, 551834, 0, 0, "fe3cb442 0000 9a6b0800"
0.538800, 83.6325836181641, 551885, 0, 0, "e243a742 0000 cd6b0800"
0.538850, 76.6429824829102, 551936, 0, 0, "35499942 0000 006c0800"
0.538900, 69.3083877563477, 551987, 0, 0, "e59d8a42 0000 336c0800"
0.538950, 61.830207824707, 552038, 0, 0, "22527742 0000 666c0800"
0.539000, 54.3919830322266, 552090, 0, 0, "64915942 0000 9a6c0800"
0.539050, 47.1939239501953, 552141, 0, 0, "94c63c42 0000 cd6c0800"
0.539100, 40.4194412231445, 552192, 0, 0, "82ad2142 0000 006d0800"
0.539150, 34.2476043701172, 552243, 0, 0, "8cfd0842 0000 336d0800"
0.539200, 28.8367595672607, 552294, 0, 0, "afb1e641 0000 666d0800"
0.539250, 24.3134384155273, 552346, 0, 0, "ec81c241 0000 9a6d0800"
0.539300, 20.8122005462646, 552397, 0, 0, "637fa641 0000 cd6d0800"
0.539350, 18.4173774719238, 552448, 0, 0, "ca569341 0000 006e0800"
0.539400, 17.1878452301025, 552499, 0, 0, "b5808941 0000 336e0800"
0.539450, 17.1529674530029, 552550, 0, 0, "47398941 0000 666e0800"
0.539500, 18.3265209197998, 552602, 0, 0, "b79c9241 0000 9a6e0800"
0.539550, 20.6555652618408, 552653, 0, 0, "993ea541 0000 cd6e0800"
0.539600, 24.1125316619873, 552704, 0, 0, "77e6c041 0000 006f0800"
0.539650, 28.5827350616455, 552755, 0, 0, "71a9e441 0000 336f0800"
0.539700, 33.9525756835938, 552806, 0, 0, "70cf0742 0000 666f0800"
0.539750, 40.0920715332031, 552858, 0, 0, "485e2042 0000 9a6f0800"
0.539800, 46.839527130127, 552909, 0, 0, "ad5b3b42 0000 cd6f0800"
0.539850, 54.0202560424805, 552960, 0, 0, "be145842 0000 00700800"
0.539900, 61.4468841552734, 553011, 0, 0, "9cc97542 0000 33700800"
0.539950, 68.9342880249023, 553062, 0, 0, "5bde8942 0000 66700800"
0.540000, 76.2741928100586, 553114, 0, 0, "638c9842 0000 9a700800"
0.540050, 83.2955856323242, 553165, 0, 0, "5797a642 0000 cd700800"
0.540100, 89.8004608154297, 553216, 0, 0, "d699b342 0000 00710800"
0.540150, 95.6413803100586, 553267, 0, 0, "6348bf42 0000 33710800"
0.540200, 100.639877319336, 553318, 0, 0, "9e47c942 0000 66710800"
0.540250, 104.704742431641, 553370, 0, 0, "d468d142 0000 9a710800"
0.540300, 107.684257507324, 553421, 0, 0, "575ed742 0000 cd710800"
0.540350, 109.547210693359, 553472, 0, 0, "2c18db42 0000 00720800"
0.540400, 110.204376220703, 553523, 0, 0, "a468dc42 0000 33720800"
0.540450, 109.683898925781, 553574, 0, 0, "285edb42 0000 66720800"
0.540500, 107.953521728516, 553626, 0, 0, "34e8d742 0000 9a720800"
0.540550, 105.099380493164, 553677, 0, 0, "e232d242 0000 cd720800"
0.540600, 101.153434753418, 553728, 0, 0, "8f4eca42 0000 00730800"
0.540650, 96.257568359375, 553779, 0, 0, "e083c042 0000 33730800"
0.540700, 90.4980621337891, 553830, 0, 0, "02ffb442 0000 66730800"
0.540750, 84.0600433349609, 553882, 0, 0, "be1ea842 0000 9a730800"
0.540800, 77.0874481201172, 553933, 0, 0, "c62c9a42 0000 cd730800"
0.540850, 69.7742538452148, 553984, 0, 0, "6b8c8b42 0000 00740800"
0.540900, 62.2963600158691, 554035, 0, 0, "792f7942 0000 33740800"
0.540950, 54.8512687683105, 554086, 0, 0, "b3675b42 0000 66740800"
0.541000, 47.6382904052734, 554138, 0, 0, "9c8d3e42 0000 9a740800"
0.541050, 40.8276405334473, 554189, 0, 0, "814f2342 0000 cd740800"
0.541100, 34.6134071350098, 554240, 0, 0, "21740a42 0000 00750800"
