Meter S/N:, ERR-100
Sensor, OPT,NOSPEC, 0119K06
Date, 11/8/2013 8:09:59 PM
Timestamp, Measurement, PulsePeriod(uSec) 
00.100, 5.09971E-06, 0
00.200, 5.09922E-06, 99990
00.300, 5.09865E-06, 200000
00.400, 5.09865E-06, 300000
00.500, 5.09831E-06, 400000
00.600, 5.09803E-06, 500000
00.700, 5.0978E-06, 600000
00.800, 5.09752E-06, 700000
00.900, -3.78832E-09, 800000
01.000, -6.19271E-09, 900000
01.100, -6.6569E-09, 1000000
01.200, -6.9216E-09, 1100000
01.300, -6.98874E-09, 1200000
01.400, -7.13547E-09, 1300000
01.500, -7.19398E-09, 1400000
01.600, -7.28605E-09, 1500000
01.700, -7.43854E-09, 1600000
01.800, -7.44621E-09, 1699990
01.900, -7.54787E-09, 1800000
02.000, -7.66968E-09, 1900000
02.100, -7.77709E-09, 2000000
02.200, -7.84327E-09, 2099990
02.300, -7.88451E-09, 2200000
02.400, -7.96699E-09, 2299990
02.500, -7.9785E-09, 2400000
02.600, -7.96986E-09, 2499990
02.700, -7.92479E-09, 2599990
02.800, -8.0581E-09, 2699990
02.900, -7.96027E-09, 2799990
03.000, -7.91999E-09, 2899990
03.100, -7.88067E-09, 2999990
03.200, -7.83751E-09, 3099990
03.300, -7.94205E-09, 3199990
03.400, -8.00823E-09, 3299990
03.500, -8.22785E-09, 3400000
03.600, 2.32093E-05, 3500000
03.700, 2.32095E-05, 3599990
03.800, 2.32091E-05, 3699990
03.900, 2.32087E-05, 3800000
04.000, 2.32085E-05, 3900000
04.100, 2.32085E-05, 4000000
04.200, 2.32088E-05, 4100000
04.300, 2.32098E-05, 4199990
04.400, 2.32109E-05, 4300000
04.500, 2.32121E-05, 4399990
04.600, 2.32129E-05, 4500000
04.700, 2.32135E-05, 4599990
04.800, 2.32146E-05, 4699990
04.900, 1.00465E-05, 4800000
05.000, 3.94085E-06, 4899990
05.100, 3.93964E-06, 4999990
05.200, 3.9392E-06, 5099990
05.300, 3.93879E-06, 5199990
05.400, 3.93839E-06, 5299990
05.500, 3.93833E-06, 5399990
05.600, 3.93812E-06, 5499990
05.700, 3.93811E-06, 5599990
05.800, 3.93811E-06, 5699990
05.900, 3.93812E-06, 5799990
06.000, 3.93807E-06, 5899990
06.100, 3.93799E-06, 5999990
06.200, 3.95884E-06, 6099990
06.300, 5.1158E-06, 6199990
06.400, 5.11141E-06, 6299990
06.500, 5.10966E-06, 6399990
06.600, 5.10883E-06, 6499990
06.700, 5.10795E-06, 6599990
06.800, 5.10707E-06, 6699990
06.900, 5.10681E-06, 6799990
07.000, 5.10647E-06, 6899990
07.100, 5.10646E-06, 6999990
07.200, 5.10596E-06, 7099990
07.300, 5.106E-06, 7199990
07.400, 5.10578E-06, 7299990
07.500, 5.10597E-06, 7399990
07.600, 1.94816E-07, 7499990
07.700, -1.9565E-09, 7599990
07.800, -2.59428E-09, 7699990
07.900, -2.97024E-09, 7799990
08.000, -3.06806E-09, 7899990
08.100, -3.10834E-09, 7999990
08.200, -3.16109E-09, 8099990
08.300, -3.19658E-09, 8199990
08.400, -3.2522E-09, 8299990
