Meter S/N:, "serial number"
Sensor, THERMO,SINGLE, 678
Date, 5/14/2014 2:30:26 PM
Units, W
Timestamp, Measurement, Sequence, Flags, Flags (interpreted)
0, -0.000489605241455138, 0, 32, NegativePower
0.1, -0.000619500526227057, 0, 32, NegativePower
0.2, -0.000539564935024828, 0, 32, NegativePower
0.3, -0.000709427986294031, 0, 32, NegativePower
0.4, -0.000249798584263772, 0, 32, NegativePower
0.5, -0.000449637474957854, 0, 32, NegativePower
0.6, -0.000209830817766488, 0, 32, NegativePower
0.7, -0.000629492395091802, 0, 32, NegativePower
0.8, -0.000359709956683218, 0, 32, NegativePower
0.9, -0.0005595488473773, 0, 32, NegativePower
1, -0.000189846934517846, 0, 32, NegativePower
1.1, -0.000209830817766488, 0, 32, NegativePower
1.2, -0.000379693869035691, 0, 32, NegativePower
1.3, -0.000129895255668089, 0, 32, NegativePower
1.4, -2.99758303299313E-05, 0, 32, NegativePower
1.5, -0.000449637474957854, 0, 32, NegativePower
1.6, -4.99597190355416E-05, 0, 32, NegativePower
1.7, 0.000119903321319725, 0, 0, 0
1.8, -9.99194344331045E-06, 0, 32, NegativePower
1.9, -0.000109911379695404, 0, 32, NegativePower
2, 4.99597190355416E-05, 0, 0, 0
2.1, -7.99355475464836E-05, 0, 32, NegativePower
2.2, -0.000149879153468646, 0, 32, NegativePower
2.3, 2.99758303299313E-05, 0, 0, 0
2.4, -5.99516606598627E-05, 0, 32, NegativePower
2.5, -0.000169863036717288, 0, 32, NegativePower
2.6, 0.000149879153468646, 0, 0, 0
2.7, 0.000259790511336178, 0, 0, 0
2.8, 0.000629492395091802, 0, 0, 0
2.9, 0.000349718000506982, 0, 0, 0
3, 0.00124899297952652, 0, 0, 0
3.1, 0.00428654393181205, 0, 0, 0
3.2, 0.00759387668222189, 0, 4, Calculating
3.3, 0.0113408556208014, 0, 4, Calculating
3.4, 0.0145582621917129, 0, 4, Calculating
3.5, 0.0203336048871279, 0, 4, Calculating
3.6, 0.0283671282231808, 0, 4, Calculating
3.7, 0.0295261926949024, 0, 4, Calculating
3.8, 0.0286868698894978, 0, 4, Calculating
3.9, 0.0289566516876221, 0, 4, Calculating
4, 0.0308850985020399, 0, 4, Calculating
4.1, 0.032933447510004, 0, 4, Calculating
4.2, 0.0355213582515717, 0, 4, Calculating
4.3, 0.0376796163618565, 0, 4, Calculating
4.4, 0.0403474681079388, 0, 4, Calculating
4.5, 0.0428154803812504, 0, 4, Calculating
4.6, 0.0457730926573277, 0, 4, Calculating
4.7, 0.0478614084422588, 0, 4, Calculating
4.8, 0.0470920316874981, 0, 4, Calculating
4.9, 0.0418062917888165, 0, 4, Calculating
5, 0.0353514961898327, 0, 4, Calculating
5.1, 0.0313347354531288, 0, 4, Calculating
5.2, 0.0310349762439728, 0, 4, Calculating
5.3, 0.0304254684597254, 0, 4, Calculating
5.4, 0.0293763149529696, 0, 4, Calculating
5.5, 0.0292963795363903, 0, 4, Calculating
5.6, 0.0296361055225134, 0, 4, Calculating
5.7, 0.0323239378631115, 0, 4, Calculating
5.8, 0.0383790545165539, 0, 4, Calculating
5.9, 0.0398378781974316, 0, 4, Calculating
6, 0.0367403775453568, 0, 4, Calculating
6.1, 0.0373199060559273, 0, 4, Calculating
6.2, 0.0376996025443077, 0, 4, Calculating
6.3, 0.0358111262321472, 0, 4, Calculating
6.4, 0.0343023426830769, 0, 4, Calculating
6.5, 0.0345221646130085, 0, 4, Calculating
6.6, 0.0344122536480427, 0, 4, Calculating
6.7, 0.0345221646130085, 0, 4, Calculating
6.8, 0.0350217632949352, 0, 4, Calculating
6.9, 0.0359709970653057, 0, 4, Calculating
7, 0.0371500477194786, 0, 4, Calculating
7.1, 0.0408470667898655, 0, 4, Calculating
7.2, 0.0453434400260448, 0, 4, Calculating
7.3, 0.0445340946316719, 0, 4, Calculating
7.4, 0.042885422706604, 0, 4, Calculating
7.5, 0.042116042226553, 0, 4, Calculating
7.6, 0.0423958152532578, 0, 4, Calculating
7.7, 0.0449737347662449, 0, 4, Calculating
7.8, 0.0464725308120251, 0, 4, Calculating
7.9, 0.0465724505484104, 0, 4, Calculating
8, 0.0461328029632568, 0, 4, Calculating
8.1, 0.0458929985761642, 0, 4, Calculating
8.2, 0.0454233773052692, 0, 4, Calculating
8.3, 0.046342633664608, 0, 4, Calculating
8.4, 0.0438146740198135, 0, 4, Calculating
8.5, 0.0406971871852875, 0, 4, Calculating
8.6, 0.0364506095647812, 0, 4, Calculating
8.7, 0.0327036306262016, 0, 4, Calculating
8.8, 0.0301956534385681, 0, 4, Calculating
8.9, 0.02750782109797, 0, 4, Calculating
9, 0.0258291736245155, 0, 4, Calculating
9.1, 0.0248199887573719, 0, 4, Calculating
9.2, 0.0242304615676403, 0, 4, Calculating
9.3, 0.0236609224230051, 0, 4, Calculating
9.4, 0.0234510917216539, 0, 4, Calculating
9.5, 0.0231513325124979, 0, 4, Calculating
9.6, 0.0229514949023724, 0, 4, Calculating
9.7, 0.0226417426019907, 0, 4, Calculating
9.8, 0.0230114459991455, 0, 4, Calculating
9.8, 0.211039274930954, 0, 8, FinalEnergyRecord
10, 0.022591782733798, 0, 0, 0
10.1, 0.0227516554296017, 0, 0, 0
10.2, 0.0226217601448298, 0, 0, 0
10.3, 0.0218723639845848, 0, 0, 0
10.4, 0.0221121720969677, 0, 0, 0
10.5, 0.0222720429301262, 0, 0, 0
10.6, 0.0222420673817396, 0, 0, 0
10.7, 0.0218623708933592, 0, 0, 0
10.8, 0.0222920253872871, 0, 0, 0
10.9, 0.0220921877771616, 0, 0, 0
11, 0.022082194685936, 0, 0, 0
11.1, 0.0218723639845848, 0, 0, 0
11.2, 0.0221421476453543, 0, 0, 0
11.3, 0.022062212228775, 0, 0, 0
11.4, 0.0218224041163921, 0, 0, 0
11.5, 0.0218124128878117, 0, 0, 0
11.6, 0.0218923483043909, 0, 0, 0
11.7, 0.0218323972076178, 0, 0, 0
11.8, 0.0221721231937408, 0, 0, 0
11.9, 0.0223419852554798, 0, 0, 0
12, 0.0223819520324469, 0, 0, 0
12.1, 0.0222420673817396, 0, 0, 0
12.2, 0.0226917043328285, 0, 0, 0
12.3, 0.022062212228775, 0, 0, 0
12.4, 0.022122161462903, 0, 0, 0
12.5, 0.0217524617910385, 0, 0, 0
12.6, 0.0223220027983189, 0, 0, 0
12.7, 0.0221121720969677, 0, 0, 0
12.8, 0.0225718002766371, 0, 0, 0
12.9, 0.0227516554296017, 0, 0, 0
13, 0.022591782733798, 0, 0, 0
13.1, 0.0233911406248808, 0, 0, 0
13.2, 0.0233711544424295, 0, 0, 0
13.3, 0.0234311074018478, 0, 0, 0
13.4, 0.0233411807566881, 0, 0, 0
13.5, 0.0239107217639685, 0, 0, 0
13.6, 0.0249598734080791, 0, 0, 0
13.7, 0.0281373132020235, 0, 0, 0
13.8, 0.0321640633046627, 0, 4, Calculating
13.9, 0.0371200703084469, 0, 4, Calculating
14, 0.0411168485879898, 0, 4, Calculating
14.1, 0.0445440858602524, 0, 4, Calculating
14.2, 0.0480412654578686, 0, 4, Calculating
