Meter S/N:, "REV_DA_13"
Sensor, None, 
Date, 11/7/2014 12:23:23 PM
Units, W
Timestamp, Measurement, Sequence, Flags, Flags (interpreted), Period
0, 0.000213801045902073, 0, 0, 0, 0
5.12E-05, 2637.77465820313, 1, 0, 0, 880
0.0001024, 0.000212254439247772, 3, 256, MissingSamples, 0
0.0001536, 2637.77465820313, 4, 0, 0, 881
0.0002048, 0.000213838182389736, 6, 256, MissingSamples, 0
0.000256, 0.000213838182389736, 7, 0, 0, 1000
0.0003072, 2637.77465820313, 8, 0, 0, 880
0.0003584, 0.00021408058819361, 9, 0, 0, 120
0.0004096, 0.00021408058819361, 10, 0, 0, 880
0.0004608, 0.000216021391679533, 11, 0, 0, 120
0.000512, 2637.77465820313, 12, 0, 0, 880
0.0005632, 0.000213864012039267, 14, 256, MissingSamples, 0
0.0006144, 0.000213864012039267, 15, 0, 0, 1000
0.0006656, 0.000214699146454223, 16, 0, 0, 1000
0.0007168, 0.00021409138571471, 17, 0, 0, 880
0.000768, 0.0002161648881156, 18, 0, 0, 120
0.0008192, 0.000212683691643178, 20, 256, MissingSamples, 0
0.0008704, 0.000212683691643178, 21, 0, 0, 1000
0.0009216, 0.000213173858355731, 22, 0, 0, 1000
0.0009728, 0.000213173858355731, 23, 0, 0, 880
0.001024, 0.000215452499105595, 24, 0, 0, 120
0.0010752, 0.000215452499105595, 25, 0, 0, 880
0.0011264, 0.000215029154787771, 26, 0, 0, 120
0.0011776, 0.000214914136449806, 28, 256, MissingSamples, 0
0.0012288, 0.000215020481846295, 29, 0, 0, 1000
0.00128, 0.000214507992495783, 30, 0, 0, 1000
0.0013312, 0.000214507992495783, 32, 256, MissingSamples, 0
0.0013824, 0.000213360035559162, 33, 0, 0, 880
0.0014336, 0.000214040774153545, 34, 0, 0, 120
0.0014848, 0.000214040774153545, 35, 0, 0, 880
0.001536, 2637.77465820313, 36, 0, 0, 120
0.0015872, 0.000214673316804692, 37, 0, 0, 880
0.0016384, 2637.77465820313, 38, 0, 0, 120
0.0016896, 0.000215137959457934, 39, 0, 0, 1000
0.0017408, 2637.77465820313, 40, 0, 0, 880
0.001792, 2637.77465820313, 41, 0, 0, 120
0.0018432, 0.00021505617769435, 42, 0, 0, 1000
0.0018944, 2637.77465820313, 43, 0, 0, 880
0.0019456, 0.00021347361325752, 44, 0, 0, 120
0.0019968, 2637.77465820313, 45, 0, 0, 880
0.002048, 0.000212831713724881, 47, 256, MissingSamples, 0
0.0020992, 0.000212831713724881, 48, 0, 0, 1000
0.0021504, 0.000214497194974683, 49, 0, 0, 880
0.0022016, 2637.77465820313, 50, 0, 0, 120
0.0022528, 0.000213813065784052, 52, 256, MissingSamples, 0
0.002304, 0.000214723782846704, 54, 256, MissingSamples, 0
0.0023552, 0.000215147141716443, 56, 256, MissingSamples, 0
0.0024064, 0.000215147141716443, 57, 0, 0, 1000
0.0024576, 0.000214233936276287, 58, 0, 0, 1000
0.0025088, 0.000213785693631507, 59, 0, 0, 880
0.00256, 2637.77465820313, 60, 0, 0, 120
0.0026112, 0.000215404928894714, 61, 0, 0, 1000
0.0026624, 0.000215404928894714, 62, 0, 0, 880
0.0027136, 0.000215067120734602, 63, 0, 0, 120
0.0027648, 0.000214806175790727, 64, 0, 0, 1000
0.002816, 0.000214806175790727, 66, 256, MissingSamples, 0
0.0028672, 2637.77465820313, 67, 0, 0, 880
0.0029184, 0.000214725703699514, 68, 0, 0, 120
0.0029696, 0.00021593930432573, 69, 0, 0, 1000
0.0030208, 0.00021593930432573, 70, 0, 0, 1000
0.003072, 0.000214876708923839, 71, 0, 0, 1000
0.0031232, 0.00021506953635253, 72, 0, 0, 1000
0.0031744, 2637.77465820313, 73, 0, 0, 880
0.0032256, 0.000214216997846961, 75, 256, MissingSamples, 0
0.0032768, 0.000215595660847612, 76, 0, 0, 1000
0.003328, 0.000214166488149203, 78, 256, MissingSamples, 0
0.0033792, 0.000214166488149203, 79, 0, 0, 1000
0.0034304, 2637.77465820313, 80, 0, 0, 880
0.0034816, 2637.77465820313, 82, 256, MissingSamples, 0
0.0035328, 0.000213822146179155, 83, 0, 0, 881
0.003584, 0.000212627273867838, 85, 256, MissingSamples, 0
0.0036352, 0.000212627273867838, 86, 0, 0, 1000
0.0036864, 0.000215397492866032, 87, 0, 0, 1000
0.0037376, 0.000213069506571628, 88, 0, 0, 1000
0.0037888, 0.00021557995933108, 89, 0, 0, 1000
0.00384, 0.00021557995933108, 90, 0, 0, 880
0.0038912, 0.000214432206121273, 91, 0, 0, 120
0.0039424, 0.000214432206121273, 92, 0, 0, 880
0.0039936, 2637.77465820313, 94, 256, MissingSamples, 0
0.0040448, 0.000214726620470174, 95, 0, 0, 880
0.004096, 0.00021356061915867, 96, 0, 0, 120
0.0041472, 0.0002150357759092, 97, 0, 0, 1000
0.0041984, 2637.77465820313, 98, 0, 0, 880
0.0042496, 0.000215480278711766, 99, 0, 0, 120
0.0043008, 2637.77465820313, 100, 0, 0, 880
0.004352, 2637.77465820313, 101, 0, 0, 120
0.0044032, 0.000212372659007087, 102, 0, 0, 880
0.0044544, 0.000214428393519484, 104, 256, MissingSamples, 0
0.0045056, 0.000214428393519484, 105, 0, 0, 880
0.0045568, 0.000214122803299688, 106, 0, 0, 120
0.004608, 2637.77465820313, 107, 0, 0, 880
0.0046592, 0.00021533208200708, 108, 0, 0, 120
0.0047104, 0.00021533208200708, 109, 0, 0, 880
0.0047616, 0.000213819905184209, 111, 256, MissingSamples, 0
0.0048128, 0.000213819905184209, 112, 0, 0, 881
0.004864, 2637.77465820313, 113, 0, 0, 119
0.0049152, 2637.77465820313, 114, 0, 0, 880
0.0049664, 2637.77465820313, 115, 0, 0, 120
0.0050176, 0.000213541628909297, 116, 0, 0, 1000
0.0050688, 2637.77465820313, 117, 0, 0, 880
0.00512, 0.000214148632949218, 118, 0, 0, 120
0.0051712, 0.000215122927329503, 119, 0, 0, 1000
0.0052224, 2637.77465820313, 120, 0, 0, 880
0.0052736, 0.000215675347135402, 121, 0, 0, 120
0.0053248, 0.000216710133827291, 122, 0, 0, 1001
0.005376, 2637.77465820313, 123, 0, 0, 879
0.0054272, 2637.77465820313, 124, 0, 0, 120
0.0054784, 0.000213156497920863, 125, 0, 0, 881
0.0055296, 2637.77465820313, 126, 0, 0, 119
0.0055808, 0.000214125582715496, 127, 0, 0, 880
0.005632, 2637.77465820313, 129, 256, MissingSamples, 0
0.0056832, 0.000215361797017977, 131, 256, MissingSamples, 0
0.0057344, 0.000214010302443057, 132, 0, 0, 1000
0.0057856, 0.000214717219932936, 133, 0, 0, 1000
0.0058368, 0.000213843610254116, 134, 0, 0, 1000
0.005888, 2637.77465820313, 135, 0, 0, 880
0.0059392, 2637.77465820313, 136, 0, 0, 120
0.0059904, 0.000213409424759448, 137, 0, 0, 1000
0.0060416, 0.000213976571103558, 139, 256, MissingSamples, 0
0.0060928, 0.000214950370718725, 141, 256, MissingSamples, 0
0.006144, 0.000214950370718725, 142, 0, 0, 880
0.0061952, 2637.77465820313, 144, 256, MissingSamples, 0
0.0062464, 2637.77465820313, 145, 0, 0, 880
0.0062976, 0.000214378000237048, 146, 0, 0, 120
0.0063488, 0.000214378000237048, 148, 256, MissingSamples, 0
0.0064, 0.000213540013646707, 149, 0, 0, 119
0.0064512, 0.000214377927477472, 150, 0, 0, 1000
0.0065024, 0.000214377927477472, 152, 256, MissingSamples, 0
0.0065536, 2637.77465820313, 153, 0, 0, 880
0.0066048, 2637.77465820313, 155, 256, MissingSamples, 0
0.006656, 0.000215370440855622, 156, 0, 0, 880
0.0067072, 0.000213250488741323, 158, 256, MissingSamples, 0
0.0067584, 0.000215641950489953, 159, 0, 0, 1001
0.0068096, 0.000215641950489953, 160, 0, 0, 999
0.0068608, 0.000214330008020625, 161, 0, 0, 1000
0.006912, 0.000214330008020625, 162, 0, 0, 881
0.0069632, 0.000214337473153137, 164, 256, MissingSamples, 0
0.0070144, 0.000214337473153137, 165, 0, 0, 881
0.0070656, 2637.77465820313, 166, 0, 0, 119
0.0071168, 0.00021479616407305, 167, 0, 0, 1000
0.007168, 0.000213968334719539, 168, 0, 0, 1001
0.0072192, 0.000216162472497672, 170, 256, MissingSamples, 0
0.0072704, 0.000214795873034745, 171, 0, 0, 119
0.0073216, 0.000215711508644745, 172, 0, 0, 1001
0.0073728, 0.000213110499316826, 173, 0, 0, 999
0.007424, 0.000213110499316826, 175, 256, MissingSamples, 0
0.0074752, 0.000214605548535474, 176, 0, 0, 1000
0.0075264, 0.000215142557863146, 177, 0, 0, 1000
0.0075776, 0.000215142557863146, 178, 0, 0, 1000
0.0076288, 0.000214488944038749, 180, 256, MissingSamples, 0
0.00768, 0.0002143523452105, 181, 0, 0, 1000
0.0077312, 2637.77465820313, 182, 0, 0, 881
0.0077824, 0.000215658496017568, 183, 0, 0, 120
0.0078336, 0.000215658496017568, 184, 0, 0, 879
0.0078848, 2637.77465820313, 185, 0, 0, 121
0.007936, 0.000213435530895367, 186, 0, 0, 999
0.0079872, 0.000213435530895367, 187, 0, 0, 881
0.0080384, 2637.77465820313, 188, 0, 0, 119
0.0080896, 2637.77465820313, 189, 0, 0, 881
0.0081408, 0.000215089035918936, 191, 256, MissingSamples, 0
0.008192, 0.000213819526834413, 192, 0, 0, 999
0.0082432, 2637.77465820313, 193, 0, 0, 881
0.0082944, 0.000213646810152568, 194, 0, 0, 119
0.0083456, 0.000216014290344901, 195, 0, 0, 1001
0.0083968, 0.000216014290344901, 196, 0, 0, 879
0.008448, 0.000212677245144732, 197, 0, 0, 120
0.0084992, 0.000212677245144732, 199, 256, MissingSamples, 0
0.0085504, 2637.77465820313, 201, 256, MissingSamples, 0
0.0086016, 0.000215060135815293, 202, 0, 0, 120
0.0086528, 0.000215060135815293, 203, 0, 0, 880
0.008704, 0.000215154475881718, 204, 0, 0, 120
0.0087552, 0.000214107232750393, 205, 0, 0, 999
0.0088064, 0.000214733940083534, 206, 0, 0, 1000
0.0088576, 0.000214733940083534, 207, 0, 0, 1000
0.0089088, 0.000214028244954534, 208, 0, 0, 881
0.00896, 2637.77465820313, 209, 0, 0, 119
0.0090112, 0.00021391361951828, 211, 256, MissingSamples, 0
0.0090624, 0.000215808016946539, 212, 0, 0, 1000
0.0091136, 0.000215808016946539, 213, 0, 0, 880
0.0091648, 2637.77465820313, 214, 0, 0, 119
0.009216, 0.000214388826861978, 215, 0, 0, 1000
0.0092672, 0.000214388826861978, 216, 0, 0, 880
0.0093184, 2637.77465820313, 217, 0, 0, 120
0.0093696, 0.000213331251870841, 218, 0, 0, 999
0.0094208, 2637.77465820313, 219, 0, 0, 881
0.009472, 0.000215301275602542, 220, 0, 0, 120
0.0095232, 0.000214185347431339, 221, 0, 0, 999
0.0095744, 0.000214987871004269, 223, 256, MissingSamples, 0
0.0096256, 0.000214987871004269, 225, 256, MissingSamples, 0
0.0096768, 0.000213957740925252, 226, 0, 0, 1000
0.009728, 2637.77465820313, 227, 0, 0, 880
0.0097792, 2637.77465820313, 229, 256, MissingSamples, 0
0.0098304, 0.000215068343095481, 230, 0, 0, 1000
0.0098816, 0.000214273124583997, 232, 256, MissingSamples, 1
0.0099328, 0.000215939915506169, 233, 0, 0, 1000
0.009984, 2637.77465820313, 234, 0, 0, 880
0.0100352, 0.000215039850445464, 235, 0, 0, 120
0.0100864, 0.000216071493923664, 236, 0, 0, 1000
0.0101376, 0.000216071493923664, 238, 256, MissingSamples, 0
0.0101888, 2637.77465820313, 239, 0, 0, 880
0.01024, 0.000213871273444965, 240, 0, 0, 119
0.0102912, 0.000214849613257684, 241, 0, 0, 1001
0.0103424, 2637.77465820313, 242, 0, 0, 880
0.0103936, 2637.77465820313, 243, 0, 0, 120
0.0104448, 2637.77465820313, 244, 0, 0, 879
0.010496, 2637.77465820313, 245, 0, 0, 120
0.0105472, 2637.77465820313, 246, 0, 0, 881
0.0105984, 0.000214412008062936, 248, 256, MissingSamples, 0
0.0106496, 0.000214412008062936, 249, 0, 0, 999
0.0107008, 0.000213368039112538, 250, 0, 0, 1001
0.010752, 0.00021446350729093, 251, 0, 0, 1000
0.0108032, 0.00021446350729093, 252, 0, 0, 880
0.0108544, 0.000213146922760643, 253, 0, 0, 119
0.0109056, 0.000213146922760643, 254, 0, 0, 1001
0.0109568, 2637.77465820313, 255, 0, 0, 880
0.011008, 2637.77465820313, 256, 0, 0, 120
0.0110592, 0.000215932377614081, 257, 0, 0, 999
0.0111104, 2637.77465820313, 258, 0, 0, 881
0.0111616, 0.000214089362998493, 259, 0, 0, 119
0.0112128, 2637.77465820313, 260, 0, 0, 881
0.011264, 2637.77465820313, 261, 0, 0, 120
0.0113152, 0.000214405547012575, 262, 0, 0, 1000
0.0113664, 0.000214405547012575, 264, 256, MissingSamples, 0
0.0114176, 2637.77465820313, 265, 0, 0, 880
0.0114688, 0.000214984422200359, 266, 0, 0, 120
0.01152, 0.000216649466892704, 267, 0, 0, 1000
0.0115712, 2637.77465820313, 268, 0, 0, 880
0.0116224, 0.000213173858355731, 270, 256, MissingSamples, 1
0.0116736, 2637.77465820313, 271, 0, 0, 880
0.0117248, 2637.77465820313, 272, 0, 0, 120
0.011776, 0.000215213964111172, 273, 0, 0, 999
0.0118272, 0.000212837650906295, 274, 0, 0, 881
0.0118784, 0.000214041967410594, 276, 256, MissingSamples, 0
0.0119296, 0.000214041967410594, 277, 0, 0, 1000
0.0119808, 0.00021518456924241, 278, 0, 0, 1000
0.012032, 0.00021518456924241, 279, 0, 0, 880
0.0120832, 2637.77465820313, 280, 0, 0, 120
0.0121344, 0.000215382518945262, 281, 0, 0, 1000
0.0121856, 0.000215382518945262, 282, 0, 0, 880
0.0122368, 2637.77465820313, 283, 0, 0, 120
0.012288, 2637.77465820313, 284, 0, 0, 880
0.0123392, 0.000213777122553438, 286, 256, MissingSamples, 0
0.0123904, 0.000213777122553438, 287, 0, 0, 1000
0.0124416, 2637.77465820313, 288, 0, 0, 880
0.0124928, 0.000212998173083179, 289, 0, 0, 119
0.012544, 0.000212998173083179, 291, 256, MissingSamples, 0
0.0125952, 0.000213698658626527, 292, 0, 0, 1000
0.0126464, 2637.77465820313, 293, 0, 0, 880
0.0126976, 0.00021463593293447, 294, 0, 0, 120
0.0127488, 2637.77465820313, 296, 256, MissingSamples, 0
0.0128, 0.000214252300793305, 297, 0, 0, 121
0.0128512, 0.000214252300793305, 298, 0, 0, 880
0.0129024, 0.000214212937862612, 299, 0, 0, 120
0.0129536, 2637.77465820313, 301, 256, MissingSamples, 0
0.0130048, 2637.77465820313, 302, 0, 0, 119
0.013056, 0.00021698884665966, 303, 0, 0, 1001
