Meter S/N:, "REV_DA_13"
Sensor, THERMO,SINGLE, 0781D14R, PM-Pro 150F HD
Date, 11/7/2014 2:11:46 PM
Units, W
Timestamp, Measurement, Sequence, Flags, Flags (interpreted), Period
0, 12.2665281295776, 0, 0, 0, 0
5.12E-05, 16.3826313018799, 51, 0, 0, 0
0.0001024, 20.1640319824219, 102, 16, OverRange, 0
0.0001536, 22.4861259460449, 153, 16, OverRange, 0
0.0002048, 22.5754222869873, 204, 16, OverRange, 0
0.000256, 22.5754222869873, 256, 16, OverRange, 0
0.0003072, 22.5754222869873, 307, 16, OverRange, 0
0.0003584, 22.5661087036133, 358, 16, OverRange, 0
0.0004096, 20.741397857666, 409, 16, OverRange, 0
0.0004608, 17.0568065643311, 460, 0, 0, 0
0.000512, 12.9681348800659, 512, 0, 0, 0
0.0005632, 8.88881206512451, 563, 0, 0, 0
0.0006144, 5.24360036849976, 614, 0, 0, 0
0.0006656, 2.40513324737549, 665, 0, 0, 0
0.0007168, 0.661987900733948, 716, 0, 0, 0
0.000768, 0.199033066630363, 768, 0, 0, 0
0.0008192, 1.0559446811676, 819, 1, TriggerDetected, 0
0.0008704, 3.15047264099121, 870, 0, 0, 0
0.0009216, 6.26637029647827, 921, 0, 0, 0
0.0009728, 10.0825986862183, 972, 0, 0, 0
0.001024, 14.2086734771729, 1024, 0, 0, 0
0.0010752, 18.2206859588623, 1075, 16, OverRange, 0
0.0011264, 21.6389961242676, 1126, 16, OverRange, 0
0.0011776, 22.5754222869873, 1177, 16, OverRange, 0
0.0012288, 22.5754222869873, 1228, 16, OverRange, 0
0.00128, 22.5754222869873, 1280, 16, OverRange, 0
0.0013312, 22.5754222869873, 1331, 16, OverRange, 0
0.0013824, 22.1223659515381, 1382, 16, OverRange, 0
0.0014336, 19.0905055999756, 1433, 16, OverRange, 0
0.0014848, 15.1663064956665, 1484, 0, 0, 0
0.001536, 11.0274248123169, 1536, 0, 0, 0
0.0015872, 7.10243606567383, 1587, 0, 0, 0
0.0016384, 3.7933132648468, 1638, 0, 0, 0
0.0016896, 1.43884325027466, 1689, 0, 0, 0
0.0017408, 0.281508952379227, 1740, 0, 0, 0
0.001792, 0.438657611608505, 1792, 0, 0, 0
0.0018432, 1.8955864906311, 1843, 1, TriggerDetected, 0
0.0018944, 4.50345087051392, 1894, 0, 0, 0
0.0019456, 7.99239683151245, 1945, 0, 0, 0
0.0019968, 12.0069389343262, 1996, 0, 0, 0
0.002048, 16.1316928863525, 2048, 0, 0, 0
0.0020992, 19.9439258575439, 2099, 16, OverRange, 0
0.0021504, 22.4336566925049, 2150, 16, OverRange, 0
0.0022016, 22.5754222869873, 2201, 16, OverRange, 0
0.0022528, 22.5754222869873, 2252, 16, OverRange, 0
0.002304, 22.5754222869873, 2304, 16, OverRange, 0
0.0023552, 22.575174331665, 2355, 16, OverRange, 0
0.0024064, 20.9521560668945, 2406, 16, OverRange, 0
0.0024576, 17.3050556182861, 2457, 0, 0, 0
0.0025088, 13.2295627593994, 2508, 0, 0, 0
0.00256, 9.13692951202393, 2560, 0, 0, 0
0.0026112, 5.45406579971313, 2611, 0, 0, 0
0.0026624, 2.55641627311707, 2662, 0, 0, 0
0.0027136, 0.736686289310455, 2713, 0, 0, 0
0.0027648, 0.190720468759537, 2764, 0, 0, 0
0.002816, 0.966646730899811, 2816, 0, 0, 0
0.0028672, 2.98904037475586, 2867, 1, TriggerDetected, 0
0.0029184, 6.0483775138855, 2918, 0, 0, 0
0.0029696, 9.83334064483643, 2969, 0, 0, 0
0.0030208, 13.9535102844238, 3020, 0, 0, 0
0.003072, 17.9807281494141, 3072, 0, 0, 0
0.0031232, 21.477237701416, 3123, 16, OverRange, 0
0.0031744, 22.5754222869873, 3174, 16, OverRange, 0
0.0032256, 22.5754222869873, 3225, 16, OverRange, 0
0.0032768, 22.5754222869873, 3276, 16, OverRange, 0
0.003328, 22.5754222869873, 3328, 16, OverRange, 0
0.0033792, 22.2213039398193, 3379, 16, OverRange, 0
0.0034304, 19.3197898864746, 3430, 16, OverRange, 0
0.0034816, 15.4204168319702, 3481, 0, 0, 0
0.0035328, 11.2855634689331, 3532, 0, 0, 0
0.003584, 7.33236217498779, 3584, 0, 0, 0
0.0036352, 3.97291922569275, 3635, 0, 0, 0
0.0036864, 1.5516768693924, 3686, 0, 0, 0
0.0037376, 0.314107000827789, 3737, 0, 0, 0
0.0037888, 0.389339178800583, 3788, 0, 0, 0
0.00384, 1.76669669151306, 3840, 1, TriggerDetected, 0
