Meter S/N:, "serial number"
Sensor, THERMO,SINGLE, 678
Date, 3/1/2014 9:57:29 PM
Timestamp, Measurement, Sequence, Flags, Flags (interpreted)
0.100000, 0.0157550387084484, 0, 4, Calculating, "b610813c 0400 00000000"
0.200000, 0.0140666430816054, 100000, 4, Calculating, "c777663c 0400 a0860100"
0.300000, 0.0126879513263702, 200000, 4, Calculating, "20e14f3c 0400 400d0300"
0.400000, 0.0116189662367105, 300000, 4, Calculating, "7a5d3e3c 0400 e0930400"
0.500000, 0.0103301899507642, 400000, 4, Calculating, "f53f293c 0400 801a0600"
0.600000, 0.00875168945640326, 500000, 4, Calculating, "3f630f3c 0400 20a10700"
0.700000, 0.0085219070315361, 600010, 4, Calculating, "789f0b3c 0400 ca270900"
0.700000, 0.0730671435594559, 600280, 8, FinalEnergyRecord, "3aa4953d 0800 d8280900"
0.800000, 0.0074529224075377, 700000, 0, 0, "a537f43b 0000 60ae0a00"
0.900000, 0.00716319773346186, 800000, 0, 0, "42b9ea3b 0000 00350c00"
1.000000, 0.00604426069185138, 900000, 0, 0, "ef0ec63b 0000 a0bb0d00"
1.100000, 0.00523502891883254, 1000000, 0, 0, "9b8aab3b 0000 40420f00"
1.200000, 0.00471552181988955, 1100000, 0, 0, "aa849a3b 0000 e0c81000"
1.300000, 0.00381637597456574, 1200000, 0, 0, "2a1c7a3b 0000 804f1200"
1.400000, 0.00356661295518279, 1300000, 0, 0, "d6bd693b 0000 20d61300"
1.500000, 0.00364653719589114, 1400000, 0, 0, "befa6e3b 0000 c05c1500"
1.600000, 0.0026574763469398, 1500000, 0, 0, "0e292e3b 0000 60e31600"
1.700000, 0.0026574763469398, 1600000, 0, 0, "0e292e3b 0000 006a1800"
1.800000, 0.00280733429826796, 1700010, 0, 0, "41fb373b 0000 aaf01900"
1.900000, 0.00434587337076664, 1800000, 0, 0, "d4678e3b 0000 40771b00"
2.000000, 0.00827214494347572, 1900000, 0, 0, "e487073c 0000 e0fd1c00"
2.100000, 0.0137569364160299, 2000000, 4, Calculating, "c664613c 0400 80841e00"
2.200000, 0.0198111869394779, 2100000, 4, Calculating, "124ba23c 0400 200b2000"
2.300000, 0.0265847556293011, 2200000, 4, Calculating, "46c8d93c 0400 c0912100"
2.400000, 0.0327089428901672, 2300000, 4, Calculating, "d0f9053d 0400 60182300"
2.500000, 0.0379539579153061, 2400000, 4, Calculating, "9c751b3d 0400 009f2400"
2.600000, 0.043498694896698, 2500000, 4, Calculating, "b02b323d 0400 a0252600"
2.700000, 0.0472850948572159, 2600000, 4, Calculating, "04ae413d 0400 40ac2700"
2.800000, 0.0513911992311478, 2700000, 4, Calculating, "947f523d 0400 e0322900"
2.900000, 0.0539987199008465, 2800010, 4, Calculating, "c32d5d3d 0400 8ab92a00"
3.000000, 0.0563365034759045, 2900000, 4, Calculating, "1bc1663d 0400 20402c00"
3.100000, 0.0578250885009766, 3000000, 4, Calculating, "00da6c3d 0400 c0c62d00"
3.200000, 0.0593736171722412, 3100000, 4, Calculating, "c031733d 0400 604d2f00"
3.300000, 0.0605924613773823, 3200000, 4, Calculating, "cd2f783d 0400 00d43000"
3.400000, 0.0613717213273048, 3300000, 4, Calculating, "ea607b3d 0400 a05a3200"
3.500000, 0.0623008385300636, 3400000, 4, Calculating, "2a2f7f3d 0400 40e13300"
3.600000, 0.0630401372909546, 3500000, 4, Calculating, "301b813d 0400 e0673500"
3.700000, 0.0634297654032707, 3600000, 4, Calculating, "77e7813d 0400 80ee3600"
3.800000, 0.0631000772118568, 3700000, 4, Calculating, "9d3a813d 0400 20753800"
3.900000, 0.0625006482005119, 3800000, 4, Calculating, "5700803d 0400 c0fb3900"
4.000000, 0.0623507909476757, 3900010, 4, Calculating, "8b637f3d 0400 6a823b00"
4.100000, 0.0613217689096928, 4000000, 4, Calculating, "892c7b3d 0400 00093d00"
4.200000, 0.0569359324872494, 4100000, 4, Calculating, "a735693d 0400 a08f3e00"
4.300000, 0.0516509525477886, 4200000, 4, Calculating, "f38f533d 0400 40164000"
4.400000, 0.0463260114192963, 4300000, 4, Calculating, "58c03d3d 0400 e09c4100"
4.500000, 0.0416004955768585, 4400000, 4, Calculating, "48652a3d 0400 80234300"
4.600000, 0.0368949621915817, 4500000, 4, Calculating, "2c1f173d 0400 20aa4400"
4.700000, 0.0332384370267391, 4600000, 4, Calculating, "0725083d 0400 c0304600"
4.800000, 0.0288725811988115, 4700000, 4, Calculating, "3186ec3c 0400 60b74700"
4.900000, 0.0263150110840797, 4800000, 4, Calculating, "9492d73c 0400 003e4900"
