Meter S/N:, ERR-100
Sensor, OPT,NOSPEC, 0119K06
Date, 11/4/2013 8:03:37 PM
Timestamp, Measurement, PulsePeriod(uSec) 
00.100, 0.00666824, 0
00.200, 0.00666748, 0
00.300, 0.00666692, 0
00.400, 0.00666647, 0
00.500, 0.00666615, 0
00.600, 0.00666563, 0
00.700, 0.00666556, 0
00.800, 0.00666576, 0
00.900, 0.0066651, 0
01.000, 0.00783946, 0
01.100, 0.00792276, 0
01.200, 0.00791999, 0
01.300, 0.007918, 0
01.400, 0.00791704, 0
01.500, 0.00791625, 0
01.600, 0.00791569, 0
01.700, 0.00791544, 0
01.800, 0.00791481, 0
01.900, 0.00791385, 0
02.000, 0.00791366, 0
02.100, 0.00791348, 0
02.200, 0.00151541, 0
02.300, 0.00151349, 0
02.400, 0.00151346, 0
02.500, 0.00151376, 0
02.600, 0.00151397, 0
02.700, 0.00151449, 0
02.800, 0.00151505, 0
02.900, 0.00151519, 0
03.000, 0.0015157, 0
03.100, 0.00151616, 0
03.200, 0.00151664, 0
03.300, 0.00151692, 0
03.400, 0.00151733, 0
03.500, 0.00151767, 0
03.600, 0.00151814, 0
03.700, 0.00151828, 0
03.800, 0.00151904, 0
03.900, 0.00151924, 0
04.000, 0.00151953, 0
04.100, 0.0015195, 0
04.200, 0.00152022, 0
04.300, 0.00152044, 0
04.400, 0.00152055, 0
04.500, 0.0313485, 0
04.600, 0.0321078, 0
04.700, 0.0321061, 0
04.800, 0.0321037, 0
04.900, 0.0321015, 0
05.000, 0.0320994, 0
05.100, 0.032097, 0
05.200, 0.0320948, 0
05.300, 0.0320921, 0
05.400, 0.0320901, 0
05.500, 0.0320873, 0
05.600, 0.0320847, 0
05.700, 0.00667155, 0
05.800, 0.00666603, 0
05.900, 0.00666412, 0
06.000, 0.00666328, 0
06.100, 0.00666289, 0
06.200, 0.00666239, 0
06.300, 0.00666215, 0
06.400, 0.00666203, 0
06.500, 0.00666159, 0
06.600, 0.00666147, 0
06.700, 0.0066613, 0
06.800, 0.0072978, 0
06.900, 0.00792262, 0
07.000, 0.00791872, 0
07.100, 0.00791732, 0
07.200, 0.00791539, 0
07.300, 0.00791463, 0
07.400, 0.00791395, 0
07.500, 0.00791362, 0
07.600, 0.00791281, 0
07.700, 0.00791234, 0
07.800, 0.00791209, 0
07.900, 0.00791175, 0
08.000, 0.00159501, 0
08.100, 0.00153523, 0
08.200, 0.00153468, 0
08.300, 0.00153465, 0
08.400, 0.00153475, 0
08.500, 0.0015349, 0
08.600, 0.00153528, 0
08.700, 0.00153557, 0
08.800, 0.0015359, 0
08.900, 0.00153614, 0
09.000, 0.00153635, 0
09.100, 0.00153663, 0
09.200, 0.00153707, 0
09.300, 0.00153743, 0
09.400, 0.00153751, 0
09.500, 0.00153787, 0
09.600, 0.00153818, 0
09.700, 0.00153846, 0
09.800, 0.00153861, 0
09.900, 0.00153899, 0
10.000, 0.00153917, 0
10.100, 0.00153962, 0
10.200, 0.00153969, 0
10.300, 0.0167418, 0
10.400, 0.0320022, 0
10.500, 0.0320013, 0
10.600, 0.031999, 0
10.700, 0.0319967, 0
10.800, 0.0319948, 0
10.900, 0.0319925, 0
11.000, 0.0319901, 0
11.100, 0.0319878, 0
11.200, 0.0319868, 0
11.300, 0.0319851, 0
11.400, 0.0319824, 0
11.500, 0.00677645, 0
11.600, 0.00666287, 0
11.700, 0.00666088, 0
11.800, 0.00665996, 0
11.900, 0.0066593, 0
12.000, 0.00665899, 0
12.100, 0.00665858, 0
12.200, 0.00665811, 0
12.300, 0.00665757, 0
12.400, 0.00665849, 0
12.500, 0.00665826, 0
12.600, 0.00665831, 0
12.700, 0.00792431, 0
12.800, 0.00791891, 0
12.900, 0.0079167, 0
13.000, 0.00791526, 0
13.100, 0.0079143, 0
13.200, 0.00791363, 0
13.300, 0.00791327, 0
13.400, 0.00791258, 0
13.500, 0.00791233, 0
13.600, 0.00791164, 0
13.700, 0.00791149, 0
13.800, 0.00473655, 0
13.900, 0.00155207, 0
14.000, 0.00155127, 0
14.100, 0.00155104, 0
14.200, 0.00155127, 0
14.300, 0.0015516, 0
14.400, 0.00155169, 0
14.500, 0.00155194, 0
14.600, 0.00155217, 0
14.700, 0.00155214, 0
14.800, 0.00155275, 0
14.900, 0.001553, 0
15.000, 0.00155311, 0
15.100, 0.00155341, 0
15.200, 0.00155409, 0
15.300, 0.00155425, 0
15.400, 0.00155442, 0
15.500, 0.00155474, 0
15.600, 0.00155512, 0
15.700, 0.00155541, 0
15.800, 0.0015556, 0
15.900, 0.00155551, 0
16.000, 0.00155587, 0
16.100, 0.00169699, 0
16.200, 0.0319042, 0
16.300, 0.0319028, 0
16.400, 0.0319004, 0
16.500, 0.0318981, 0
16.600, 0.0318955, 0
16.700, 0.0318936, 0
16.800, 0.0318915, 0
16.900, 0.0318898, 0
17.000, 0.0318886, 0
17.100, 0.0318864, 0
17.200, 0.0318852, 0
17.300, 0.0192764, 0
17.400, 0.00666026, 0
17.500, 0.0066578, 0
17.600, 0.00665585, 0
17.700, 0.00665549, 0
17.800, 0.00665517, 0
17.900, 0.00665447, 0
18.000, 0.00665384, 0
18.100, 0.00665367, 0
18.200, 0.006654, 0
18.300, 0.00665309, 0
18.400, 0.00665314, 0
18.500, 0.00793025, 0
18.600, 0.00792027, 0
18.700, 0.00791752, 0
18.800, 0.00791642, 0
18.900, 0.0079152, 0
19.000, 0.00791424, 0
19.100, 0.00791331, 0
19.200, 0.0079131, 0
19.300, 0.00791275, 0
19.400, 0.00791206, 0
19.500, 0.00791194, 0
19.600, 0.00781026, 0
19.700, 0.00156643, 0
19.800, 0.00156471, 0
19.900, 0.00156452, 0
20.000, 0.00156433, 0
20.100, 0.00156446, 0
20.200, 0.00156434, 0
20.300, 0.00156432, 0
20.400, 0.00156458, 0
20.500, 0.00156446, 0
20.600, 0.00156454, 0
20.700, 0.00156477, 0
20.800, 0.00156495, 0
20.900, 0.001565, 0
21.000, 0.00156534, 0
21.100, 0.0015656, 0
21.200, 0.00156588, 0
21.300, 0.00156584, 0
21.400, 0.00156612, 0
21.500, 0.00156646, 0
21.600, 0.00156672, 0
21.700, 0.00156691, 0
21.800, 0.00156734, 0
21.900, 0.00156734, 0
22.000, 0.0318229, 0
22.100, 0.0318244, 0
22.200, 0.0318152, 0
22.300, 0.0317427, 0
22.400, 0.031689, 0
22.500, 0.031688, 0
22.600, 0.0316868, 0
22.700, 0.0316872, 0
22.800, 0.0316867, 0
22.900, 0.0316851, 0
23.000, 0.0316849, 0
23.100, 0.0303228, 0
23.200, 0.00664727, 0
23.300, 0.00664255, 0
23.400, 0.00664169, 0
23.500, 0.00664076, 0
23.600, 0.00664079, 0
23.700, 0.00664038, 0
23.800, 0.0066408, 0
23.900, 0.00664043, 0
24.000, 0.00664022, 0
24.100, 0.00664033, 0
24.200, 0.00664023, 0
24.300, 0.00731435, 0
24.400, 0.00793509, 0
24.500, 0.00793179, 0
24.600, 0.00792959, 0
24.700, 0.00792815, 0
24.800, 0.00792784, 0
24.900, 0.00792708, 0
25.000, 0.00792628, 0
25.100, 0.0079254, 0
25.200, 0.00792505, 0
25.300, 0.00792472, 0
25.400, 0.00792431, 0
25.500, 0.00157886, 0
25.600, 0.00157463, 0
25.700, 0.00157423, 0
25.800, 0.00157409, 0
25.900, 0.00157383, 0
26.000, 0.00157353, 0
26.100, 0.00157355, 0
26.200, 0.00157408, 0
26.300, 0.00157343, 0
26.400, 0.00157344, 0
26.500, 0.00157398, 0
26.600, 0.00157406, 0
26.700, 0.00157382, 0
26.800, 0.00157397, 0
26.900, 0.00157377, 0
27.000, 0.00157433, 0
27.100, 0.00157408, 0
27.200, 0.00157393, 0
27.300, 0.00157396, 0
27.400, 0.00157447, 0
27.500, 0.00157421, 0
27.600, 0.00157446, 0
27.700, 0.0015747, 0
27.800, 0.0177854, 0
27.900, 0.0316717, 0
28.000, 0.0316723, 0
28.100, 0.0316711, 0
28.200, 0.0316695, 0
28.300, 0.0316696, 0
28.400, 0.0316681, 0
28.500, 0.0316667, 0
28.600, 0.0316661, 0
28.700, 0.0316658, 0
28.800, 0.0316646, 0
28.900, 0.0316648, 0
29.000, 0.00665176, 0
29.100, 0.00664247, 0
29.200, 0.0066399, 0
29.300, 0.00663891, 0
29.400, 0.00663885, 0
29.500, 0.00663737, 0
29.600, 0.00663704, 0
29.700, 0.00663718, 0
29.800, 0.0066368, 0
29.900, 0.00663568, 0
30.000, 0.00663588, 0
30.100, 0.00687902, 0
30.200, 0.00793039, 0
30.300, 0.00792513, 0
30.400, 0.00792388, 0
30.500, 0.00792282, 0
30.600, 0.00792089, 0
30.700, 0.00792029, 0
30.800, 0.00792023, 0
30.900, 0.00791921, 0
31.000, 0.00791876, 0
31.100, 0.00791895, 0
31.200, 0.00791845, 0
31.300, 0.00417394, 0
31.400, 0.00157835, 0
31.500, 0.0015773, 0
31.600, 0.00157691, 0
31.700, 0.00157682, 0
31.800, 0.00157678, 0
31.900, 0.00157661, 0
32.000, 0.00157678, 0
32.100, 0.0015766, 0
32.200, 0.00157651, 0
32.300, 0.0015761, 0
32.400, 0.0015764, 0
32.500, 0.00157649, 0
32.600, 0.00157704, 0
32.700, 0.00157722, 0
32.800, 0.00157732, 0
32.900, 0.00157722, 0
33.000, 0.00157741, 0
33.100, 0.00157747, 0
33.200, 0.00157756, 0
33.300, 0.00157771, 0
33.400, 0.00157815, 0
33.500, 0.00157784, 0
33.600, 0.00902802, 0
33.700, 0.0316544, 0
33.800, 0.0316531, 0
33.900, 0.0316516, 0
34.000, 0.0316505, 0
34.100, 0.03165, 0
34.200, 0.0316485, 0
34.300, 0.0316477, 0
34.400, 0.0316469, 0
34.500, 0.0316456, 0
34.600, 0.0316453, 0
34.700, 0.031645, 0
34.800, 0.0152532, 0
34.900, 0.00663984, 0
35.000, 0.00663708, 0
35.100, 0.00663637, 0
35.200, 0.00663586, 0
35.300, 0.00663537, 0
35.400, 0.00663488, 0
35.500, 0.00663453, 0
35.600, 0.00663428, 0
35.700, 0.00663407, 0
35.800, 0.00663407, 0
35.900, 0.00663384, 0
36.000, 0.00792986, 0
36.100, 0.00792231, 0
36.200, 0.00791976, 0
36.300, 0.00791823, 0
36.400, 0.00791705, 0
36.500, 0.00791671, 0
36.600, 0.00791597, 0
36.700, 0.00791557, 0
36.800, 0.00791523, 0
