Meter S/N:, "serial number"
Sensor, THERMO,SINGLE, Horst
Date, 3/6/2014 6:37:01 PM
Timestamp, Measurement, Sequence, Flags, Flags (interpreted)
0.000006, 39.8001365661621, 0, 1, TriggerDetected, "57331f42 0100 00000000"
0.000013, 186.471984863281, 1, 16, Overrange, "d4783a43 1000 01000000"
0.000019, 0, 2, 0, 0, "00000000 0000 02000000"
0.000026, 0, 3, 0, 0, "00000000 0000 03000000"
0.000032, 22.4047431945801, 4, 0, 0, "ea3cb341 0000 04000000"
0.000038, 186.472122192383, 5, 16, Overrange, "dd783a43 1000 05000000"
0.000045, 0, 6, 0, 0, "00000000 0000 06000000"
0.000051, 0, 7, 0, 0, "00000000 0000 07000000"
0.000058, 24.5767498016357, 8, 0, 0, "2f9dc441 0000 08000000"
0.000064, 186.472274780273, 9, 16, Overrange, "e7783a43 1000 09000000"
0.000070, 0, 10, 0, 0, "00000000 0000 0a000000"
0.000077, 0, 11, 0, 0, "00000000 0000 0b000000"
0.000083, 40.4511413574219, 12, 1, TriggerDetected, "f8cd2142 0100 0c000000"
0.000090, 186.485778808594, 13, 16, Overrange, "5c7c3a43 1000 0d000000"
0.000096, 0, 14, 0, 0, "00000000 0000 0e000000"
0.000102, 0, 15, 0, 0, "00000000 0000 0f000000"
0.000109, 27.110502243042, 16, 0, 0, "4fe2d841 0000 10000000"
0.000115, 186.472595214844, 17, 16, Overrange, "fc783a43 1000 11000000"
0.000122, 0, 18, 0, 0, "00000000 0000 12000000"
0.000128, 0, 19, 0, 0, "00000000 0000 13000000"
0.000134, 20.6252384185791, 20, 0, 0, "7d00a541 0000 14000000"
0.000141, 186.486099243164, 21, 16, Overrange, "717c3a43 1000 15000000"
0.000147, 0, 22, 0, 0, "00000000 0000 16000000"
0.000154, 0, 23, 0, 0, "00000000 0000 17000000"
0.000160, 38.5218467712402, 24, 1, TriggerDetected, "5f161a42 0100 18000000"
0.000166, 186.472885131836, 25, 16, Overrange, "0f793a43 1000 19000000"
0.000173, 0, 26, 0, 0, "00000000 0000 1a000000"
0.000179, 0, 27, 0, 0, "00000000 0000 1b000000"
0.000186, 32.420825958252, 28, 0, 0, "edae0142 0000 1c000000"
0.000192, 186.473052978516, 29, 16, Overrange, "1a793a43 1000 1d000000"
0.000198, 0, 30, 0, 0, "00000000 0000 1e000000"
0.000205, 0, 31, 0, 0, "00000000 0000 1f000000"
0.000211, 18.813627243042, 32, 0, 0, "4f829641 0000 20000000"
0.000218, 186.473205566406, 33, 16, Overrange, "24793a43 1000 21000000"
0.000224, 0, 34, 0, 0, "00000000 0000 22000000"
0.000230, 0, 35, 0, 0, "00000000 0000 23000000"
0.000237, 34.4840545654297, 36, 1, TriggerDetected, "acef0942 0100 24000000"
0.000243, 186.473358154297, 37, 16, Overrange, "2e793a43 1000 25000000"
0.000250, 0, 38, 0, 0, "00000000 0000 26000000"
0.000256, 0, 39, 0, 0, "00000000 0000 27000000"
0.000262, 37.0664939880371, 40, 0, 0, "17441442 0000 28000000"
0.000269, 186.473510742188, 41, 16, Overrange, "38793a43 1000 29000000"
0.000275, 0, 42, 0, 0, "00000000 0000 2a000000"
0.000282, 0, 43, 0, 0, "00000000 0000 2b000000"
0.000288, 19.5874938964844, 44, 0, 0, "30b39c41 0000 2c000000"
0.000294, 186.473663330078, 45, 16, Overrange, "42793a43 1000 2d000000"
0.000301, 0, 46, 0, 0, "00000000 0000 2e000000"
0.000307, 0, 47, 0, 0, "00000000 0000 2f000000"
0.000314, 29.3017768859863, 48, 0, 0, "0a6aea41 0000 30000000"
0.000320, 186.487167358398, 49, 16, Overrange, "b77c3a43 1000 31000000"
0.000326, 0, 50, 0, 0, "00000000 0000 32000000"
0.000333, 0, 51, 0, 0, "00000000 0000 33000000"
0.000339, 39.9540138244629, 52, 1, TriggerDetected, "e9d01f42 0100 34000000"
0.000346, 186.487319946289, 53, 16, Overrange, "c17c3a43 1000 35000000"
0.000352, 0, 54, 0, 0, "00000000 0000 36000000"
0.000358, 0, 55, 0, 0, "00000000 0000 37000000"
0.000365, 22.7418632507324, 56, 0, 0, "56efb541 0000 38000000"
0.000371, 186.474136352539, 57, 16, Overrange, "61793a43 1000 39000000"
0.000378, 0, 58, 0, 0, "00000000 0000 3a000000"
0.000384, 0, 59, 0, 0, "00000000 0000 3b000000"
0.000390, 24.1944389343262, 60, 0, 0, "368ec141 0000 3c000000"
0.000397, 186.47428894043, 61, 16, Overrange, "6b793a43 1000 3d000000"
0.000403, 0, 62, 0, 0, "00000000 0000 3e000000"
0.000410, 0, 63, 0, 0, "00000000 0000 3f000000"
0.000416, 40.3780212402344, 64, 1, TriggerDetected, "18832142 0100 40000000"
0.000422, 186.474426269531, 65, 16, Overrange, "74793a43 1000 41000000"
0.000429, 0, 66, 0, 0, "00000000 0000 42000000"
0.000435, 0, 67, 0, 0, "00000000 0000 43000000"
0.000442, 27.5423641204834, 68, 0, 0, "c356dc41 0000 44000000"
0.000448, 186.474594116211, 69, 16, Overrange, "7f793a43 1000 45000000"
0.000454, 0, 70, 0, 0, "00000000 0000 46000000"
0.000461, 0, 71, 0, 0, "00000000 0000 47000000"
