Meter S/N:, "serial number"
Sensor, THERMO,SINGLE, Horst
Date, 3/7/2014 7:03:51 PM
Timestamp, Measurement, Sequence, Flags, Flags (interpreted)
0.0000000, 30.0531902313232, 0, 1, TriggerDetected, "ef6cf041 0100 00000000"
0.0000016, 30.1920547485352, 1, 0, 0, "5489f141 0000 01000000"
0.0000032, 30.316858291626, 2, 0, 0, "ed88f241 0000 02000000"
0.0000048, 30.4478282928467, 3, 0, 0, "2795f341 0000 03000000"
0.0000064, 30.5737895965576, 4, 0, 0, "1f97f441 0000 04000000"
0.0000080, 30.6976318359375, 5, 0, 0, "c094f541 0000 05000000"
0.0000096, 30.8262882232666, 6, 0, 0, "3d9cf641 0000 06000000"
0.0000112, 30.9580268859863, 7, 0, 0, "0aaaf741 0000 07000000"
0.0000128, 31.0724315643311, 8, 0, 0, "5794f841 0000 08000000"
0.0000144, 31.2143783569336, 9, 0, 0, "0cb7f941 0000 09000000"
0.0000160, 31.3320560455322, 10, 0, 0, "0da8fa41 0000 0a000000"
0.0000176, 31.4599437713623, 11, 0, 0, "f7adfb41 0000 0b000000"
0.0000192, 31.5880222320557, 12, 0, 0, "45b4fc41 0000 0c000000"
0.0000208, 31.7030048370361, 13, 0, 0, "c19ffd41 0000 0d000000"
0.0000224, 31.8399448394775, 14, 0, 0, "35b8fe41 0000 0e000000"
0.0000240, 31.9662914276123, 15, 0, 0, "f7baff41 0000 0f000000"
0.0000256, 32.0937919616699, 16, 0, 0, "0b600042 0000 10000000"
0.0000272, 32.2276496887207, 17, 0, 0, "1de90042 0000 11000000"
0.0000288, 32.3387794494629, 18, 0, 0, "e95a0142 0000 12000000"
0.0000304, 32.4828414916992, 19, 0, 0, "6eee0142 0000 13000000"
0.0000320, 32.5972480773926, 20, 0, 0, "95630242 0000 14000000"
0.0000336, 32.7174339294434, 21, 0, 0, "a7de0242 0000 15000000"
0.0000352, 32.8510971069336, 22, 0, 0, "86670342 0000 16000000"
0.0000368, 32.9645385742188, 23, 0, 0, "b0db0342 0000 17000000"
0.0000384, 33.0974349975586, 24, 0, 0, "c6630442 0000 18000000"
0.0000400, 33.2233924865723, 25, 0, 0, "c1e40442 0000 19000000"
0.0000416, 33.3314399719238, 26, 0, 0, "65530542 0000 1a000000"
0.0000432, 33.4656867980957, 27, 0, 0, "dddc0542 0000 1b000000"
0.0000448, 33.587215423584, 28, 0, 0, "4f590642 0000 1c000000"
0.0000464, 33.7118301391602, 29, 0, 0, "ead80642 0000 1d000000"
0.0000480, 33.8346252441406, 30, 0, 0, "a8560742 0000 1e000000"
0.0000496, 33.9559707641602, 31, 0, 0, "ead20742 0000 1f000000"
0.0000512, 34.0787353515625, 32, 0, 0, "a0500842 0000 20000000"
0.0000528, 34.1994361877441, 33, 0, 0, "39cc0842 0000 21000000"
0.0000544, 34.3183288574219, 34, 0, 0, "f8450942 0000 22000000"
0.0000560, 34.4331169128418, 35, 0, 0, "83bb0942 0000 23000000"
0.0000576, 34.5471382141113, 36, 0, 0, "45300a42 0000 24000000"
0.0000592, 34.6740608215332, 37, 0, 0, "3db20a42 0000 25000000"
0.0000608, 34.7842292785645, 38, 0, 0, "0d230b42 0000 26000000"
0.0000624, 34.9057540893555, 39, 0, 0, "7e9f0b42 0000 27000000"
0.0000640, 35.0253639221191, 40, 0, 0, "f9190c42 0000 28000000"
0.0000656, 35.1341819763184, 41, 0, 0, "67890c42 0000 29000000"
0.0000672, 35.2688102722168, 42, 0, 0, "43130d42 0000 2a000000"
0.0000688, 35.3670387268066, 43, 0, 0, "d9770d42 0000 2b000000"
0.0000704, 35.4935722351074, 44, 0, 0, "6bf90d42 0000 2c000000"
0.0000720, 35.6054763793945, 45, 0, 0, "026c0e42 0000 2d000000"
0.0000736, 35.7123718261719, 46, 0, 0, "78d90e42 0000 2e000000"
0.0000752, 35.8390998840332, 47, 0, 0, "3d5b0f42 0000 2f000000"
0.0000768, 35.9365539550781, 48, 0, 0, "08bf0f42 0000 30000000"
0.0000784, 36.0517311096191, 49, 0, 0, "f9341042 0000 31000000"
0.0000800, 36.1688346862793, 50, 0, 0, "e3ac1042 0000 32000000"
0.0000816, 36.2641716003418, 51, 0, 0, "830e1142 0000 33000000"
0.0000832, 36.3860893249512, 52, 0, 0, "5b8b1142 0000 34000000"
0.0000848, 36.4839286804199, 53, 0, 0, "8bef1142 0000 35000000"
0.0000864, 36.5881233215332, 54, 0, 0, "3d5a1242 0000 36000000"
0.0000880, 36.7108116149902, 55, 0, 0, "dfd71242 0000 37000000"
0.0000896, 36.8078842163086, 56, 0, 0, "463b1342 0000 38000000"
0.0000912, 36.9193992614746, 57, 0, 0, "77ad1342 0000 39000000"
0.0000928, 37.0245552062988, 58, 0, 0, "25191442 0000 3a000000"
0.0000944, 37.1239395141602, 59, 0, 0, "ea7e1442 0000 3b000000"
0.0000960, 37.2396926879883, 60, 0, 0, "72f51442 0000 3c000000"
0.0000976, 37.330020904541, 61, 0, 0, "f1511542 0000 3d000000"
0.0000992, 37.4405746459961, 62, 0, 0, "26c31542 0000 3e000000"
0.0001008, 37.5414962768555, 63, 0, 0, "7e2a1642 0000 3f000000"
0.0001024, 37.6435775756836, 64, 0, 0, "06931642 0000 40000000"
0.0001040, 37.7454605102539, 65, 0, 0, "5afb1642 0000 41000000"
0.0001056, 37.8398475646973, 66, 0, 0, "015c1742 0000 42000000"
0.0001072, 37.9369049072266, 67, 0, 0, "64bf1742 0000 43000000"
0.0001088, 38.0253105163574, 68, 0, 0, "eb191842 0000 44000000"
0.0001104, 38.1299209594727, 69, 0, 0, "0a851842 0000 45000000"
0.0001120, 38.2296600341797, 70, 0, 0, "2ceb1842 0000 46000000"
0.0001136, 38.3150253295898, 71, 0, 0, "96421942 0000 47000000"
0.0001152, 38.4151306152344, 72, 0, 0, "18a91942 0000 48000000"
0.0001168, 38.5077743530273, 73, 0, 0, "f6071a42 0000 49000000"
0.0001184, 38.6043357849121, 74, 0, 0, "d76a1a42 0000 4a000000"
0.0001200, 38.6999893188477, 75, 0, 0, "cacc1a42 0000 4b000000"
0.0001216, 38.7752952575684, 76, 0, 0, "e7191b42 0000 4c000000"
0.0001232, 38.8742904663086, 77, 0, 0, "467f1b42 0000 4d000000"
0.0001248, 38.9580726623535, 78, 0, 0, "11d51b42 0000 4e000000"
0.0001264, 39.0366554260254, 79, 0, 0, "89251c42 0000 4f000000"
0.0001280, 39.1370010375977, 80, 0, 0, "4a8c1c42 0000 50000000"
0.0001296, 39.2056770324707, 81, 0, 0, "9dd21c42 0000 51000000"
0.0001312, 39.299747467041, 82, 0, 0, "f1321d42 0000 52000000"
0.0001328, 39.3917388916016, 83, 0, 0, "24911d42 0000 53000000"
0.0001344, 39.4623031616211, 84, 0, 0, "66d91d42 0000 54000000"
0.0001360, 39.5541725158691, 85, 0, 0, "79371e42 0000 55000000"
0.0001376, 39.6289024353027, 86, 0, 0, "ff831e42 0000 56000000"
0.0001392, 39.7165374755859, 87, 0, 0, "bcdd1e42 0000 57000000"
0.0001408, 39.7987747192383, 88, 0, 0, "f2311f42 0000 58000000"
0.0001424, 39.8661499023438, 89, 0, 0, "f0761f42 0000 59000000"
0.0001440, 39.9439659118652, 90, 0, 0, "9fc61f42 0000 5a000000"
0.0001456, 40.0116004943848, 91, 0, 0, "e10b2042 0000 5b000000"
0.0001472, 40.0869026184082, 92, 0, 0, "fd582042 0000 5c000000"
0.0001488, 40.1648941040039, 93, 0, 0, "daa82042 0000 5d000000"
0.0001504, 40.2321281433105, 94, 0, 0, "b3ed2042 0000 5e000000"
0.0001520, 40.3047370910645, 95, 0, 0, "0d382142 0000 5f000000"
0.0001536, 40.3725280761719, 96, 0, 0, "787d2142 0000 60000000"
0.0001552, 40.459400177002, 97, 0, 0, "6dd62142 0000 61000000"
0.0001568, 40.521411895752, 98, 0, 0, "ed152242 0000 62000000"
0.0001584, 40.5845832824707, 99, 0, 0, "9d562242 0000 63000000"
0.0001600, 40.6583480834961, 100, 0, 0, "26a22242 0000 64000000"
0.0001616, 40.7222938537598, 101, 0, 0, "a1e32242 0000 65000000"
0.0001632, 40.7924346923828, 102, 0, 0, "742b2342 0000 66000000"
0.0001648, 40.8505668640137, 103, 0, 0, "fb662342 0000 67000000"
0.0001664, 40.9054565429688, 104, 0, 0, "309f2342 0000 68000000"
0.0001680, 40.9765701293945, 105, 0, 0, "02e82342 0000 69000000"
0.0001696, 41.0267944335938, 106, 0, 0, "701b2442 0000 6a000000"
0.0001712, 41.0859260559082, 107, 0, 0, "fd572442 0000 6b000000"
0.0001728, 41.1402359008789, 108, 0, 0, "9a8f2442 0000 6c000000"
0.0001744, 41.1876182556152, 109, 0, 0, "1fc02442 0000 6d000000"
0.0001760, 41.2565689086914, 110, 0, 0, "ba062542 0000 6e000000"
0.0001776, 41.3026008605957, 111, 0, 0, "dd352542 0000 6f000000"
