Meter S/N:, "serial number"
Sensor, THERMO,SINGLE, Horst
Date, 2/13/2014 8:10:19 PM
Timestamp, Measurement, Sequence, Flags, Flags (interpreted)
3.293950, 5.77883838559501E-08, 4194911, 13568, 13568, "00337833 0035 5f024000"
3.294000, 5.78347680857405E-08, 4207065, 34048, 34048, "00667833 0085 d9314000"
3.294050, 5.78811523155309E-08, 4219341, 27392, 27392, "00997833 006b cd614000"
3.294100, 5.79284460400231E-08, 4229345, 64000, 64000, "00cd7833 00fa e1884000"
3.294150, 5.79748302698135E-08, 4235514, 12544, MissingMeasurement| Impossible| StopSent, "00007933 0031 faa04000"
3.294200, 5.8021214499604E-08, 4241719, 17664, 17664, "00337933 0045 37b94000"
3.294250, 5.80675987293944E-08, 4247922, 57856, 57856, "00667933 00e2 72d14000"
3.294300, 5.81139829591848E-08, 4254174, 40448, 40448, "00997933 009e dee94000"
3.294350, 5.8161276683677E-08, 4260145, 8960, 8960, "00cd7933 0023 31014100"
3.294400, 5.82076609134674E-08, 4263284, 18944, 18944, "00007a33 004a 740d4100"
3.294450, 5.82540451432578E-08, 21043654, 53760, 53760, "00337a33 00d2 c6194101"
3.294500, 5.83004293730482E-08, 4269596, 30720, 30720, "00667a33 0078 1c264100"
3.294550, 5.83468136028387E-08, 4272752, 15872, 15872, "00997a33 003e 70324100"
3.294600, 5.83941073273309E-08, 4275930, 21248, 21248, "00cd7a33 0053 da3e4100"
3.294650, 5.84404915571213E-08, 4279112, 11264, 11264, "00007b33 002c 484b4100"
3.294700, 5.84868757869117E-08, 4282289, 38656, 38656, "00337b33 0097 b1574100"
3.294750, 5.85332600167021E-08, 4285487, 50688, 50688, "00667b33 00c6 2f644100"
3.294800, 5.85796442464925E-08, 4288658, 36096, 36096, "00997b33 008d 92704100"
3.294850, 5.86269379709847E-08, 4291855, 60672, 60672, "00cd7b33 00ed 0f7d4100"
3.294900, 5.86733222007751E-08, 272729286, 51712, 51712, "00007c33 00ca c6844110"
3.294950, 5.87197064305656E-08, 272730882, 23040, 23040, "00337c33 005a 028b4110"
3.295000, 5.8766090660356E-08, 272732466, 16896, 16896, "00667c33 0042 32914110"
3.295050, 5.88124748901464E-08, 272733080, 19456, 19456, "00997c33 004c 98934110"
3.295100, 5.88597686146386E-08, 272733080, 19456, 19456, "00cd7c33 004c 98934110"
3.295150, 5.8906152844429E-08, 272733080, 19456, 19456, "00007d33 004c 98934110"
3.295200, 5.89525370742194E-08, 272733080, 19456, 19456, "00337d33 004c 98934110"
3.295250, 5.89989213040099E-08, 272733080, 19456, 19456, "00667d33 004c 98934110"
3.295300, 5.90453055338003E-08, 272733080, 19456, 19456, "00997d33 004c 98934110"
3.295350, 5.90925992582925E-08, 272733080, 19456, 19456, "00cd7d33 004c 98934110"
3.295400, 5.91389834880829E-08, 272733080, 19456, 19456, "00007e33 004c 98934110"
3.295450, 5.91853677178733E-08, 272733080, 19456, 19456, "00337e33 004c 98934110"
3.295500, 5.92317519476637E-08, 272733080, 19456, 19456, "00667e33 004c 98934110"
3.295550, 5.92781361774541E-08, 272733080, 19456, 19456, "00997e33 004c 98934110"
3.295600, 5.93254299019463E-08, 272733080, 19456, 19456, "00cd7e33 004c 98934110"
3.295650, 5.93718141317368E-08, 272733080, 19456, 19456, "00007f33 004c 98934110"
3.295700, 5.94181983615272E-08, 272733080, 19456, 19456, "00337f33 004c 98934110"
3.295750, 5.94645825913176E-08, 272733080, 19456, 19456, "00667f33 004c 98934110"
3.295800, 5.9510966821108E-08, 272733080, 19456, 19456, "00997f33 004c 98934110"
