Meter S/N:, ERR-100
Sensor, THERMO,SINGLE, 585
Date, 11/7/2013 8:37:32 PM
Timestamp, Measurement, PulsePeriod(uSec) 
00.001470, 0.00149493, 4400000
00.002940, 0.00146326, 4500000
00.004410, 0.001447426, 4600000
00.005880, 0.00149205, 4700000
00.007350, 0.001542433, 4800000
00.008820, 0.001515083, 4900000
00.001290, 0.001474776, 5000000
00.002760, 0.001456063, 5100000
00.004230, 0.001418636, 5200000
00.005700, 0.001451744, 5300000
00.007170, 0.001483413, 5400000
00.008640, 0.001497808, 5500000
00.010110, 0.001477655, 5600000
00.002580, 0.001528038, 5700000
00.004050, 0.00149349, 5800000
00.005520, 0.001484853, 5900000
00.006990, 0.001480534, 6000000
00.008460, 0.00143591, 6100000
00.009930, 0.001460381, 6200000
00.011400, 0.001467579, 6300000
00.003870, 0.001461821, 6400000
00.005340, 0.001528038, 6500000
00.006810, 0.001445986, 6600000
00.008280, 0.001499248, 6700000
00.009750, 0.00149493, 6800000
00.011220, 0.001513643, 6900000
00.012690, 0.00152228, 7000000
00.005160, 0.001490611, 7100000
00.006630, 0.001480534, 7200000
00.008100, 0.001549631, 7300000
00.009570, 0.001487732, 7400000
00.011040, 0.001458942, 7500000
00.012510, 0.001499248, 7600000
00.013980, 0.001528038, 7700000
00.006450, 0.001540994, 7800000
00.007920, 0.001532357, 7900000
00.009390, 0.001515083, 8000000
00.010860, 0.001510764, 8100000
00.012330, 0.001496369, 8200000
00.013800, 0.001532357, 8300000
00.006270, 0.001513643, 8400000
00.007740, 0.001535236, 8500000
00.009210, 0.001515083, 8600000
00.010680, 0.001444547, 8700000
00.012150, 0.001499248, 8800000
00.013620, 0.001532357, 8900000
00.015090, 0.001483413, 9000000
00.007560, 0.001469018, 9100000
00.009030, 0.001538115, 9200000
00.010500, 0.001525159, 9300000
00.011970, 0.001543873, 9400000
00.013440, 0.001536675, 9500000
00.014910, 0.001528038, 9600000
00.016380, 0.001515083, 9700000
00.008850, 0.00149349, 9800000
00.010320, 0.00149205, 9900000
00.011790, 0.001487732, 10000000
