Meter S/N:, "serial number"
Sensor, THERMO,SINGLE, Horst
Date, 2/12/2014 4:16:53 PM
Timestamp, Measurement, Sequence, Flags, Flags (interpreted)
3.143150, 12.7540426254272, 3218893, 0, 0, "8f104c41 0000 cd1d3100"
3.143200, 12.849365234375, 3218944, 0, 0, "00974d41 0000 001e3100"
3.143250, 12.8177070617676, 3218996, 0, 0, "54154d41 0000 341e3100"
3.143300, 12.6490259170532, 3219047, 0, 0, "69624a41 0000 671e3100"
3.143350, 12.358925819397, 3219098, 0, 0, "29be4541 0000 9a1e3100"
3.143400, 11.9432926177979, 3219149, 0, 0, "ba173f41 0000 cd1e3100"
3.143450, 11.4244546890259, 3219200, 0, 0, "91ca3641 0000 001f3100"
3.143500, 10.8048849105835, 3219252, 0, 0, "cfe02c41 0000 341f3100"
3.143550, 10.10950756073, 3219303, 0, 0, "8bc02141 0000 671f3100"
3.143600, 9.34726810455322, 3219354, 0, 0, "698e1541 0000 9a1f3100"
3.143650, 8.54755592346191, 3219405, 0, 0, "cac20841 0000 cd1f3100"
3.143700, 7.72365713119507, 3219456, 0, 0, "3328f740 0000 00203100"
3.143750, 6.90108442306519, 3219508, 0, 0, "afd5dc40 0000 34203100"
3.143800, 6.09729957580566, 3219559, 0, 0, "141dc340 0000 67203100"
3.143850, 5.33781433105469, 3219610, 0, 0, "60cfaa40 0000 9a203100"
3.143900, 4.63821077346802, 3219661, 0, 0, "396c9440 0000 cd203100"
3.143950, 4.01854848861694, 3219712, 0, 0, "f3978040 0000 00213100"
3.144000, 3.49411845207214, 3219764, 0, 0, "a39f5f40 0000 34213100"
3.144050, 3.07860994338989, 3219815, 0, 0, "f2074540 0000 67213100"
3.144100, 2.78361034393311, 3219866, 0, 0, "ac263240 0000 9a213100"
3.144150, 2.61609315872192, 3219917, 0, 0, "126e2740 0000 cd213100"
3.144200, 2.58010721206665, 3219968, 0, 0, "7a202540 0000 00223100"
3.144250, 2.67544531822205, 3220020, 0, 0, "7f3a2b40 0000 34223100"
3.144300, 2.90282011032104, 3220071, 0, 0, "cec73940 0000 67223100"
3.144350, 3.25311040878296, 3220122, 0, 0, "f6325040 0000 9a223100"
3.144400, 3.71898102760315, 3220173, 0, 0, "c9036e40 0000 cd223100"
3.144450, 4.2897424697876, 3220224, 0, 0, "92458940 0000 00233100"
3.144500, 4.94775629043579, 3220276, 0, 0, "05549e40 0000 34233100"
3.144550, 5.67741394042969, 3220327, 0, 0, "60adb540 0000 67233100"
3.144600, 6.46072912216187, 3220378, 0, 0, "4bbece40 0000 9a233100"
3.144650, 7.27391386032104, 3220429, 0, 0, "e7c3e840 0000 cd233100"
