Serial number:,"0043F12R"
Sensor Model:,"EM-USB J-50MB-HE"
Mode:,Energy
Wavelength:, 650 nm
Attenuation Factor:,Off
Collection Mode:,Streaming every pulse
Date/Time:,10-24-2014,12:00:46
Sample #,Measurement
1160 , 3.40000e-05
1161 , 3.40000e-05
1162 , 3.40000e-05
1163 , 0.00000e+00
1164 , 3.40000e-05
1165 , -3.40000e-05
1166 , 3.40000e-05
1167 , 6.70000e-05
1168 , 3.40000e-05
1169 , 3.40000e-05
1170 , 0.00000e+00
1171 , 0.00000e+00
1172 , 3.40000e-05
1173 , 3.40000e-05
1174 , 0.00000e+00
1175 , -3.40000e-05
1176 , 0.00000e+00
1177 , 3.40000e-05
1178 , 3.40000e-05
1179 , 0.00000e+00
1180 , -3.40000e-05
1181 , 3.40000e-05
1182 , 3.40000e-05
1183 , 0.00000e+00
1184 , 0.00000e+00
1185 , 0.00000e+00
1186 , 3.40000e-05
1187 , 0.00000e+00
