0747K09R
10/24/2014 11:48:58 AM
Sample#,Timestamp,"0747K09R":Watts,"0747K09R":X(mm),"0747K09R":Y(mm)
88,11:48:58 AM - 10/24/2014,1.351E-1,-2.250E+0,-3.620E+0
89,11:48:59 AM - 10/24/2014,1.350E-1,-2.100E+0,-3.530E+0
90,11:48:59 AM - 10/24/2014,1.309E-1,-1.890E+0,-3.620E+0
91,11:48:59 AM - 10/24/2014,1.297E-1,-2.100E+0,-3.430E+0
92,11:48:59 AM - 10/24/2014,1.238E-1,-1.730E+0,-3.200E+0
93,11:48:59 AM - 10/24/2014,1.191E-1,-1.930E+0,-3.070E+0
94,11:48:59 AM - 10/24/2014,1.246E-1,-1.810E+0,-3.090E+0
95,11:48:59 AM - 10/24/2014,1.224E-1,-2.230E+0,-3.270E+0
96,11:48:59 AM - 10/24/2014,1.294E-1,-2.390E+0,-3.440E+0
97,11:48:59 AM - 10/24/2014,1.372E-1,-2.250E+0,-3.400E+0
98,11:48:59 AM - 10/24/2014,1.362E-1,-2.060E+0,-3.470E+0
99,11:49:00 AM - 10/24/2014,1.351E-1,-2.310E+0,-3.380E+0
100,11:49:00 AM - 10/24/2014,1.322E-1,-2.020E+0,-3.650E+0
101,11:49:00 AM - 10/24/2014,1.361E-1,-2.110E+0,-3.530E+0
102,11:49:00 AM - 10/24/2014,1.326E-1,-1.970E+0,-3.320E+0
103,11:49:00 AM - 10/24/2014,1.213E-1,-1.820E+0,-3.090E+0
104,11:49:00 AM - 10/24/2014,1.282E-1,-1.730E+0,-3.180E+0
105,11:49:00 AM - 10/24/2014,1.265E-1,-2.040E+0,-3.240E+0
106,11:49:00 AM - 10/24/2014,1.370E-1,-2.090E+0,-3.200E+0
107,11:49:00 AM - 10/24/2014,1.455E-1,-2.150E+0,-3.300E+0
108,11:49:00 AM - 10/24/2014,1.466E-1,-2.160E+0,-3.420E+0
109,11:49:01 AM - 10/24/2014,1.457E-1,-2.030E+0,-3.570E+0
110,11:49:01 AM - 10/24/2014,1.510E-1,-2.260E+0,-3.630E+0
111,11:49:01 AM - 10/24/2014,1.482E-1,-2.120E+0,-3.500E+0
112,11:49:01 AM - 10/24/2014,1.443E-1,-2.190E+0,-3.500E+0
113,11:49:01 AM - 10/24/2014,1.446E-1,-2.070E+0,-3.310E+0
114,11:49:01 AM - 10/24/2014,1.425E-1,-2.060E+0,-3.270E+0
115,11:49:01 AM - 10/24/2014,1.359E-1,-2.070E+0,-3.390E+0
116,11:49:01 AM - 10/24/2014,1.369E-1,-1.900E+0,-3.100E+0
117,11:49:01 AM - 10/24/2014,1.368E-1,-1.960E+0,-3.080E+0
118,11:49:01 AM - 10/24/2014,1.385E-1,-2.080E+0,-2.860E+0
119,11:49:02 AM - 10/24/2014,1.553E-1,-2.430E+0,-3.050E+0
120,11:49:02 AM - 10/24/2014,1.542E-1,-2.480E+0,-3.490E+0
121,11:49:02 AM - 10/24/2014,1.532E-1,-2.470E+0,-3.360E+0
122,11:49:02 AM - 10/24/2014,1.493E-1,-2.250E+0,-3.040E+0
123,11:49:02 AM - 10/24/2014,1.532E-1,-2.190E+0,-2.880E+0
124,11:49:02 AM - 10/24/2014,1.442E-1,-1.960E+0,-2.890E+0
125,11:49:02 AM - 10/24/2014,1.414E-1,-2.010E+0,-2.740E+0
126,11:49:02 AM - 10/24/2014,1.295E-1,-1.940E+0,-2.650E+0
127,11:49:02 AM - 10/24/2014,1.283E-1,-2.030E+0,-2.820E+0
128,11:49:02 AM - 10/24/2014,1.467E-1,-2.300E+0,-2.730E+0
129,11:49:02 AM - 10/24/2014,1.494E-1,-2.490E+0,-2.700E+0
130,11:49:03 AM - 10/24/2014,1.395E-1,-2.390E+0,-2.370E+0
131,11:49:03 AM - 10/24/2014,1.376E-1,-1.940E+0,-2.020E+0
132,11:49:03 AM - 10/24/2014,1.355E-1,-1.450E+0,-1.180E+0
133,11:49:03 AM - 10/24/2014,1.404E-1,-9.050E-1,-7.340E-2
134,11:49:03 AM - 10/24/2014,1.412E-1,-4.210E-1,7.920E-1
135,11:49:03 AM - 10/24/2014,1.561E-1,2.990E-1,1.550E+0
136,11:49:03 AM - 10/24/2014,1.711E-1,6.960E-1,2.280E+0
137,11:49:03 AM - 10/24/2014,1.774E-1,8.530E-1,2.340E+0
138,11:49:03 AM - 10/24/2014,1.766E-1,1.270E+0,2.440E+0
139,11:49:04 AM - 10/24/2014,1.630E-1,1.200E+0,2.270E+0
140,11:49:04 AM - 10/24/2014,1.496E-1,1.530E+0,1.850E+0
141,11:49:04 AM - 10/24/2014,1.494E-1,2.160E+0,1.770E+0
142,11:49:04 AM - 10/24/2014,1.519E-1,2.540E+0,1.440E+0
143,11:49:04 AM - 10/24/2014,1.523E-1,2.910E+0,1.730E+0
144,11:49:04 AM - 10/24/2014,1.647E-1,3.310E+0,1.770E+0
145,11:49:04 AM - 10/24/2014,1.722E-1,3.420E+0,1.650E+0
146,11:49:04 AM - 10/24/2014,1.667E-1,3.100E+0,1.670E+0
147,11:49:04 AM - 10/24/2014,1.652E-1,2.930E+0,1.670E+0
148,11:49:05 AM - 10/24/2014,1.582E-1,3.060E+0,1.400E+0
149,11:49:05 AM - 10/24/2014,1.661E-1,3.120E+0,1.690E+0
150,11:49:05 AM - 10/24/2014,1.684E-1,3.230E+0,1.610E+0
151,11:49:05 AM - 10/24/2014,1.657E-1,3.180E+0,1.640E+0
152,11:49:05 AM - 10/24/2014,1.596E-1,3.080E+0,1.610E+0
