Meter S/N:, "REV_FA_2_OPT_MOD"
Sensor, Thermo, Single, ENB075, PM-Pro150 HD
Date, 3/25/2015 4:45:51 PM
Units, W
Timestamp, Measurement, Sequence, Flags, Flags (interpreted), Period
0.0000000, -9.09389E+000, 0, 0, 0, 0
0.0000016, -7.35407E+000, 1, 0, 0, 0
0.0000032, -7.89259E+000, 2, 0, 0, 0
0.0000048, -8.38968E+000, 3, 0, 0, 0
0.0000064, -7.97544E+000, 4, 0, 0, 0
0.0000080, -7.68547E+000, 5, 0, 0, 0
0.0000096, -8.18256E+000, 6, 0, 0, 0
0.0000112, -8.88677E+000, 7, 0, 0, 0
0.0000128, -8.72107E+000, 8, 0, 0, 0
0.0000144, -9.38386E+000, 9, 0, 0, 0
0.0000160, -8.72107E+000, 10, 0, 0, 0
0.0000176, -9.63240E+000, 11, 0, 0, 0
0.0000192, -9.67383E+000, 12, 0, 0, 0
0.0000208, -9.67383E+000, 13, 0, 0, 0
0.0000224, -8.84534E+000, 14, 0, 0, 0
0.0000240, -7.97544E+000, 15, 0, 0, 0
0.0000256, -8.30683E+000, 16, 0, 0, 0
0.0000272, -8.22398E+000, 17, 0, 0, 0
0.0000288, -8.14113E+000, 18, 0, 0, 0
0.0000304, -9.83952E+000, 19, 0, 0, 0
0.0000320, -8.88677E+000, 20, 0, 0, 0
0.0000336, -7.72689E+000, 21, 0, 0, 0
0.0000352, -8.14113E+000, 22, 0, 0, 0
0.0000368, -7.93401E+000, 23, 0, 0, 0
0.0000384, -7.35407E+000, 24, 0, 0, 0
0.0000400, -6.89841E+000, 25, 0, 0, 0
0.0000416, -7.51977E+000, 26, 0, 0, 0
0.0000432, -7.64404E+000, 27, 0, 0, 0
0.0000448, -7.97544E+000, 28, 0, 0, 0
0.0000464, -7.60262E+000, 29, 0, 0, 0
0.0000480, -7.85116E+000, 30, 0, 0, 0
0.0000496, -8.34825E+000, 31, 0, 0, 0
0.0000512, -7.76832E+000, 32, 0, 0, 0
0.0000528, -8.18256E+000, 33, 0, 0, 0
0.0000544, -7.18838E+000, 34, 0, 0, 0
0.0000560, -8.18256E+000, 35, 0, 0, 0
0.0000576, -7.76832E+000, 36, 0, 0, 0
0.0000592, -8.43110E+000, 37, 0, 0, 0
0.0000608, -8.88677E+000, 38, 0, 0, 0
0.0000624, -8.30683E+000, 39, 0, 0, 0
0.0000640, -8.47253E+000, 40, 0, 0, 0
0.0000656, -8.05828E+000, 41, 0, 0, 0
0.0000672, -8.55537E+000, 42, 0, 0, 0
0.0000688, -8.72107E+000, 43, 0, 0, 0
0.0000704, -8.05828E+000, 44, 0, 0, 0
0.0000720, -8.55537E+000, 45, 0, 0, 0
0.0000736, -8.76250E+000, 46, 0, 0, 0
0.0000752, -8.96961E+000, 47, 0, 0, 0
0.0000768, -8.14113E+000, 48, 0, 0, 0
0.0000784, -8.63822E+000, 49, 0, 0, 0
0.0000800, -7.72689E+000, 50, 0, 0, 0
0.0000816, -8.18256E+000, 51, 0, 0, 0
0.0000832, -9.30101E+000, 52, 0, 0, 0
0.0000848, -8.30683E+000, 53, 0, 0, 0
0.0000864, -8.84534E+000, 54, 0, 0, 0
0.0000880, -8.72107E+000, 55, 0, 0, 0
0.0000896, -8.26541E+000, 56, 0, 0, 0
0.0000912, -8.43110E+000, 57, 0, 0, 0
0.0000928, -8.18256E+000, 58, 0, 0, 0
0.0000944, -7.80974E+000, 59, 0, 0, 0
0.0000960, -8.63822E+000, 60, 0, 0, 0
0.0000976, -8.30683E+000, 61, 0, 0, 0
0.0000992, -8.05828E+000, 62, 0, 0, 0
0.0001008, -8.88677E+000, 63, 0, 0, 0
0.0001024, -8.14113E+000, 64, 0, 0, 0
0.0001040, -9.34243E+000, 65, 0, 0, 0
0.0001056, -9.17674E+000, 66, 0, 0, 0
0.0001072, -7.76832E+000, 67, 0, 0, 0
0.0001088, -7.43692E+000, 68, 0, 0, 0
