Meter S/N:, "REV_FA_2_OPT_MOD"
Sensor, Thermo, Single, ENB075, PM-Pro150 HD
Date, 3/25/2015 1:28:24 PM
Units, W
Timestamp, Measurement, Sequence, Flags, Flags (interpreted), Period
0.0000000, -1.01175E+000, 0, 0, 0, 0
0.0000016, -1.03195E+000, 1, 0, 0, 0
0.0000032, -8.62213E-001, 2, 0, 0, 0
0.0000048, -9.67290E-001, 3, 0, 0, 0
0.0000064, -1.08853E+000, 4, 0, 0, 0
0.0000080, -7.69260E-001, 5, 0, 0, 0
0.0000096, -1.06024E+000, 6, 0, 0, 0
0.0000112, -8.74337E-001, 7, 0, 0, 0
0.0000128, -7.93508E-001, 8, 0, 0, 0
0.0000144, -9.47083E-001, 9, 0, 0, 0
0.0000160, -7.85426E-001, 10, 0, 0, 0
0.0000176, -9.10710E-001, 11, 0, 0, 0
0.0000192, -1.18553E+000, 12, 0, 0, 0
0.0000208, -8.50088E-001, 13, 0, 0, 0
0.0000224, -9.99621E-001, 14, 0, 0, 0
0.0000240, -9.67290E-001, 15, 0, 0, 0
0.0000256, -8.78378E-001, 16, 0, 0, 0
0.0000272, -9.06668E-001, 17, 0, 0, 0
0.0000288, -9.59207E-001, 18, 0, 0, 0
0.0000304, -1.03599E+000, 19, 0, 0, 0
0.0000320, -9.26875E-001, 20, 0, 0, 0
0.0000336, -8.74337E-001, 21, 0, 0, 0
0.0000352, -1.07237E+000, 22, 0, 0, 0
0.0000368, -9.22834E-001, 23, 0, 0, 0
0.0000384, -1.04812E+000, 24, 0, 0, 0
0.0000400, -9.79414E-001, 25, 0, 0, 0
0.0000416, -1.24615E+000, 26, 0, 0, 0
0.0000432, -1.25019E+000, 27, 0, 0, 0
0.0000448, -1.01579E+000, 28, 0, 0, 0
0.0000464, -7.77343E-001, 29, 0, 0, 0
0.0000480, -9.55165E-001, 30, 0, 0, 0
0.0000496, -7.24804E-001, 31, 0, 0, 0
0.0000512, -6.92473E-001, 32, 0, 0, 0
0.0000528, -1.19765E+000, 33, 0, 0, 0
0.0000544, -1.47247E+000, 34, 0, 0, 0
0.0000560, -7.93508E-001, 35, 0, 0, 0
0.0000576, -8.05633E-001, 36, 0, 0, 0
