Meter S/N:, "REV_FA_2_OPT_MOD"
Sensor, Thermo, Single, 245, PM
Date, 3/25/2015 1:51:14 PM
Units, W
Timestamp, Measurement, Sequence, Flags, Flags (interpreted), Period
0.0000000, 6.75478E-004, 0, 0, 0, 0
0.1000000, 4.34236E-004, 100000, 0, 0, 0
0.2000000, 6.27230E-004, 200000, 0, 0, 0
0.3000000, 1.92994E-004, 300000, 0, 0, 0
0.4000000, 6.99602E-004, 400000, 0, 0, 0
0.5000000, -1.68869E-004, 500000, 0, 0, 0
0.6000000, 2.89491E-004, 600010, 0, 0, 0
0.7000000, 9.64969E-004, 700000, 0, 0, 0
0.8000000, 4.82484E-004, 800000, 0, 0, 0
0.9000000, 7.23726E-005, 900000, 0, 0, 0
1.0000000, -5.54857E-004, 1000000, 0, 0, 0
1.1000000, 4.82484E-005, 1100000, 0, 0, 0
1.2000000, 7.23726E-005, 1200000, 0, 0, 0
1.3000000, 4.58360E-004, 1300000, 0, 0, 0
1.4000000, 2.89491E-004, 1400000, 0, 0, 0
1.5000000, 2.41242E-005, 1500000, 0, 0, 0
1.6000000, 5.30733E-004, 1600000, 0, 0, 0
1.7000000, 9.64968E-005, 1700000, 0, 0, 0
1.8000000, 6.51354E-004, 1800000, 0, 0, 0
1.9000000, 4.82484E-005, 1900000, 0, 0, 0
2.0000000, 1.20621E-004, 2000000, 0, 0, 0
2.1000000, -7.23726E-005, 2100000, 0, 0, 0
2.2000000, 4.58360E-004, 2200000, 0, 0, 0
2.3000000, -7.23726E-005, 2300000, 0, 0, 0
2.4000000, 2.17118E-004, 2400000, 0, 0, 0
2.5000000, -3.85987E-004, 2500000, 0, 0, 0
2.6000000, -1.92994E-004, 2600010, 0, 0, 0
2.7000000, 5.06608E-004, 2700000, 0, 0, 0
2.8000000, -7.23726E-005, 2800000, 0, 0, 0
2.9000000, 9.64968E-005, 2900000, 0, 0, 0
3.0000000, 1.68869E-004, 3000000, 0, 0, 0
3.1000000, -7.47851E-004, 3100000, 0, 0, 0
3.2000000, -1.44745E-004, 3200000, 0, 0, 0
3.3000000, -6.75478E-004, 3300000, 0, 0, 0
3.4000000, -9.64968E-005, 3400000, 0, 0, 0
3.5000000, -6.51354E-004, 3500000, 0, 0, 0
3.6000000, 4.82484E-004, 3600000, 0, 0, 0
3.7000000, 9.64968E-005, 3700000, 0, 0, 0
