Header,Meter,Sensor,Date,Extra,Errors,Filename
S,S,S,Y,6,,.\10usec.csv
N,N,N,N,0,,.\audit.csv
S,S,S,Y,2,,.\Broken Files\10 kHz - 15 usec pulses CO2 Snapshot J5 - Broken.csv
S,S,S,Y,2,,.\Broken Files\AllZeros.csv
S,S,S,Y,2,,.\Broken Files\AllZerosQuad.csv
S,S,S,Y,2,,.\Broken Files\CountMean.csv
N,N,N,N,0,,.\Broken Files\CountMean4.csv
N,N,N,N,0,,.\Broken Files\CountMean5.csv
N,N,N,N,0,,.\Broken Files\CountSkip34.csv
N,N,N,N,0,,.\Broken Files\CountSkip35.csv
N,N,N,N,0,,.\Broken Files\CountSkip36.csv
N,N,N,N,0,,.\Broken Files\million (no header).csv
S,S,S,Y,2,,.\Broken Files\TimeMean.csv
S,S,S,Y,2,,.\Broken Files\TimeMean1.csv
S,S,S,Y,2,,.\Broken Files\TimeMean2.csv
S,S,S,Y,2,,.\Broken Files\TimeSkip.csv
S,S,S,Y,2,,.\Huge Files\CountSkip242.csv
S,S,S,Y,1,,.\Huge Files\Data 2-28-2014 1.04.46 PM.csv
S,S,S,Y,1,,.\Huge Files\Data 3-11-2014 5.36.34 PM.csv
S,S,S,Y,1,,.\Huge Files\Data 3-11-2014 5.53.09 PM.csv
S,S,S,Y,1,,.\Huge Files\Data 3-12-2014 2.38.50 PM.csv
S,S,S,Y,2,,.\Huge Files\half-million.csv
S,S,S,Y,2,,.\Huge Files\million.csv
S,S,S,Y,2,,.\Huge Files\Million2.csv
S,S,S,Y,2,,.\Huge Files\quarter-million.csv
S,S,S,Y,1,,.\Legacy Files\64bit.csv
Y,S,S,N,1,,.\Legacy Files\aa-original.csv
Y,S,S,N,1,,.\Legacy Files\aa.csv
S,S,S,Y,1,,.\Legacy Files\big1.csv
S,S,S,Y,1,,.\Legacy Files\bolix.csv
S,S,S,Y,1,,.\Legacy Files\circ2.csv
S,S,S,Y,1,,.\Legacy Files\circ3.csv
S,S,S,Y,1,,.\Legacy Files\circ4.csv
S,S,S,Y,1,,.\Legacy Files\circ5.csv
S,S,S,Y,1,,.\Legacy Files\circ6.csv
S,S,S,N,2,,.\Legacy Files\SlowChannel_PM10_statistics validation.csv
S,S,S,Y,2,,.\Legacy Files\splitelectrode2.csv
S,S,S,Y,1,,.\Legacy Files\test1.csv
N,N,N,N,0,,.\Non-LabMax Files\20150119_Feature.csv
N,N,N,N,0,,.\Non-LabMax Files\AcousticPlots.csv
N,N,N,N,0,,.\Non-LabMax Files\Benchmark.84a3.csv
N,N,N,N,0,,.\Non-LabMax Files\D0_S_24mA.csv
N,N,N,N,0,,.\Non-LabMax Files\modes.csv
N,N,N,N,0,,.\Non-LabMax Files\pin_to_atom_mapping.csv
N,N,N,N,0,,.\Non-LabMax Files\RealEstateAgency.csv
N,N,N,N,0,,.\Non-LabMax Files\sample.csv
N,N,N,N,0,,.\Non-LabMax Files\sample2.csv
N,N,N,N,0,,.\Non-LabMax Files\SampleStrings (2).csv
N,N,N,N,0,,.\Non-LabMax Files\SampleStrings (3).csv
N,N,N,N,0,,.\Non-LabMax Files\SampleStrings (4).csv
N,N,N,N,0,,.\Non-LabMax Files\SampleStrings.csv
N,N,N,N,0,,.\Non-LabMax Files\scan_operation.csv
N,N,N,N,0,,.\Non-LabMax Files\Telemetry.csv
N,N,N,N,0,,.\Non-LabMax Files\term.csv
N,N,N,N,0,,.\Non-LabMax Files\test_iface.csv
N,N,N,N,0,,.\Non-LabMax Files\TIMESTAMP_TEST.csv
N,N,N,N,0,,.\Non-LabMax Files\TradeTicks (2).csv
N,N,N,N,0,,.\Non-LabMax Files\TradeTicks (3).csv
N,N,N,N,0,,.\Non-LabMax Files\TradeTicks.csv
N,N,N,N,0,,.\Non-LabMax Files\tzData.csv
N,N,N,N,0,,.\Non-LabMax Files\UpdateList.csv
N,N,N,N,0,,.\Non-LabMax Files\upload76.csv
N,N,N,N,0,,.\Non-LabMax Files\usagedata.csv
N,N,N,N,0,,.\Other Files\001 10ms single shot 20150515-1_truncated.csv
S,S,S,Y,2,,.\Other Files\1 kHz - 500 usec pulses CO2 Snapshot.csv
S,S,S,Y,2,,.\Other Files\10 kHz - 10 usec pulses CO2 Snapshot.csv
S,S,S,Y,2,,.\Other Files\10 kHz - 15 usec pulses CO2 Snapshot J5.csv
S,S,S,Y,1,,.\Other Files\100 Hz - 1 msec pulses - 5W avg power - CO2 Snapshot.csv
S,S,S,Y,1,,.\Other Files\100W 30 ms long pulse-810 nm High Speed Mode.csv
S,S,S,Y,1,,.\Other Files\140mW 10 ms 50 percent duty cycle.csv
S,S,S,Y,1,,.\Other Files\15W-1msec_with trapezoidal area calculation.csv
S,S,S,Y,2,,.\Other Files\2 kHz - 50 usec pulses CO2 Snapshot J5.csv
S,S,S,Y,2,,.\Other Files\200Hz - 200 usec pulses CO2 Snapshot J5.csv
S,S,S,Y,2,,.\Other Files\5 kHz - 50 usec pulses CO2 Snapshot.csv
S,S,S,Y,2,,.\Other Files\8 kHz - 10 usec pulses CO2 Snapshot.csv
S,S,S,Y,2,,.\Other Files\8 kHz - 50 usec pulses CO2 Snapshot.csv
S,S,S,Y,2,,.\Other Files\CountMean1.csv
S,S,S,Y,2,,.\Other Files\CountMean2.csv
S,S,S,Y,2,,.\Other Files\CountMean3.csv
S,S,S,Y,2,,.\Other Files\CountSkip30.csv
S,S,S,Y,2,,.\Other Files\GEM100@25KHz_20uSec_Pulsewidth_PreTrig_11mSec_Truncated (2).csv
S,S,S,Y,2,,.\Other Files\GEM100@25KHz_20uSec_Pulsewidth_PreTrig_11mSec_Truncated.csv
S,S,S,Y,2,,.\Other Files\J-10MT data.csv
S,S,S,Y,2,,.\Other Files\K250@10KHz_30W_truncated.csv
S,S,S,Y,2,,.\Other Files\LM-2 data.csv
S,S,S,Y,2,,.\Other Files\LM-3 data.csv
S,S,S,Y,2,,.\Other Files\Standard Mode with HD Sensor.csv
S,S,S,Y,2,,.\Other Files\Data\1 kHz - 10 percent duty cycle.csv
S,S,S,Y,1,,.\Other Files\Data\100 Hz 10 percent.csv
S,S,S,Y,1,,.\Other Files\Data\15W-1msec.csv
S,S,S,Y,2,,.\Other Files\Data\160 usec 1 kHz low power.csv
S,S,S,Y,2,,.\Other Files\Data\25 kHz - 10 percent duty cycle.csv
S,S,S,Y,2,,.\Other Files\Data\25 kHz - 10usec.csv
S,S,S,Y,1,,.\Other Files\Data\250mW-5msec.csv
S,S,S,Y,1,,.\Other Files\Data\4W-500usec.csv
S,S,S,Y,2,,.\Other Files\Data\baseline noise snapshot.csv
S,S,S,Y,2,,.\Other Files\Data\baseline noise standard mode.csv
S,S,S,Y,2,,.\Other Files\Data\High Speed Export.csv
S,S,S,Y,2,,.\Other Files\Data\laser pointer pulse.csv
S,S,S,Y,2,,.\Other Files\Data\Aesclepion\1 Hz - 2 Jcm2 Snapshot.csv
S,S,S,Y,2,,.\Other Files\Data\Aesclepion\4 Jcm2 Snapshot.csv
S,S,S,Y,2,,.\Other Files\Data\Aesclepion\No Gain Sensor\2 Jcm2 full snapshot.csv
S,S,S,Y,2,,.\Other Files\Data\Aesclepion\No Gain Sensor\2 Jcm2 high speed mode.csv
S,S,S,Y,2,,.\Other Files\Data\Aesclepion\No Gain Sensor\2Jcm2 erbium.csv
S,S,S,Y,2,,.\Other Files\Data\Aesclepion\No Gain Sensor\4Jcm2 erbium.csv
S,S,S,Y,2,,.\Other Files\Data\Aesclepion\No Gain Sensor\7 Jcm2 full snapshot.csv
S,S,S,Y,2,,.\Other Files\Data\Aesclepion\No Gain Sensor\7 Jcm2 high speed mode.csv
S,S,S,Y,2,,.\Other Files\Data\Aesclepion\No Gain Sensor\7Jcm2 erbium high speed.csv
S,S,S,Y,2,,.\Other Files\Data\Aesclepion\No Gain Sensor\7Jcm2 erbium.csv
S,S,S,Y,2,,.\Other Files\Data\Aesclepion\No Gain Sensor\Magnum laser 50 percent duty cycle with correct power - Snapshot.csv
S,S,S,Y,2,,.\Other Files\Data\Candela\Candela2.csv
S,S,S,Y,2,,.\Other Files\Data\Candela\Candela3.csv
S,S,S,Y,2,,.\Other Files\Data\Candela\Candela4.csv
S,S,S,Y,2,,.\Other Files\Data\Candela\Candela\10J 755nm four pulse burst.csv
S,S,S,Y,2,,.\Other Files\Data\Candela\Candela\35J 755nm four pulse burst ENB064.csv
S,S,S,Y,2,,.\Other Files\Data\Candela\Candela\35JJ 1064nm four pulse burst ENB065.csv
S,S,S,Y,2,,.\Other Files\Data\Candela\Candela\test.csv
S,S,S,Y,2,,.\Other Files\Data\Convergent\convergent-100us.csv
S,S,S,Y,2,,.\Other Files\Data\Convergent\convergent-12us.csv
S,S,S,Y,2,,.\Other Files\Data\Convergent\convergent-15us.csv
S,S,S,Y,2,,.\Other Files\Data\Convergent\convergent-20us.csv
S,S,S,Y,2,,.\Other Files\Data\Convergent\convergent-30us.csv
S,S,S,Y,2,,.\Other Files\Data\Convergent\convergent-50us.csv
S,S,S,Y,2,,.\Other Files\Data\Convergent\convergent-70us.csv
S,S,S,Y,2,,.\Other Files\Data\Cynosure\Cynosure 100 ms 10 - 2.6 hz - J per cm2 Snapshot.csv
S,S,S,Y,2,,.\Other Files\Data\Cynosure\Coherent PowerMax Pro\Cynosure 100 ms 10 - 2.6 hz - J per cm2 High Speed Mode.csv
S,S,S,Y,2,,.\Other Files\Data\Cynosure\Coherent PowerMax Pro\Cynosure 50 ms - 10 J per cm2 Snapshot.csv
S,S,S,Y,2,,.\Other Files\Data\Dingyin\001 10ms single shot 20150515-1 (1).csv
S,S,S,Y,2,,.\Other Files\Data\Dingyin\001 10ms single shot 20150515-1.csv
N,N,N,N,0,,.\Other Files\Data\Dingyin\001 10ms single shot 20150515-1_truncated (1).csv
N,N,N,N,0,,.\Other Files\Data\Dingyin\001 10ms single shot 20150515-1_truncated.csv
S,S,S,Y,2,,.\Other Files\Data\Good Examples\1 kHz - 500 usec pulses CO2 Snapshot (1).csv
S,S,S,Y,2,,.\Other Files\Data\Good Examples\1 kHz - 500 usec pulses CO2 Snapshot.csv
S,S,S,Y,2,,.\Other Files\Data\Good Examples\10 kHz - 10 usec pulses CO2 Snapshot (1).csv
S,S,S,Y,2,,.\Other Files\Data\Good Examples\10 kHz - 10 usec pulses CO2 Snapshot.csv
S,S,S,Y,1,,.\Other Files\Data\Good Examples\100 Hz - 1 msec pulses - 5W avg power - CO2 Snapshot (1).csv
S,S,S,Y,1,,.\Other Files\Data\Good Examples\100 Hz - 1 msec pulses - 5W avg power - CO2 Snapshot.csv
S,S,S,Y,1,,.\Other Files\Data\Good Examples\100W 30 ms long pulse-810 nm High Speed Mode (1).csv
S,S,S,Y,1,,.\Other Files\Data\Good Examples\100W 30 ms long pulse-810 nm High Speed Mode.csv
S,S,S,Y,2,,.\Other Files\Data\Good Examples\5 kHz - 50 usec pulses CO2 Snapshot (1).csv
S,S,S,Y,2,,.\Other Files\Data\Good Examples\5 kHz - 50 usec pulses CO2 Snapshot.csv
S,S,S,Y,2,,.\Other Files\Data\Good Examples\8 kHz - 10 usec pulses CO2 Snapshot (1).csv
S,S,S,Y,2,,.\Other Files\Data\Good Examples\8 kHz - 10 usec pulses CO2 Snapshot.csv
S,S,S,Y,2,,.\Other Files\Data\Good Examples\8 kHz - 50 usec pulses CO2 Snapshot (1).csv
S,S,S,Y,2,,.\Other Files\Data\Good Examples\8 kHz - 50 usec pulses CO2 Snapshot.csv
S,S,S,Y,2,,.\Other Files\Data\Good Examples\Joues data (1).csv
S,S,S,Y,2,,.\Other Files\Data\Good Examples\Joues data.csv
S,S,S,Y,2,,.\Other Files\Data\Good Examples\Standard Mode with HD Sensor (1).csv
S,S,S,Y,2,,.\Other Files\Data\Good Examples\Standard Mode with HD Sensor.csv
S,S,S,Y,2,,.\Other Files\Data\Jetec\PowerCheck_PowerMax Pro_Jetec.csv
S,S,S,Y,2,,.\Other Files\Data\LG\snap.csv
S,S,S,Y,2,,.\Other Files\Data\LightSheer PMP data\test 1 - 24 J - 20 ms - - 810.csv
S,S,S,Y,2,,.\Other Files\Data\LightSheer PMP data\test 2 - 20 J - 400 ms - 810.csv
S,S,S,Y,2,,.\Other Files\Data\LightSheer PMP data\test 3 - 14 J - 15 ms - 810.csv
S,S,S,Y,2,,.\Other Files\Data\LightSheer PMP data\test 4-5 - 30.7 J - 400 ms - - 810.csv
S,S,S,Y,2,,.\Other Files\Data\LightSheer PMP data\test 6 - 24 J - 20 ms - 810.csv
S,S,S,Y,2,,.\Other Files\Data\LightSheer PMP data\test 7 - 24 J - 20 ms -  810.csv
S,S,S,Y,2,,.\Other Files\Data\LightSheer PMP data\test 8 - 5 shots - 400 ms J.csv
S,S,S,Y,1,,.\Other Files\Data\Lumenis\LSDuet-5 ms long pulses-810 nm.csv
S,S,S,Y,1,,.\Other Files\Data\Lumenis\M22-3 2ms long pulses-5ms-spacing-8K saples.csv
S,S,S,Y,2,,.\Other Files\Data\MDi\MDi_GEM100_K250_Scriber_test_20140411\GEM100@10KHz_10uSec_Pulsewidth_PreTrig_11mSec.csv
S,S,S,Y,2,,.\Other Files\Data\MDi\MDi_GEM100_K250_Scriber_test_20140411\GEM100@10KHz_50uSec_Pulsewidth_PreTrig_11mSec.csv
S,S,S,Y,2,,.\Other Files\Data\MDi\MDi_GEM100_K250_Scriber_test_20140411\GEM100@10KHz_90uSec_Pulsewidth_PreTrig_11mSec.csv
S,S,S,Y,2,,.\Other Files\Data\MDi\MDi_GEM100_K250_Scriber_test_20140411\GEM100@1KHz_100uSec_Pulsewidth.csv
S,S,S,Y,2,,.\Other Files\Data\MDi\MDi_GEM100_K250_Scriber_test_20140411\GEM100@1KHz_100uSec_Pulsewidth_PreTrig_11mSec_4thshot,5min_aging.csv
S,S,S,Y,2,,.\Other Files\Data\MDi\MDi_GEM100_K250_Scriber_test_20140411\GEM100@1KHz_900uSec_Pulsewidth_PreTrig_11mSec.csv
S,S,S,Y,2,,.\Other Files\Data\MDi\MDi_GEM100_K250_Scriber_test_20140411\GEM100@25KHz_20uSec_Pulsewidth_PreTrig_11mSec.csv
