Meter S/N:, 0484C15R
Sensor, Thermo, Single, ENB075, PM-Pro 150 LP
Date, 6/4/2015 3:08:29 PM
Units, W
Cursor, 0.0000000, 0.0211184, 23354.24218750, -1.71631050
Timestamp, Measurement, Sequence, Flags, FlagsInterpreted, Period
0.0000000, -0.162526860833168, 0, 0, 0, 0
0.0000016, 0.484883010387421, 1, 0, 0, 0
0.0000032, -0.507812142372131, 2, 0, 0, 0
0.0000048, -0.507812142372131, 3, 0, 0, 0
0.0000064, -0.809936702251434, 4, 0, 0, 0
0.0000080, -0.507812142372131, 5, 0, 0, 0
0.0000096, -0.0330448783934116, 6, 0, 0, 0
0.0000112, -0.550972759723663, 7, 0, 0, 0
0.0000128, 0.22591906785965, 8, 0, 0, 0
0.0000144, 0.657525658607483, 9, 0, 0, 0
0.0000160, 0.22591906785965, 10, 0, 0, 0
0.0000176, 0.0964370965957642, 11, 0, 0, 0
0.0000192, 0.959650278091431, 12, 0, 0, 0
0.0000208, 0.0101157790049911, 13, 0, 0, 0
0.0000224, 0.398561716079712, 14, 0, 0, 0
0.0000240, 0.657525658607483, 15, 0, 0, 0
0.0000256, 0.22591906785965, 16, 0, 0, 0
0.0000272, 0.916489601135254, 17, 0, 0, 0
0.0000288, 1.04597163200378, 18, 0, 0, 0
0.0000304, 0.873328924179077, 19, 0, 0, 0
0.0000320, 0.441722363233566, 20, 0, 0, 0
0.0000335, -0.4214908182621, 21, 0, 0, 0
0.0000352, 0.484883010387421, 22, 0, 0, 0
0.0000368, -0.162526860833168, 23, 0, 0, 0
0.0000384, 0.484883010387421, 24, 0, 0, 0
0.0000400, -0.335169494152069, 25, 0, 0, 0
0.0000416, 1.17545354366302, 26, 0, 0, 0
0.0000432, 1.26177489757538, 27, 0, 0, 0
0.0000448, 1.26177489757538, 28, 0, 0, 0
0.0000464, -0.550972759723663, 29, 0, 0, 0
0.0000480, 0.13959775865078, 30, 0, 0, 0
0.0000496, -0.335169494152069, 31, 0, 0, 0
0.0000512, -0.4214908182621, 32, 0, 0, 0
0.0000528, -0.335169494152069, 33, 0, 0, 0
0.0000544, -0.0762055367231369, 34, 0, 0, 0
0.0000560, 0.787007629871368, 35, 0, 0, 0
0.0000576, 1.17545354366302, 36, 0, 0, 0
0.0000592, 1.00281095504761, 37, 0, 0, 0
0.0000608, 1.39125680923462, 38, 0, 0, 0
0.0000624, 1.65022075176239, 39, 0, 0, 0
0.0000640, 1.04597163200378, 40, 0, 0, 0
0.0000656, 1.39125680923462, 41, 0, 0, 0
0.0000671, 0.355401039123535, 42, 0, 0, 0
0.0000688, 0.182758405804634, 43, 0, 0, 0
0.0000704, 0.873328924179077, 44, 0, 0, 0
0.0000720, 0.916489601135254, 45, 0, 0, 0
0.0000736, 1.69338142871857, 46, 0, 0, 0
0.0000752, 1.4344174861908, 47, 0, 0, 0
0.0000768, 2.25447010993958, 48, 0, 0, 0
0.0000784, 2.08182740211487, 49, 0, 0, 0
0.0000800, 1.13229286670685, 50, 0, 0, 0
0.0000816, 1.69338142871857, 51, 0, 0, 0
0.0000832, 1.99550604820251, 52, 0, 0, 0
0.0000848, 2.03866672515869, 53, 0, 0, 0
0.0000864, 1.4344174861908, 54, 0, 0, 0
0.0000880, 1.08913218975067, 55, 0, 0, 0
0.0000896, 1.73654210567474, 56, 0, 0, 0
0.0000911, 0.959650278091431, 57, 0, 0, 0
0.0000928, 0.959650278091431, 58, 0, 0, 0
0.0000944, 1.52073884010315, 59, 0, 0, 0
0.0000960, 1.73654210567474, 60, 0, 0, 0
0.0000976, 1.65022075176239, 61, 0, 0, 0
0.0000992, 2.34079122543335, 62, 0, 0, 0
0.0001008, 1.39125680923462, 63, 0, 0, 0
0.0001024, 0.528043687343597, 64, 0, 0, 0
0.0001040, 1.04597163200378, 65, 0, 0, 0
0.0001056, 1.08913218975067, 66, 0, 0, 0
0.0001072, 2.08182740211487, 67, 0, 0, 0
0.0001088, 2.72923731803894, 68, 0, 0, 0
0.0001104, 1.2186142206192, 69, 0, 0, 0
0.0001120, 1.95234537124634, 70, 0, 0, 0
0.0001136, 0.959650278091431, 71, 0, 0, 0
0.0001152, 1.56389951705933, 72, 0, 0, 0
0.0001168, 1.56389951705933, 73, 0, 0, 0
0.0001184, 1.8228634595871, 74, 0, 0, 0
0.0001200, 0.787007629871368, 75, 0, 0, 0
0.0001216, 0.657525658607483, 76, 0, 0, 0
0.0001232, 1.08913218975067, 77, 0, 0, 0
0.0001248, 0.614364981651306, 78, 0, 0, 0
0.0001264, -0.205687507987022, 79, 0, 0, 0
0.0001280, 0.182758405804634, 80, 0, 0, 0
0.0001296, 1.30493557453156, 81, 0, 0, 0
0.0001312, 0.484883010387421, 82, 0, 0, 0
0.0001328, 0.830168306827545, 83, 0, 0, 0
0.0001343, 1.00281095504761, 84, 0, 0, 0
0.0001360, 0.398561716079712, 85, 0, 0, 0
0.0001376, 0.702981948852539, 86, 0, 0, 0
0.0001392, 0.614364981651306, 87, 0, 0, 0
0.0001408, 0.614364981651306, 88, 0, 0, 0
0.0001424, 0.830168306827545, 89, 0, 0, 0
0.0001440, 1.30493557453156, 90, 0, 0, 0
0.0001455, 1.08913218975067, 91, 0, 0, 0
0.0001472, 0.70068633556366, 92, 0, 0, 0
0.0001488, 0.528043687343597, 93, 0, 0, 0
0.0001504, -0.205687507987022, 94, 0, 0, 0
0.0001520, -1.11206138134003, 95, 0, 0, 0
0.0001536, 0.0964370965957642, 96, 0, 0, 0
0.0001552, 0.312240391969681, 97, 0, 0, 0
0.0001568, -0.378330141305923, 98, 0, 0, 0
0.0001584, -0.4214908182621, 99, 0, 0, 0
0.0001600, 0.22591906785965, 100, 0, 0, 0
0.0001616, -0.680454730987549, 101, 0, 0, 0
0.0001632, -1.11206138134003, 102, 0, 0, 0
0.0001648, 0.13959775865078, 103, 0, 0, 0
0.0001664, 0.13959775865078, 104, 0, 0, 0
0.0001680, 0.398561716079712, 105, 0, 0, 0
0.0001696, -0.248848170042038, 106, 0, 0, 0
0.0001711, 0.269079715013504, 107, 0, 0, 0
0.0001728, -1.75947117805481, 108, 0, 0, 0
0.0001744, 0.182758405804634, 109, 0, 0, 0
0.0001760, -0.680454730987549, 110, 0, 0, 0
0.0001776, -0.0330448783934116, 111, 0, 0, 0
0.0001792, -0.119366198778152, 112, 0, 0, 0
0.0001808, 0.614364981651306, 113, 0, 0, 0
0.0001823, 0.787007629871368, 114, 0, 0, 0
0.0001840, 0.916489601135254, 115, 0, 0, 0
0.0001856, 1.13229286670685, 116, 0, 0, 0
0.0001872, 0.787007629871368, 117, 0, 0, 0
0.0001888, 0.44316953420639, 118, 0, 0, 0
0.0001904, 1.08913218975067, 119, 0, 0, 0
0.0001920, 1.65022075176239, 120, 0, 0, 0
0.0001936, 1.69338142871857, 121, 0, 0, 0
0.0001952, 0.830168306827545, 122, 0, 0, 0
0.0001968, 1.86602413654327, 123, 0, 0, 0
0.0001984, 1.34809613227844, 124, 0, 0, 0
0.0002000, 1.52073884010315, 125, 0, 0, 0
0.0002016, 0.484883010387421, 126, 0, 0, 0
0.0002032, 0.787007629871368, 127, 0, 0, 0
0.0002048, 1.4344174861908, 128, 0, 0, 0
0.0002064, 0.528043687343597, 129, 0, 0, 0
0.0002080, 0.830168306827545, 130, 0, 0, 0
0.0002096, 0.959650278091431, 131, 0, 0, 0
0.0002112, 0.873328924179077, 132, 0, 0, 0
0.0002128, -0.464651465415955, 133, 0, 0, 0
0.0002144, -0.119366198778152, 134, 0, 0, 0
0.0002160, 1.34809613227844, 135, 0, 0, 0
0.0002176, 0.657525658607483, 136, 0, 0, 0
0.0002192, 0.657525658607483, 137, 0, 0, 0
0.0002208, 0.398561716079712, 138, 0, 0, 0
0.0002224, 0.959650278091431, 139, 0, 0, 0
0.0002240, 1.26177489757538, 140, 0, 0, 0
0.0002256, 1.86602413654327, 141, 0, 0, 0
0.0002272, 1.08913218975067, 142, 0, 0, 0
0.0002288, 1.08913218975067, 143, 0, 0, 0
0.0002304, 0.528043687343597, 144, 0, 0, 0
0.0002320, 1.30493557453156, 145, 0, 0, 0
0.0002336, 0.70068633556366, 146, 0, 0, 0
0.0002352, 1.08913218975067, 147, 0, 0, 0
0.0002368, 0.312240391969681, 148, 0, 0, 0
0.0002384, 0.614364981651306, 149, 0, 0, 0
0.0002400, 0.312240391969681, 150, 0, 0, 0
0.0002416, -0.550972759723663, 151, 0, 0, 0
0.0002432, 0.787007629871368, 152, 0, 0, 0
0.0002448, 0.528043687343597, 153, 0, 0, 0
0.0002464, 0.355401039123535, 154, 0, 0, 0
0.0002480, 0.441722363233566, 155, 0, 0, 0
0.0002496, 0.873328924179077, 156, 0, 0, 0
0.0002512, 0.0964370965957642, 157, 0, 0, 0
0.0002528, 0.22591906785965, 158, 0, 0, 0
0.0002544, 0.0101157790049911, 159, 0, 0, 0
0.0002560, -0.378330141305923, 160, 0, 0, 0
0.0002575, -1.24154329299927, 161, 0, 0, 0
0.0002592, -0.723615407943726, 162, 0, 0, 0
0.0002608, -0.59413343667984, 163, 0, 0, 0
0.0002624, 0.398561716079712, 164, 0, 0, 0
0.0002640, -0.0762055367231369, 165, 0, 0, 0
0.0002656, 0.13959775865078, 166, 0, 0, 0
0.0002672, 1.08913218975067, 167, 0, 0, 0
0.0002687, 0.269079715013504, 168, 0, 0, 0
0.0002704, 1.00281095504761, 169, 0, 0, 0
0.0002720, 1.30493557453156, 170, 0, 0, 0
0.0002736, 0.70068633556366, 171, 0, 0, 0
