Meter S/N:, 0639B14R
Sensor, Thermo, Single, ENB075, PM-Pro150 HD
Date, 4/1/2015 3:23:09 PM
Units, W
Cursor, 1.4396416, 1.4475264, 4158.82080078, 1.26271355
Timestamp, Measurement, Sequence, Flags, FlagsInterpreted, Period
1.4396416, 2.4577100276947, 1439641, 32, UnderRange, 0
1.4396928, 1.97604823112488, 1439693, 32, UnderRange, 0
1.4397440, 2.07073402404785, 1439744, 32, UnderRange, 0
1.4397952, 1.97879278659821, 1439795, 32, UnderRange, 0
1.4398464, 2.07759523391724, 1439846, 32, UnderRange, 0
1.4398976, 1.94036960601807, 1439897, 32, UnderRange, 0
1.4399488, 2.21482086181641, 1439949, 32, UnderRange, 0
1.4400000, 2.50436687469482, 1440000, 32, UnderRange, 0
1.4400512, 1.73727583885193, 1440051, 32, UnderRange, 0
1.4401024, 1.60142254829407, 1440102, 32, UnderRange, 0
1.4401536, 1.80863308906555, 1440153, 32, UnderRange, 0
1.4402048, 2.4055643081665, 1440205, 32, UnderRange, 0
1.4402560, 2.27108311653137, 1440256, 32, UnderRange, 0
1.4403071, 2.01447153091431, 1440307, 32, UnderRange, 0
1.4403584, 1.93350839614868, 1440358, 32, UnderRange, 0
1.4404096, 2.17914223670959, 1440409, 32, UnderRange, 0
1.4404608, 2.03231072425842, 1440461, 32, UnderRange, 0
1.4405120, 2.1269965171814, 1440512, 32, UnderRange, 0
1.4405632, 2.24089360237122, 1440563, 32, UnderRange, 0
1.4406144, 2.20658731460571, 1440614, 32, UnderRange, 0
1.4406656, 2.58395743370056, 1440665, 32, UnderRange, 0
1.4407168, 2.35479092597961, 1440717, 32, UnderRange, 0
1.4407680, 2.10641264915466, 1440768, 32, UnderRange, 0
1.4408192, 2.36302447319031, 1440819, 32, UnderRange, 0
1.4408704, 2.21619296073914, 1440870, 32, UnderRange, 0
1.4409216, 2.55788493156433, 1440921, 32, UnderRange, 0
1.4409728, 1.82510018348694, 1440973, 32, UnderRange, 0
1.4410240, 2.19149255752563, 1441024, 32, UnderRange, 0
1.4410752, 1.66317391395569, 1441075, 32, UnderRange, 0
1.4411264, 2.22717094421387, 1441126, 32, UnderRange, 0
1.4411776, 1.87038457393646, 1441177, 32, UnderRange, 0
1.4412288, 1.71806418895721, 1441229, 32, UnderRange, 0
1.4412799, 1.68101334571838, 1441280, 32, UnderRange, 0
1.4413312, 2.11190152168274, 1441331, 32, UnderRange, 0
1.4413824, 2.07347846031189, 1441382, 32, UnderRange, 0
1.4414336, 1.80726087093353, 1441433, 32, UnderRange, 0
1.4414848, 2.36988568305969, 1441485, 32, UnderRange, 0
1.4415360, 2.22579908370972, 1441536, 32, UnderRange, 0
1.4415872, 2.6923656463623, 1441587, 32, UnderRange, 0
1.4416384, 1.95134770870209, 1441638, 32, UnderRange, 0
1.4416895, 1.84019505977631, 1441689, 32, UnderRange, 0
1.4417408, 2.82273006439209, 1441741, 32, UnderRange, 0
1.4417920, 1489.91430664063, 1441792, 32, UnderRange, 0
1.4418432, 6766.68212890625, 1441843, 1, TriggerDetected, 0
1.4418944, 6943.91162109375, 1441894, 0, 0, 0
1.4419456, 6979.77197265625, 1441945, 0, 0, 0
1.4419968, 6989.287109375, 1441997, 0, 0, 0
1.4420480, 7054.37451171875, 1442048, 0, 0, 0
1.4420992, 7033.130859375, 1442099, 0, 0, 0
1.4421504, 7046.76904296875, 1442150, 0, 0, 0
1.4422016, 7042.50439453125, 1442201, 0, 0, 0
1.4422527, 7043.2578125, 1442253, 0, 0, 0
1.4423040, 7013.5947265625, 1442304, 0, 0, 0
1.4423552, 7001.4287109375, 1442355, 0, 0, 0
1.4424064, 6993.28857421875, 1442406, 0, 0, 0
1.4424576, 6938.9267578125, 1442457, 0, 0, 0
1.4425088, 6930.89599609375, 1442509, 0, 0, 0
1.4425600, 6926.72314453125, 1442560, 0, 0, 0
