Meter S/N:,
Sensor,
Date, 12/11/2015 4:20:37 PM
Units, W
Timestamp, Measurement, Sequence, Flags, FlagsInterpreted, Period
0.0000000, 1.66838240623474, 0, 32, UnderRange, 0, 83268e3e 2000
0.0000512, 2.35881996154785, 0, 32, UnderRange, 0, 83268e3e 2000
0.0001024, 3.1778461933136, 0, 32, UnderRange, 0, 83268e3e 2000
0.0001536, 4.078040599823, 0, 32, UnderRange, 0, 83268e3e 2000
0.0002048, 5.04444456100464, 0, 32, UnderRange, 0, 83268e3e 2000
0.0002560, 6.00920009613037, 0, 32, UnderRange, 0, 83268e3e 2000
0.0003072, 6.90653467178345, 0, 32, UnderRange, 0, 83268e3e 2000
0.0003584, 7.90531063079834, 0, 33, TriggerDetected| UnderRange, 0, 83268e3e 2000
0.0004096, 8.87920665740967, 0, 32, UnderRange, 0, 83268e3e 2000
0.0004608, 9.76207828521729, 0, 32, UnderRange, 0, 83268e3e 2000
0.0005120, 10.5970010757446, 0, 32, UnderRange, 0, 83268e3e 2000
0.0005632, 11.3184547424316, 0, 32, UnderRange, 0, 83268e3e 2000
0.0006144, 11.9024276733398, 0, 32, UnderRange, 0, 83268e3e 2000
0.0006656, 12.3570289611816, 0, 32, UnderRange, 0, 83268e3e 2000
0.0007168, 12.6599025726318, 0, 32, UnderRange, 0, 83268e3e 2000
0.0007680, 12.8116121292114, 0, 32, UnderRange, 0, 83268e3e 2000
0.0008192, 12.8030776977539, 0, 32, UnderRange, 0, 83268e3e 2000
0.0008704, 12.6055498123169, 0, 32, UnderRange, 0, 83268e3e 2000
0.0009216, 12.274884223938, 0, 32, UnderRange, 0, 83268e3e 2000
0.0009728, 11.7929468154907, 0, 32, UnderRange, 0, 83268e3e 2000
0.0010240, 11.1807060241699, 0, 32, UnderRange, 0, 83268e3e 2000
0.0010752, 10.4256811141968, 0, 32, UnderRange, 0, 83268e3e 2000
0.0011264, 9.59174823760986, 0, 32, UnderRange, 0, 83268e3e 2000
0.0011776, 8.68656444549561, 0, 32, UnderRange, 0, 83268e3e 2000
0.0012288, 7.70049238204956, 0, 32, UnderRange, 0, 83268e3e 2000
0.0012800, 6.69744253158569, 0, 32, UnderRange, 0, 83268e3e 2000
0.0013312, 5.68221664428711, 0, 32, UnderRange, 0, 83268e3e 2000
0.0013824, 4.71037912368774, 0, 32, UnderRange, 0, 83268e3e 2000
0.0014336, 3.76275730133057, 0, 32, UnderRange, 0, 83268e3e 2000
0.0014848, 2.87830281257629, 0, 32, UnderRange, 0, 83268e3e 2000
0.0015360, 2.1084566116333, 0, 32, UnderRange, 0, 83268e3e 2000
0.0015872, 1.47015690803528, 0, 32, UnderRange, 0, 83268e3e 2000
0.0016384, 0.93431544303894, 0, 32, UnderRange, 0, 83268e3e 2000
0.0016896, 0.535284519195557, 0, 32, UnderRange, 0, 83268e3e 2000
0.0017408, 0.332668006420136, 0, 32, UnderRange, 0, 83268e3e 2000
0.0017920, 0.274946957826614, 0, 32, UnderRange, 0, 83268e3e 2000
0.0018432, 0.302028954029083, 0, 32, UnderRange, 0, 83268e3e 2000
0.0018944, 0.581728458404541, 0, 32, UnderRange, 0, 83268e3e 2000
0.0019456, 1.00689673423767, 0, 32, UnderRange, 0, 83268e3e 2000
0.0019968, 1.54974162578583, 0, 32, UnderRange, 0, 83268e3e 2000
0.0020480, 2.21354651451111, 0, 32, UnderRange, 0, 83268e3e 2000
0.0020992, 3.00056576728821, 0, 32, UnderRange, 0, 83268e3e 2000
0.0021504, 3.90477991104126, 0, 32, UnderRange, 0, 83268e3e 2000
0.0022016, 4.85415410995483, 0, 32, UnderRange, 0, 83268e3e 2000
0.0022528, 5.83375692367554, 0, 32, UnderRange, 0, 83268e3e 2000
0.0023040, 6.71399641036987, 0, 32, UnderRange, 0, 83268e3e 2000
0.0023552, 7.70980787277222, 0, 33, TriggerDetected| UnderRange, 0, 83268e3e 2000
0.0024064, 8.69710445404053, 0, 32, UnderRange, 0, 83268e3e 2000
0.0024576, 9.59928607940674, 0, 32, UnderRange, 0, 83268e3e 2000
0.0025088, 10.4369583129883, 0, 32, UnderRange, 0, 83268e3e 2000
0.0025600, 11.1903553009033, 0, 32, UnderRange, 0, 83268e3e 2000
0.0026112, 11.7949924468994, 0, 32, UnderRange, 0, 83268e3e 2000
0.0026624, 12.2799396514893, 0, 32, UnderRange, 0, 83268e3e 2000
0.0027136, 12.6081037521362, 0, 32, UnderRange, 0, 83268e3e 2000
0.0027648, 12.8020162582397, 0, 32, UnderRange, 0, 83268e3e 2000
0.0028160, 12.8155603408813, 0, 32, UnderRange, 0, 83268e3e 2000
0.0028672, 12.6617202758789, 0, 32, UnderRange, 0, 83268e3e 2000
0.0029184, 12.3525676727295, 0, 32, UnderRange, 0, 83268e3e 2000
0.0029696, 11.9007272720337, 0, 32, UnderRange, 0, 83268e3e 2000
0.0030208, 11.317946434021, 0, 32, UnderRange, 0, 83268e3e 2000
0.0030720, 10.5901794433594, 0, 32, UnderRange, 0, 83268e3e 2000
0.0031232, 9.76150417327881, 0, 32, UnderRange, 0, 83268e3e 2000
0.0031744, 8.87622356414795, 0, 32, UnderRange, 0, 83268e3e 2000
0.0032256, 7.90050935745239, 0, 32, UnderRange, 0, 83268e3e 2000
0.0032768, 6.90190267562866, 0, 32, UnderRange, 0, 83268e3e 2000
0.0033280, 5.88163423538208, 0, 32, UnderRange, 0, 83268e3e 2000
0.0033792, 4.90704154968262, 0, 32, UnderRange, 0, 83268e3e 2000
0.0034304, 3.95256567001343, 0, 32, UnderRange, 0, 83268e3e 2000
0.0034816, 3.04755687713623, 0, 32, UnderRange, 0, 83268e3e 2000
0.0035328, 2.25697422027588, 0, 32, UnderRange, 0, 83268e3e 2000
0.0035840, 1.58396375179291, 0, 32, UnderRange, 0, 83268e3e 2000
0.0036352, 1.03476047515869, 0, 32, UnderRange, 0, 83268e3e 2000
0.0036864, 0.599494278430939, 0, 32, UnderRange, 0, 83268e3e 2000
0.0037376, 0.350909411907196, 0, 32, UnderRange, 0, 83268e3e 2000
0.0037888, 0.272881776094437, 0, 32, UnderRange, 0, 83268e3e 2000
0.0038400, 0.276712477207184, 0, 32, UnderRange, 0, 83268e3e 2000
0.0038912, 0.502645373344421, 0, 32, UnderRange, 0, 83268e3e 2000
0.0039424, 0.904360413551331, 0, 32, UnderRange, 0, 83268e3e 2000
0.0039936, 1.43500316143036, 0, 32, UnderRange, 0, 83268e3e 2000
0.0040448, 2.0676543712616, 0, 32, UnderRange, 0, 83268e3e 2000
0.0040960, 2.82719445228577, 0, 32, UnderRange, 0, 83268e3e 2000
0.0041472, 3.71474981307983, 0, 32, UnderRange, 0, 83268e3e 2000
0.0041984, 4.65652132034302, 0, 32, UnderRange, 0, 83268e3e 2000
0.0042496, 5.63218307495117, 0, 32, UnderRange, 0, 83268e3e 2000
0.0043008, 6.54141998291016, 0, 32, UnderRange, 0, 83268e3e 2000
0.0043520, 10.0927495956421, 0, 32, UnderRange, 0, 83268e3e 2000
0.0044032, 10.8956384658813, 0, 32, UnderRange, 0, 83268e3e 2000
0.0044544, 11.5608959197998, 0, 32, UnderRange, 0, 83268e3e 2000
0.0045056, 12.0987768173218, 0, 32, UnderRange, 0, 83268e3e 2000
0.0045568, 12.4900751113892, 0, 32, UnderRange, 0, 83268e3e 2000
0.0046080, 12.7366533279419, 0, 32, UnderRange, 0, 83268e3e 2000
0.0046592, 12.8211297988892, 0, 32, UnderRange, 0, 83268e3e 2000
0.0047104, 12.7378969192505, 0, 32, UnderRange, 0, 83268e3e 2000
0.0047616, 12.4882116317749, 0, 32, UnderRange, 0, 83268e3e 2000
0.0048128, 12.098536491394, 0, 32, UnderRange, 0, 83268e3e 2000
0.0048640, 11.5622644424438, 0, 32, UnderRange, 0, 83268e3e 2000
0.0049152, 10.897313117981, 0, 32, UnderRange, 0, 83268e3e 2000
0.0049664, 10.0932111740112, 0, 32, UnderRange, 0, 83268e3e 2000
0.0050176, 9.23882293701172, 0, 32, UnderRange, 0, 83268e3e 2000
0.0050688, 8.3087329864502, 0, 32, UnderRange, 0, 83268e3e 2000
0.0051200, 7.30470561981201, 0, 32, UnderRange, 0, 83268e3e 2000
0.0051712, 6.29398775100708, 0, 32, UnderRange, 0, 83268e3e 2000
0.0052224, 5.30315971374512, 0, 32, UnderRange, 0, 83268e3e 2000
0.0052736, 4.3250880241394, 0, 32, UnderRange, 0, 83268e3e 2000
0.0053248, 3.40936899185181, 0, 32, UnderRange, 0, 83268e3e 2000
0.0053760, 2.55888938903809, 0, 32, UnderRange, 0, 83268e3e 2000
0.0054272, 1.82981896400452, 0, 32, UnderRange, 0, 83268e3e 2000
0.0054784, 1.25060200691223, 0, 32, UnderRange, 0, 83268e3e 2000
0.0055296, 0.756846010684967, 0, 32, UnderRange, 0, 83268e3e 2000
0.0055808, 0.422826200723648, 0, 32, UnderRange, 0, 83268e3e 2000
0.0056320, 0.292673707008362, 0, 32, UnderRange, 0, 83268e3e 2000
0.0056832, 0.265656888484955, 0, 32, UnderRange, 0, 83268e3e 2000
0.0057344, 0.378343194723129, 0, 32, UnderRange, 0, 83268e3e 2000
0.0057856, 0.72866302728653, 0, 32, UnderRange, 0, 83268e3e 2000
0.0058368, 1.20821022987366, 0, 32, UnderRange, 0, 83268e3e 2000
0.0058880, 1.78139448165894, 0, 32, UnderRange, 0, 83268e3e 2000
