Meter S/N:, "REV_FA_2"
Sensor, Thermo, Single, 2809, PM
Date, 4/8/2015 11:33:55 AM
Units, W
Timestamp, Measurement, Sequence, Flags, FlagsInterpreted, Period
0.0000000, -1.54176E-004, 10, 0, 0, 0, 49aa21b9 0000 0a000000 
0.1000000, -1.10126E-004, 100010, 0, 0, 0, 43f3e6b8 0000 aa860100 
0.2000000, 2.20251E-005, 200020, 0, 0, 0, 9cc2b837 0000 540d0300 
0.3000000, -8.58980E-004, 300000, 0, 0, 0, 2e2d61ba 0000 e0930400 
0.4000000, -1.47568E-003, 400010, 0, 0, 0, bc6bc1ba 0000 8a1a0600 
0.5000000, -1.01316E-003, 500010, 0, 0, 0, e0cb84ba 0000 2aa10700 
0.6000000, 8.81005E-005, 600010, 0, 0, 0, 9cc2b838 0000 ca270900 
0.7000000, -1.32151E-004, 700010, 0, 0, 0, f6910ab9 0000 6aae0a00 
0.8000000, -3.52402E-004, 800010, 0, 0, 0, 9cc2b8b9 0000 0a350c00 
0.9000000, 6.60754E-005, 900010, 0, 0, 0, f6918a38 0000 aabb0d00 
1.0000000, 4.18477E-004, 1000010, 0, 0, 0, 1967db39 0000 4a420f00 
1.1000000, 4.62528E-004, 1100010, 0, 0, 0, 6d7ff239 0000 eac81000 
1.2000000, 3.74427E-004, 1200010, 0, 0, 0, c64ec439 0000 8a4f1200 
1.3000000, 3.96452E-004, 1300010, 0, 0, 0, efdacf39 0000 2ad61300 
1.4000000, -5.50628E-004, 1400010, 0, 0, 0, 0a5810ba 0000 ca5c1500 
1.5000000, 8.81005E-005, 1500010, 0, 0, 0, 9cc2b838 0000 6ae31600 
1.6000000, 3.12757E-003, 1600010, 0, 0, 0, e5f74c3b 0000 0a6a1800 
1.7000000, 2.59897E-003, 1700010, 0, 0, 0, 68532a3b 0000 aaf01900 
1.8000000, 1.21138E-003, 1800010, 0, 0, 0, 3ec79e3a 0000 4a771b00 
1.9000000, 1.18936E-003, 1900010, 0, 0, 0, 34e49b3a 0000 eafd1c00 
2.0000000, 2.53289E-003, 2000010, 0, 0, 0, d8fe253b 0000 8a841e00 
2.1000000, 3.70022E-003, 2100010, 0, 0, 0, 6d7f723b 0000 2a0b2000 
2.2000000, 3.02405E-002, 2200020, 0, 0, 0, efbaf73c 0000 d4912100 
2.3000000, 7.73302E-002, 2300010, 4, Calculating, 0, 515f9e3d 0400 6a182300 
2.4000000, 1.20808E-001, 2400010, 4, Calculating, 0, 1b6af73d 0400 0a9f2400 
2.5000000, 1.63228E-001, 2500010, 4, Calculating, 0, 4f25273e 0400 aa252600 
2.6000000, 1.99812E-001, 2600010, 4, Calculating, 0, 839b4c3e 0400 4aac2700 
2.7000000, 2.37101E-001, 2700010, 4, Calculating, 0, 7cca723e 0400 ea322900 
2.8000000, 2.70006E-001, 2800010, 4, Calculating, 0, 3c3e8a3e 0400 8ab92a00 
2.9000000, 2.96899E-001, 2900010, 4, Calculating, 0, 1e03983e 0400 2a402c00 
3.0000000, 3.17779E-001, 3000010, 4, Calculating, 0, e0b3a23e 0400 cac62d00 
3.1000000, 3.35245E-001, 3100010, 4, Calculating, 0, 2ca5ab3e 0400 6a4d2f00 
3.2000000, 3.49142E-001, 3200010, 4, Calculating, 0, cbc2b23e 0400 0ad43000 
3.3000000, 3.59274E-001, 3300010, 4, Calculating, 0, c1f2b73e 0400 aa5a3200 
3.4000000, 3.66586E-001, 3400010, 4, Calculating, 0, 33b1bb3e 0400 4ae13300 
3.5000000, 3.72577E-001, 3500010, 4, Calculating, 0, 6ec2be3e 0400 ea673500 
3.6000000, 3.77929E-001, 3600010, 4, Calculating, 0, f17fc13e 0400 8aee3600 
3.7000000, 3.80770E-001, 3700010, 4, Calculating, 0, 59f4c23e 0400 2a753800 
3.8000000, 3.63172E-001, 3800010, 4, Calculating, 0, bbf1b93e 0400 cafb3900 
3.9000000, 3.28747E-001, 3900010, 4, Calculating, 0, 8b51a83e 0400 6a823b00 
4.0000000, 2.92934E-001, 4000010, 4, Calculating, 0, 7bfb953e 0400 0a093d00 
4.1000000, 2.61042E-001, 4100010, 4, Calculating, 0, 47a7853e 0400 aa8f3e00 
4.2000000, 2.31352E-001, 4200020, 4, Calculating, 0, 88e76c3e 0400 54164000 
4.3000000, 2.05649E-001, 4300010, 4, Calculating, 0, 9095523e 0400 ea9c4100 
4.4000000, 1.82632E-001, 4400010, 4, Calculating, 0, fc033b3e 0400 8a234300 
4.5000000, 1.64374E-001, 4500010, 4, Calculating, 0, 8b51283e 0400 2aaa4400 
4.6000000, 1.47502E-001, 4600010, 4, Calculating, 0, d90a173e 0400 ca304600 
4.7000000, 1.33032E-001, 4700010, 4, Calculating, 0, 7d39083e 0400 6ab74700 
4.8000000, 1.20786E-001, 4800010, 4, Calculating, 0, 8f5ef73d 0400 0a3e4900 
4.9000000, 1.08628E-001, 4900010, 4, Calculating, 0, 5578de3d 0400 aac44a00 
5.0000000, 9.85845E-002, 5000010, 4, Calculating, 0, aae6c93d 0400 4a4b4c00 
5.1000000, 8.97744E-002, 5100010, 4, Calculating, 0, a9dbb73d 0400 ead14d00 
5.2000000, 8.16692E-002, 5200010, 4, Calculating, 0, 2d42a73d 0400 8a584f00 
5.3000000, 7.46872E-002, 5300010, 4, Calculating, 0, 9ef5983d 0400 2adf5000 
5.3000000, 8.15555E-001, 5301280, 8, FinalEnergyRecord, 0, 35c8503f 0800 20e45000 
5.5000000, 6.84761E-002, 5400010, 0, 0, 0, 373d8c3d 0000 ca655200 
5.6000000, 6.31461E-002, 5500010, 0, 0, 0, b852813d 0000 6aec5300 
5.7000000, 5.69570E-002, 5600010, 0, 0, 0, bc4b693d 0000 0a735500 
5.8000000, 5.31246E-002, 5700010, 0, 0, 0, 3399593d 0000 aaf95600 
5.9000000, 4.82350E-002, 5800010, 0, 0, 0, 1a92453d 0000 4a805800 
6.0000000, 4.45568E-002, 5900010, 0, 0, 0, 3c81363d 0000 ea065a00 
6.1000000, 4.18698E-002, 6000010, 0, 0, 0, a47f2b3d 0000 8a8d5b00 
6.2000000, 3.70683E-002, 6100010, 0, 0, 0, edd4173d 0000 2a145d00 
