Meter S/N:, "Proto"
Sensor, Thermo, Single, UV Puck, PM-Pro 150HD
Date, 10/18/2018 1:52:46 PM
Units, W
Timestamp, Measurement, Sequence, Flags, FlagsInterpreted, Period
0.001,1179,0,0,0,0
0.002,1134,0,0,0,0
0.003,1173,0,0,0,0
0.004,1147,0,0,0,0
0.005,1182,0,0,0,0
0.006,1141,0,0,0,0
0.007,1178,0,0,0,0
0.008,1139,0,0,0,0
0.009,1144,0,0,0,0
0.01,1136,0,0,0,0
0.011,1133,0,0,0,0
0.012,1166,0,0,0,0
0.013,1168,0,0,0,0
0.014,1141,0,0,0,0
0.015,1146,0,0,0,0
0.016,1136,0,0,0,0
0.017,1162,0,0,0,0
0.018,1136,0,0,0,0
0.019,1156,0,0,0,0
0.02,1152,0,0,0,0
0.021,1150,0,0,0,0
0.022,1138,0,0,0,0
0.023,1185,0,0,0,0
0.024,1161,0,0,0,0
0.025,1148,0,0,0,0
0.026,1177,0,0,0,0
0.027,1179,0,0,0,0
0.028,1140,0,0,0,0
0.029,1169,0,0,0,0
0.03,1177,0,0,0,0
0.031,1143,0,0,0,0
0.032,1180,0,0,0,0
0.033,1146,0,0,0,0
0.034,1138,0,0,0,0
0.035,1140,0,0,0,0
0.036,1181,0,0,0,0
0.037,1185,0,0,0,0
0.038,1185,0,0,0,0
0.039,1145,0,0,0,0
0.04,1204,0,0,0,0
0.041,1156,0,0,0,0
0.042,1172,0,0,0,0
0.043,1147,0,0,0,0
0.044,1146,0,0,0,0
0.045,1152,0,0,0,0
0.046,1175,0,0,0,0
0.047,1152,0,0,0,0
0.048,1164,0,0,0,0
0.049,1188,0,0,0,0
0.05,1189,0,0,0,0
0.051,1162,0,0,0,0
0.052,1156,0,0,0,0
0.053,1152,0,0,0,0
0.054,1152,0,0,0,0
0.055,1188,0,0,0,0
0.056,1186,0,0,0,0
0.057,1146,0,0,0,0
0.058,1189,0,0,0,0
0.059,1191,0,0,0,0
0.06,1184,0,0,0,0
0.061,1152,0,0,0,0
0.062,1162,0,0,0,0
0.063,1142,0,0,0,0
0.064,1173,0,0,0,0
0.065,1138,0,0,0,0
0.066,1181,0,0,0,0
0.067,1172,0,0,0,0
0.068,1154,0,0,0,0
0.069,1134,0,0,0,0
0.07,1154,0,0,0,0
0.071,1140,0,0,0,0
0.072,1177,0,0,0,0
0.073,1139,0,0,0,0
0.074,1190,0,0,0,0
0.075,1131,0,0,0,0
0.076,1148,0,0,0,0
0.077,1138,0,0,0,0
0.078,1159,0,0,0,0
0.079,1157,0,0,0,0
0.08,1157,0,0,0,0
0.081,1174,0,0,0,0
0.082,1194,0,0,0,0
0.083,1146,0,0,0,0
0.084,1142,0,0,0,0
0.085,1157,0,0,0,0
0.086,1143,0,0,0,0
0.087,1148,0,0,0,0
0.088,1134,0,0,0,0
0.089,1160,0,0,0,0
0.09,1184,0,0,0,0
0.091,1196,0,0,0,0
0.092,1169,0,0,0,0
0.093,1190,0,0,0,0
0.094,1154,0,0,0,0
0.095,1158,0,0,0,0
0.096,1136,0,0,0,0
0.097,1136,0,0,0,0
