Meter S/N:, Dummy123
Sensor, Thermo, None
Date, 2/8/2017 3:49:53 PM
Units, W
Cursor, 0.1000448, 0.2000896, 0.90000000, -0.10000000
Timestamp, Measurement, Sequence, Flags, FlagsInterpreted, Period
0.0000000, -0.1, 0, 0, 0, 0
0.0000512, -0.1, 0, 0, 0, 0
0.0001024, -0.1, 0, 0, 0, 0
0.0001536, -0.1, 0, 0, 0, 0
0.0002048, -0.1, 0, 0, 0, 0
0.0002560, -0.1, 0, 0, 0, 0
0.0003072, -0.1, 0, 0, 0, 0
0.0003584, -0.1, 0, 0, 0, 0
0.0004096, -0.1, 0, 0, 0, 0
0.0004608, -0.1, 0, 0, 0, 0
0.0005120, -0.1, 0, 0, 0, 0
0.0005632, -0.1, 0, 0, 0, 0
0.0006144, -0.1, 0, 0, 0, 0
0.0006656, -0.1, 0, 0, 0, 0
0.0007168, -0.1, 0, 0, 0, 0
0.0007680, -0.1, 0, 0, 0, 0
0.0008192, -0.1, 0, 0, 0, 0
0.0008704, -0.1, 0, 0, 0, 0
0.0009216, -0.1, 0, 0, 0, 0
0.0009728, -0.1, 0, 0, 0, 0
0.0010240, -0.1, 0, 0, 0, 0
0.0010752, -0.1, 0, 0, 0, 0
0.0011264, -0.1, 0, 0, 0, 0
0.0011776, -0.1, 0, 0, 0, 0
0.0012288, -0.1, 0, 0, 0, 0
0.0012800, -0.1, 0, 0, 0, 0
0.0013312, -0.1, 0, 0, 0, 0
0.0013824, -0.1, 0, 0, 0, 0
0.0014336, -0.1, 0, 0, 0, 0
0.0014848, -0.1, 0, 0, 0, 0
0.0015360, -0.1, 0, 0, 0, 0
0.0015872, -0.1, 0, 0, 0, 0
0.0016384, -0.1, 0, 0, 0, 0
0.0016896, -0.1, 0, 0, 0, 0
0.0017408, -0.1, 0, 0, 0, 0
0.0017920, -0.1, 0, 0, 0, 0
0.0018432, -0.1, 0, 0, 0, 0
0.0018944, -0.1, 0, 0, 0, 0
0.0019456, -0.1, 0, 0, 0, 0
0.0019968, -0.1, 0, 0, 0, 0
0.0020480, -0.1, 0, 0, 0, 0
0.0020992, -0.1, 0, 0, 0, 0
0.0021504, -0.1, 0, 0, 0, 0
0.0022016, -0.1, 0, 0, 0, 0
0.0022528, -0.1, 0, 0, 0, 0
0.0023040, -0.1, 0, 0, 0, 0
0.0023552, -0.1, 0, 0, 0, 0
0.0024064, -0.1, 0, 0, 0, 0
0.0024576, -0.1, 0, 0, 0, 0
0.0025088, -0.1, 0, 0, 0, 0
0.0025600, -0.1, 0, 0, 0, 0
0.0026112, -0.1, 0, 0, 0, 0
0.0026624, -0.1, 0, 0, 0, 0
0.0027136, -0.1, 0, 0, 0, 0
0.0027648, -0.1, 0, 0, 0, 0
0.0028160, -0.1, 0, 0, 0, 0
0.0028672, -0.1, 0, 0, 0, 0
0.0029184, -0.1, 0, 0, 0, 0
0.0029696, -0.1, 0, 0, 0, 0
0.0030208, -0.1, 0, 0, 0, 0
0.0030720, -0.1, 0, 0, 0, 0
0.0031232, -0.1, 0, 0, 0, 0
0.0031744, -0.1, 0, 0, 0, 0
0.0032256, -0.1, 0, 0, 0, 0
0.0032768, -0.1, 0, 0, 0, 0
0.0033280, -0.1, 0, 0, 0, 0
0.0033792, -0.1, 0, 0, 0, 0
0.0034304, -0.1, 0, 0, 0, 0
0.0034816, -0.1, 0, 0, 0, 0
0.0035328, -0.1, 0, 0, 0, 0
0.0035840, -0.1, 0, 0, 0, 0
0.0036352, -0.1, 0, 0, 0, 0
0.0036864, -0.1, 0, 0, 0, 0
0.0037376, -0.1, 0, 0, 0, 0
0.0037888, -0.1, 0, 0, 0, 0
0.0038400, -0.1, 0, 0, 0, 0
0.0038912, -0.1, 0, 0, 0, 0
0.0039424, -0.1, 0, 0, 0, 0
0.0039936, -0.1, 0, 0, 0, 0
0.0040448, -0.1, 0, 0, 0, 0
0.0040960, -0.1, 0, 0, 0, 0
0.0041472, -0.1, 0, 0, 0, 0
0.0041984, -0.1, 0, 0, 0, 0
0.0042496, -0.1, 0, 0, 0, 0
0.0043008, -0.1, 0, 0, 0, 0
0.0043520, -0.1, 0, 0, 0, 0
0.0044032, -0.1, 0, 0, 0, 0
0.0044544, -0.1, 0, 0, 0, 0
0.0045056, -0.1, 0, 0, 0, 0
0.0045568, -0.1, 0, 0, 0, 0
0.0046080, -0.1, 0, 0, 0, 0
0.0046592, -0.1, 0, 0, 0, 0
0.0047104, -0.1, 0, 0, 0, 0
0.0047616, -0.1, 0, 0, 0, 0
0.0048128, -0.1, 0, 0, 0, 0
0.0048640, -0.1, 0, 0, 0, 0
0.0049152, -0.1, 0, 0, 0, 0
0.0049664, -0.1, 0, 0, 0, 0
0.0050176, -0.1, 0, 0, 0, 0
0.0050688, -0.1, 0, 0, 0, 0
0.0051200, -0.1, 0, 0, 0, 0
0.0051712, -0.1, 0, 0, 0, 0
0.0052224, -0.1, 0, 0, 0, 0
0.0052736, -0.1, 0, 0, 0, 0
0.0053248, -0.1, 0, 0, 0, 0
0.0053760, -0.1, 0, 0, 0, 0
0.0054272, -0.1, 0, 0, 0, 0
0.0054784, -0.1, 0, 0, 0, 0
0.0055296, -0.1, 0, 0, 0, 0
0.0055808, -0.1, 0, 0, 0, 0
0.0056320, -0.1, 0, 0, 0, 0
0.0056832, -0.1, 0, 0, 0, 0
0.0057344, -0.1, 0, 0, 0, 0
0.0057856, -0.1, 0, 0, 0, 0
0.0058368, -0.1, 0, 0, 0, 0
0.0058880, -0.1, 0, 0, 0, 0
0.0059392, -0.1, 0, 0, 0, 0
0.0059904, -0.1, 0, 0, 0, 0
0.0060416, -0.1, 0, 0, 0, 0
0.0060928, -0.1, 0, 0, 0, 0
0.0061440, -0.1, 0, 0, 0, 0
0.0061952, -0.1, 0, 0, 0, 0
0.0062464, -0.1, 0, 0, 0, 0
0.0062976, -0.1, 0, 0, 0, 0
0.0063488, -0.1, 0, 0, 0, 0
0.0064000, -0.1, 0, 0, 0, 0
0.0064512, -0.1, 0, 0, 0, 0
0.0065024, -0.1, 0, 0, 0, 0
0.0065536, -0.1, 0, 0, 0, 0
0.0066048, -0.1, 0, 0, 0, 0
0.0066560, -0.1, 0, 0, 0, 0
0.0067072, -0.1, 0, 0, 0, 0
0.0067584, -0.1, 0, 0, 0, 0
0.0068096, -0.1, 0, 0, 0, 0
0.0068608, -0.1, 0, 0, 0, 0
0.0069120, -0.1, 0, 0, 0, 0
0.0069632, -0.1, 0, 0, 0, 0
0.0070144, -0.1, 0, 0, 0, 0
0.0070656, -0.1, 0, 0, 0, 0
0.0071168, -0.1, 0, 0, 0, 0
0.0071680, -0.1, 0, 0, 0, 0
0.0072192, -0.1, 0, 0, 0, 0
0.0072704, -0.1, 0, 0, 0, 0
0.0073216, -0.1, 0, 0, 0, 0
0.0073728, -0.1, 0, 0, 0, 0
0.0074240, -0.1, 0, 0, 0, 0
0.0074752, -0.1, 0, 0, 0, 0
0.0075264, -0.1, 0, 0, 0, 0
0.0075776, -0.1, 0, 0, 0, 0
0.0076288, -0.1, 0, 0, 0, 0
0.0076800, -0.1, 0, 0, 0, 0
0.0077312, -0.1, 0, 0, 0, 0
0.0077824, -0.1, 0, 0, 0, 0
