Meter S/N:
Sensor, , 
Date
Units, W
Cursor, 0.5000000, 1.0000000, 1.00000000, 0.00000000
Timestamp, Measurement, Sequence, Flags, FlagsInterpreted, Period
0.0000000, 0, 0, 0, 0, 0
0.1000000, 0, 0, 0, 0, 0
0.2000000, 0, 0, 0, 0, 0
0.3000000, 0, 0, 0, 0, 0
0.4000000, 0, 0, 0, 0, 0
0.5000000, 1, 0, 0, 0, 0
0.6000000, 1, 0, 0, 0, 0
0.7000000, 1, 0, 0, 0, 0
0.8000000, 1, 0, 0, 0, 0
0.9000000, 1, 0, 0, 0, 0
1.0000000, 0, 0, 0, 0, 0
1.1000000, 0, 0, 0, 0, 0
1.2000000, 0, 0, 0, 0, 0
1.3000000, 0, 0, 0, 0, 0
1.4000000, 0, 0, 0, 0, 0
