
0	Header	[1]	00  .
0	Remark	[81]	THERMO,QUAD, PM USB - LM-3, 0320D17R, PowerWatts+Continuous, 10/9/2018 1:25:24 PM
0	Settings	[588]	{\r\n  "MeterClassTypeName": "Meter_MP",\r\n  "DAQ_Mode": 3,\r\n  "IsLegacyMeterless": true,\r\n  "OperatingMode": 0,\r\n  "Capacity": 50000,\r\n  "PreTrigger": 0,\r\n  "ContinuousMode": true,\r\n  "SelectedDataEncoding": 0,\r\n  "SelectedUnitsSerialization": "W",\r\n  "SelectedDataFields": 7,\r\n  "SnapshotMode_IsSelected": false,\r\n  "WaitForTriggerModeEnabled": false,\r\n  "HighSpeedChannel_IsSelected": false,\r\n  "SamplePeriod": 1000000,\r\n  "Sensor_IsPyro": false,\r\n  "SamplePeriod_Ticks": 1000000,\r\n  "QuadMode_IsSelected": true,\r\n  "OperatingMode_IsTrueEnergy": false,\r\n  "SnapshotMaxCapacity": 240000\r\n}
0	Command	[18]	SYST:COMM:HAND OFF
51	Command	[15]	SYST:COMM:HAND?
51	Command	[3]	OFF
51	Command	[4]	INIT
90	Data	[34]	2d 31 2e 30 36 36 32 32 65 2d 30 33 2c 30 2e 30 30 65 2b 30 30 2c 30 2e 30 30 65 2b 30 30 2c 4e 2c 30  -1.06622e-03,0.00e+00,0.00e+00,N,0
190	Data	[36]	2d 31 2e 36 37 39 38 30 65 2d 30 33 2c 30 2e 30 30 65 2b 30 30 2c 30 2e 30 30 65 2b 30 30 2c 4e 2c 31 30 30  -1.67980e-03,0.00e+00,0.00e+00,N,100
290	Data	[36]	2d 31 2e 31 34 32 39 35 65 2d 30 33 2c 30 2e 30 30 65 2b 30 30 2c 30 2e 30 30 65 2b 30 30 2c 4e 2c 32 30 30  -1.14295e-03,0.00e+00,0.00e+00,N,200
390	Data	[36]	2d 31 2e 38 35 30 36 30 65 2d 30 33 2c 30 2e 30 30 65 2b 30 30 2c 30 2e 30 30 65 2b 30 30 2c 4e 2c 33 30 30  -1.85060e-03,0.00e+00,0.00e+00,N,300
490	Data	[36]	2d 31 2e 33 34 35 36 31 65 2d 30 33 2c 30 2e 30 30 65 2b 30 30 2c 30 2e 30 30 65 2b 30 30 2c 4e 2c 34 30 30  -1.34561e-03,0.00e+00,0.00e+00,N,400
590	Data	[36]	2d 31 2e 31 30 36 35 32 65 2d 30 33 2c 30 2e 30 30 65 2b 30 30 2c 30 2e 30 30 65 2b 30 30 2c 4e 2c 35 30 30  -1.10652e-03,0.00e+00,0.00e+00,N,500
690	Data	[36]	2d 31 2e 36 39 30 34 30 65 2d 30 33 2c 30 2e 30 30 65 2b 30 30 2c 30 2e 30 30 65 2b 30 30 2c 4e 2c 36 30 30  -1.69040e-03,0.00e+00,0.00e+00,N,600
790	Data	[36]	2d 31 2e 37 35 35 36 38 65 2d 30 33 2c 30 2e 30 30 65 2b 30 30 2c 30 2e 30 30 65 2b 30 30 2c 4e 2c 37 30 30  -1.75568e-03,0.00e+00,0.00e+00,N,700
890	Data	[36]	2d 35 2e 38 35 36 36 36 65 2d 30 34 2c 30 2e 30 30 65 2b 30 30 2c 30 2e 30 30 65 2b 30 30 2c 4e 2c 38 30 30  -5.85666e-04,0.00e+00,0.00e+00,N,800
990	Data	[36]	2d 39 2e 31 35 37 39 33 65 2d 30 34 2c 30 2e 30 30 65 2b 30 30 2c 30 2e 30 30 65 2b 30 30 2c 4e 2c 39 30 30  -9.15793e-04,0.00e+00,0.00e+00,N,900
1090	Data	[37]	2d 38 2e 36 38 39 37 31 65 2d 30 34 2c 30 2e 30 30 65 2b 30 30 2c 30 2e 30 30 65 2b 30 30 2c 4e 2c 31 30 30 30  -8.68971e-04,0.00e+00,0.00e+00,N,1000
1190	Data	[37]	2d 31 2e 34 37 39 32 36 65 2d 30 33 2c 30 2e 30 30 65 2b 30 30 2c 30 2e 30 30 65 2b 30 30 2c 4e 2c 31 31 30 30  -1.47926e-03,0.00e+00,0.00e+00,N,1100
1290	Data	[37]	2d 31 2e 32 39 37 36 36 65 2d 30 33 2c 30 2e 30 30 65 2b 30 30 2c 30 2e 30 30 65 2b 30 30 2c 4e 2c 31 32 30 30  -1.29766e-03,0.00e+00,0.00e+00,N,1200
1390	Data	[37]	2d 31 2e 31 35 39 34 30 65 2d 30 33 2c 30 2e 30 30 65 2b 30 30 2c 30 2e 30 30 65 2b 30 30 2c 4e 2c 31 33 30 30  -1.15940e-03,0.00e+00,0.00e+00,N,1300
1490	Data	[37]	2d 33 2e 39 30 37 39 33 65 2d 30 34 2c 30 2e 30 30 65 2b 30 30 2c 30 2e 30 30 65 2b 30 30 2c 4e 2c 31 34 30 30  -3.90793e-04,0.00e+00,0.00e+00,N,1400
1589	Data	[37]	2d 31 2e 34 33 34 33 32 65 2d 30 33 2c 30 2e 30 30 65 2b 30 30 2c 30 2e 30 30 65 2b 30 30 2c 4e 2c 31 35 30 30  -1.43432e-03,0.00e+00,0.00e+00,N,1500
1690	Data	[37]	2d 31 2e 36 34 36 34 38 65 2d 30 33 2c 30 2e 30 30 65 2b 30 30 2c 30 2e 30 30 65 2b 30 30 2c 4e 2c 31 36 30 30  -1.64648e-03,0.00e+00,0.00e+00,N,1600
1789	Data	[37]	2d 31 2e 35 36 32 38 37 65 2d 30 33 2c 30 2e 30 30 65 2b 30 30 2c 30 2e 30 30 65 2b 30 30 2c 4e 2c 31 37 30 30  -1.56287e-03,0.00e+00,0.00e+00,N,1700
